0	Index      	 *	Score 	Summary	Detail	
1	13662 23121	 * 	387.24	DCR|3VULN|1MDPS|2DUR|1SELL	1TBNT|249VULN|39LIT|5SELL|6BBNT|7RCR|89DUR|9BPWR|aMDPS
2	31261 11241	 * 	384.12	DCR|DCR|1MDPS|1VULN|2DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|89DUR|aMDPS
3	31261 11214	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8DUR|9BEXP|aMDPS
4	31261 11234	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8DUR|9LHND|aMDPS
5	31261 11444	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8FEWX|9DUR|aMDPS
6	31261 11744	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8LWND|9DUR|aMDPS
7	33151 11344	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2FEWX|3SNITOX|4ZMB|5MBVNT|67RCR|8VULN|9DUR|aMDPS
8	36261 11344	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2AAC|3FEWX|4CANTOX|5MBVNT|67RCR|8VULN|9DUR|aMDPS
9	36441 11344	   	371.66	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2AAC|3MSLFST|4LWND|5MBVNT|67RCR|8VULN|9DUR|aMDPS
10	31261 11224	   	371.56	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8DUR|9BBNT|aMDPS
11	31261 11274	   	371.56	DCR|DCR|1MDPS|1VULN|1DUR|1AART	1AART|2ZMB|3VENFST|4VULN|5MBVNT|67RCR|8DUR|9DUST|aMDPS
12	61453 34443	 * 	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	1RPLT|27DUR|3MBVNT|47VULN|5RMIN|6TBNT|7BPWR|8RCR|9TLV|aMDPS
13	14243 24133	 * 	368.22	2MDPS|3VULN|2DUR	1TBNT|2679CGEN|37DUR|457VULN|7BPWR|8aMDPS
14	61453 34423	   	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	1RPLT|27DUR|3MBVNT|47VULN|5RMIN|6TBNT|7BPWR|8RCR|9DMG|aMDPS
15	13243 52225	 * 	361.59	3MDPS|2VULN|1DUR	1TBNT|25VULN|3LWND|4DUR|67aMDPS|8BBNT|9LSRHEA
16	23334 22463	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1FEWX|2RPLT|3LWND|4VULN|5DUR|6AME|7ERES|8RCR|9aMDPS
