0	Index      	 *	Score 	Summary	Detail	
1	63133 62622	 * 	383.31	DCR|2VULN|1MDPS|2DUR|1TLV|1AART|1SELL	1RAT|2AART|36VULN|49DUR|5TLV|7RCR|8SELL|aMDPS
2	63133 62511	 * 	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9FEWX|aLWND
3	63133 62512	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9FEWX|aMLV
4	63133 62513	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9FEWX|aCGEN
5	63133 62521	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART|1MSE	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9MSE|aLWND
6	63133 62522	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART|1MSE	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9MSE|aMLV
7	63133 62523	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART|1MSE	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9MSE|aCGEN
8	63133 62531	   	370.90	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9DMG|aLIT
9	63133 62532	   	370.90	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9DMG|aRMIN
10	63133 62533	   	370.90	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8MDPS|9DMG|aLEGI
11	63133 62612	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART|1SELL	1RAT|2AART|36VULN|4DUR|5TLV|7RCR|8SELL|9ZMB|aMDPS
12	63115 62211	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DMG|5LHND|7RCR|8DUR|9MDPS|aLWND
13	63115 62212	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DMG|5LHND|7RCR|8DUR|9MDPS|aMLV
14	63115 62213	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|36VULN|4DMG|5LHND|7RCR|8DUR|9MDPS|aCGEN
15	35622 35212	 * 	359.16	ACR|2MDPS|1VULN|1CDMG|1DUR|1AART	1RCVC|2RCR|3ASPD|4AAC|5CDMG|6AART|7VULN|8DUR|9aMDPS
16	35232 24225	 * 	359.03	ACR|3VULN|1MDPS|3DUR	1RCVC|2RCR|389VULN|489DUR|5LHND|6LWND|789LSRICY|89BPWR|aMDPS
17	63132 22355	 * 	357.35	DCR|2VULN|1MDPS|2DUR|1AART	1RAT|2AART|39VULN|45DUR|6AAC|7RCR|8RPLT|aMDPS
