0	Index      	 *	Score 	Summary	Detail	
1	22531 41323	 * 	371.52	DCR|2MDPS|1VULN|1DUR|1AART|1SELL	1LWND|2SELL|3ERES|4AART|5DUR|6BOSS|7RCR|8VULN|9aMDPS
2	22461 31315	 * 	362.19	ACR|3VULN|1MDPS|1CDMG|1DUR|1SELL	1LWND|2SELL|3RPLT|469VULN|5RCR|7DUR|8CDMG|aMDPS
3	21222 13533	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|2BELT|3RMIN|49VULN|5LIT|6CDMG|7DUR|8RCR|aMDPS
4	23125 25221	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|25AEFRZ|3TBNT|45VULN|5BPWR|6RCR|7CDMG|8ERES|9DUR|aMDPS
5	23126 25144	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|2AEFRZ|3TBNT|49VULN|5DUR|6RCR|7CDMG|8MBVNT|aMDPS
6	51434 31311	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1RPLT|28VULN|3BBNT|4CDMG|5MBVNT|6DUR|7RCR|9MSE|aMDPS
7	11123 23634	 * 	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2RCVC|3TBNT|4VULN|5BEXP|68RCR|7LHND|9DUR|aMDPS
8	11123 24634	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2RCVC|3TBNT|4VULN|5BEXP|68RCR|7FEWX|9DUR|aMDPS
9	12331 23634	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2VULN|3RMIN|4BBNT|5CGEN|68RCR|7LHND|9DUR|aMDPS
10	12331 24634	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2VULN|3RMIN|4BBNT|5CGEN|68RCR|7BEXP|9DUR|aMDPS
11	13331 22634	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2BEXP|3RMIN|4BBNT|5CGEN|68RCR|7VULN|9DUR|aMDPS
12	16331 22634	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2LHND|3RMIN|4BBNT|5CGEN|68RCR|7VULN|9DUR|aMDPS
13	12335 23634	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2VULN|3RMIN|4BBNT|5AME|68RCR|7LHND|9DUR|aMDPS
14	61633 11223	 * 	347.48	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8CGEN|9LIT|aMDPS
15	61633 11513	   	347.38	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8LIT|9NUKE|aMDPS
16	61633 11111	   	347.28	ACR|3VULN|1MDPS|2DUR|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aBBNT
17	61633 11112	   	347.28	ACR|3VULN|1MDPS|2DUR|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aERES
18	61633 11113	   	347.28	ACR|3VULN|1MDPS|2DUR|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aRAT
19	61633 11114	 * 	347.28	ACR|3VULN|1MDPS|2DUR|1TLV|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aTLV
20	61633 11115	   	347.28	ACR|3VULN|1MDPS|2DUR|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aMGNSTR
21	61633 11116	   	347.28	ACR|3VULN|1MDPS|2DUR|1MSE	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9MSE|aCGEN
22	61633 11121	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9DMSP|aBOSS
23	61633 11122	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9DMSP|aCGEN
24	61633 11123	 * 	347.28	ACR|3VULN|1MDPS|3DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67aDUR|8MDPS|9DMSP
25	61633 11124	   	347.28	ACR|3VULN|1MDPS|2DUR|1DMG	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9DMSP|aDMG
26	61633 11125	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9DMSP|aAETHUN
27	61633 11126	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9DMSP|aFRZICY
28	61633 11131	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RPLT|aERES
29	61633 11132	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RPLT|aLHND
30	61633 11133	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RPLT|aMBVNT
31	61633 11134	   	347.28	ACR|3VULN|1MDPS|2DUR|1DMG	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RPLT|aDMG
32	61633 11136	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RPLT|aBELT
33	61633 11141	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RCVC|aBOSS
34	61633 11142	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9RCVC|aCGEN
35	61633 11143	   	347.28	ACR|3VULN|1MDPS|3DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67aDUR|8MDPS|9RCVC
36	61633 11151	 * 	347.28	ACR|4VULN|1MDPS|2DUR	1RMIN|257AME|3579VULN|4RCR|57BPWR|67DUR|8MDPS|aBOSS
37	61633 11152	   	347.28	ACR|4VULN|1MDPS|2DUR	1RMIN|257AME|3579VULN|4RCR|57BPWR|67DUR|8MDPS|aCGEN
38	61633 11153	 * 	347.28	ACR|4VULN|1MDPS|3DUR	1RMIN|257AME|3579VULN|4RCR|57BPWR|67aDUR|8MDPS
39	61633 11161	   	347.28	ACR|3VULN|1MDPS|2DUR	1RMIN|257AME|357VULN|4RCR|57BPWR|67DUR|8MDPS|9BOSS|aAEPOI
