0	Index      	 *	Score 	Summary	Detail	
1	32231 15214	 * 	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1LWND|2DMG|367VULN|4DUR|5ASPD|8RCR|9AEFBLL|aMDPS
2	33431 36215	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9AEFBLL|aMDPS
3	33431 36241	   	387.38	DCR|3VULN|1MDPS|2DUR|1AART	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aAART
4	33431 36242	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aBEXP
5	33431 36243	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aRMIN
6	33431 36244	 * 	387.38	DCR|4VULN|1MDPS|2DUR	15LWND|267aVULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS
7	33431 36246	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aRPLT
8	33431 36247	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aZMB
9	33431 36248	   	387.38	DCR|3VULN|1MDPS|2DUR	15LWND|267VULN|36DUR|4MBVNT|6BPWR|8RCR|9MDPS|aBBNT
10	15136 13215	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2TLV|3MGNBOS|4CDMG|58VULN|6TBNT|7FEWX|9RCR|aMDPS
11	43113 12317	 * 	384.33	ACR|2MDPS|2VULN|2DUR	1RPLT|27VULN|37LIT|4RCR|5MBVNT|67DUR|7BPWR|8aMDPS|9AME
12	33434 81744	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1LWND|26VULN|3DUR|4MBVNT|5BOSS|7RCR|8DMG|9CDMG|aMDPS
13	15213 13244	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2TLV|36VULN|4AAC|5DMG|79MLV|8RCR|aMDPS
14	15311 13224	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2TLV|3BEXP|4AAC|5ZMB|69VULN|7DMG|8RCR|aMDPS
