0	Index      	 *	Score 	Summary	Detail	
1	62213 44233	 * 	383.17	2MDPS|3VULN|1CDMG|1DUR	1CGEN|238VULN|4ZMB|5CDMG|6DUR|7LIT|9aMDPS
2	11223 62336	 * 	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RAT|29VULN|3TLV|4DUR|5MBVNT|6DMG|7CGEN|8RCR|aMDPS
3	11115 31411	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1RAT|269VULN|3RPLT|4LWND|5LHND|7RCR|8DUR|aMDPS
4	62222 13265	   	375.03	DCR|3VULN|1MDPS|1DUR	1CGEN|238VULN|4MLV|5AAC|6DUR|7LIT|9RCR|aMDPS
5	62222 23265	   	375.03	DCR|3VULN|1MDPS|1DUR	1CGEN|238VULN|4MLV|5AAC|6LIT|7DUR|9RCR|aMDPS
6	11322 56432	   	374.83	DCR|3VULN|1MDPS|1DUR	19RAT|269VULN|3ERES|4DUR|5DLOT|7RCR|89AEWIND|9BPWR|aMDPS
7	32231 43263	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|238VULN|4DUR|5ASPD|6CGEN|7LIT|9RCR|aMDPS
8	62231 53263	   	374.83	DCR|3VULN|1MDPS|1DUR	1CGEN|238VULN|4DUR|5ASPD|6ERES|7LIT|9RCR|aMDPS
9	12462 13262	 * 	372.88	ACR|3VULN|1MDPS|2DMG|1DUR	159RAT|2BBNT|359VULN|4RCR|59BPWR|6BEXP|7DUR|89DMG|aMDPS
10	12462 33262	   	372.78	ACR|3VULN|1MDPS|2DMG|1DUR	159RAT|2BBNT|359VULN|4RCR|59BPWR|6DUST|7DUR|89DMG|aMDPS
11	25364 13232	 * 	371.68	ACR|2MDPS|2VULN|1DUR	1AEBURN|27VULN|3RCR|4DUR|5AAC|6ERES|8ZMB|9aMDPS
12	62235 33331	 * 	365.48	DCR|2MDPS|2VULN|1CDMG|1TLV|1DUR	1CGEN|23VULN|4DUR|5aMDPS|6TLV|7RAT|8CDMG|9RCR
13	32235 33331	   	365.38	DCR|2MDPS|2VULN|1CDMG|1TLV|1DUR	1AME|23VULN|4DUR|5aMDPS|6TLV|7RAT|8CDMG|9RCR
14	62231 62623	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1CGEN|23VULN|4DUR|5ASPD|6BASARM|7RCR|8DMG|9AART|aMDPS
15	32423 13264	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|25VULN|3RPLT|4DUR|6ASPD|7DMSP|8CDMG|9RCR|aMDPS
16	11322 56342	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|26VULN|3ERES|4DUR|5DLOT|7RCR|8DUST|9CDMG|aMDPS
17	11111 31455	   	358.01	DCR|2MDPS|1VULN|1DUR	1RAT|2VULN|3RPLT|4LWND|56AEWIND|7RCR|8DUR|9aMDPS
18	11224 42632	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	19RAT|29VULN|3TLV|4DUR|5BBNT|6RCR|79LHND|8DLOT|9BPWR|aMDPS
19	11216 51411	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|29VULN|3TLV|4LHND|5MLV|6RPLT|7RCR|8DUR|aMDPS
20	11223 34521	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7BEXP|8FEWX|9RCR|aMDPS
21	11223 35221	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7LHND|8BEXP|9RCR|aMDPS
22	11223 35521	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7LHND|8FEWX|9RCR|aMDPS
23	11223 36221	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7FEWX|8BEXP|9RCR|aMDPS
24	32423 33161	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|25VULN|3RPLT|4DUR|6LHND|7RCR|8RAT|9TLV|aMDPS
25	11213 34321	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4LHND|5MBVNT|7BEXP|8DUR|9RCR|aMDPS
26	11215 51411	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|29VULN|3TLV|4LHND|5ERES|6RPLT|7RCR|8DUR|aMDPS
27	11223 32221	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7DUST|8BEXP|9RCR|aMDPS
28	11223 32521	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7DUST|8FEWX|9RCR|aMDPS
29	11223 36821	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7FEWX|8DUST|9RCR|aMDPS
30	32423 23161	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|25VULN|3RPLT|4DUR|6LEGI|7RCR|8RAT|9TLV|aMDPS
31	32216 21255	   	355.57	2MDPS|3VULN|1DUR	1AME|235VULN|45ZMB|5BPWR|68ASPD|7DUR|9aMDPS
