0	Index      	 *	Score 	Summary	Detail	
1	45333 11231	 * 	385.44	ACR|3VULN|1MDPS|2DMG|2DUR	138VULN|238LHND|38BPWR|4BEXP|5RCR|69DUR|78DMG|aMDPS
2	22226 33166	 * 	381.40	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|268VULN|3BELT|46LHND|5RCR|6BPWR|7DUR|9TLV|aMDPS
3	21311 61261	 * 	381.35	DCR|2VULN|1MDPS|2DMG|2DUR	18DMG|23LWND|48VULN|58DUR|6MBVNT|7RCR|8BPWR|9AEBURN|aMDPS
4	22321 61281	   	381.35	DCR|2VULN|1MDPS|2DMG|2DUR	18DMG|28VULN|39LWND|4AEFBLL|58DUR|6MBVNT|7RCR|8BPWR|aMDPS
5	22321 61261	   	381.25	DCR|2VULN|1MDPS|2DMG|2DUR	18DMG|28VULN|3LWND|4AEFBLL|58DUR|6MBVNT|7RCR|8BPWR|9AEBURN|aMDPS
6	22521 61261	   	381.25	DCR|2VULN|1MDPS|2DMG|2DUR	18DMG|28VULN|3FEWX|4AEFBLL|58DUR|6MBVNT|7RCR|8BPWR|9AEBURN|aMDPS
7	22612 11451	 * 	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|24VULN|3AEPOI|5RMIN|6CDMG|7DUR|8RPLT|9RCR|aMDPS
8	22612 63361	 * 	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|24VULN|3AEPOI|5RMIN|6MBVNT|7TLV|8DUR|9RCR|aMDPS
9	45333 11221	   	372.98	ACR|3VULN|1MDPS|2DMG|1DUR	138VULN|238LHND|38BPWR|49BEXP|5RCR|6DUR|78DMG|aMDPS
10	45333 11251	   	372.88	ACR|3VULN|1MDPS|2DMG|1DUR	138VULN|238LHND|38BPWR|4BEXP|5RCR|6DUR|78DMG|9AEBURN|aMDPS
11	21162 14213	   	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|28LWND|3DUST|4RAT|58VULN|6BBNT|7RCR|8BPWR|9DUR|aMDPS
12	22161 14213	   	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|28VULN|3DUST|4RAT|58LHND|6BBNT|7RCR|8BPWR|9DUR|aMDPS
13	26222 14263	   	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|28RAT|3BEXP|4DUR|58VULN|6BBNT|7RCR|8BPWR|9DUST|aMDPS
14	26262 14213	   	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|28RAT|3BEXP|4DUST|58VULN|6BBNT|7RCR|8BPWR|9DUR|aMDPS
15	23311 62661	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	17DMG|2CGEN|3ZMB|48VULN|5DUR|6MBVNT|9RCR|aMDPS
16	22613 22553	 * 	367.54	DCR|5VULN|1DMG|1DUR	1DMG|24568VULN|3AEPOI|7TBNT|9RCR|aDUR
17	22632 41253	 * 	366.29	DCR|3VULN|2DMG|1CDMG|2DUR|1AART	1aDMG|27aVULN|3AEPOI|4AART|5CDMG|6aDUR|8RCR|9BBNT|aBPWR
18	41362 51233	   	361.53	DCR|5VULN|1DUR|1AART	13589VULN|235BEXP|35BPWR|4BOSS|6AART|7RCR|aDUR
19	43362 51233	   	361.53	DCR|5VULN|1DUR|1AART	13589VULN|235FEWX|35BPWR|4BOSS|6AART|7RCR|aDUR
20	41313 16141	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|23BEXP|3BPWR|4AETHUN|5RCR|6DUR|8TLV|9AME|aMDPS
21	41313 16341	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|23BEXP|3BPWR|4AETHUN|5RCR|6DUR|8AME|9TLV|aMDPS
22	45331 52312	   	358.74	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23LHND|3BPWR|4BEXP|5FEWX|6CDMG|7DUR|8RCR|9CGEN|aMDPS
23	45331 52322	   	358.74	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23LHND|3BPWR|4BEXP|5FEWX|6CDMG|7DUR|8RCR|9MLV|aMDPS
24	41311 52312	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23BEXP|3BPWR|4AETHUN|5FEWX|6CDMG|7DUR|8RCR|9CGEN|aMDPS
25	41311 52343	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23BEXP|3BPWR|4AETHUN|5FEWX|6CDMG|7DUR|8RCR|9RAT|aMDPS
26	41311 52362	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23BEXP|3BPWR|4AETHUN|5FEWX|6CDMG|7DUR|8RCR|9ZMB|aMDPS
27	45311 52312	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|23LHND|3BPWR|4AETHUN|5FEWX|6CDMG|7DUR|8RCR|9CGEN|aMDPS
28	46131 22633	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|2BBNT|3BPWR|4ASPD|5DUR|6CDMG|7FEWX|8RCR|9LIT|aMDPS
29	23151 41141	 * 	358.05	DCR|DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|2CGEN|3TLV|4TBNT|5DUR|6MDPS|79RCR|8aVULN
30	42153 12115	 * 	356.90	ACR|2VULN|1MDPS|3TLV|2DUR	17VULN|278TLV|3DUST|4AME|5RCR|67DUR|7BPWR|9TBNT|aMDPS
31	42153 12135	   	356.90	ACR|2VULN|1MDPS|3TLV|2DUR	17VULN|278TLV|3DUST|4AME|5RCR|67DUR|7BPWR|9BBNT|aMDPS
32	43312 16362	 * 	355.67	2MDPS|3VULN|1DUR	136VULN|23FEWX|3BPWR|4AETHUN|5RAT|7DUR|8BBNT|9aMDPS
