0	Index      	 *	Score 	Summary	Detail	
1	23153 23362	 * 	371.68	ACR|2MDPS|2VULN|1DUR	1TBNT|2RAT|3DUR|47VULN|5RCR|6BOSS|8ERES|9aMDPS
2	12653 21521	 * 	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	1AETHUN|2CDMG|39DUR|46VULN|5CGEN|7BBNT|8RCR|aMDPS
3	12653 22521	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	1AETHUN|2CDMG|39DUR|46VULN|5CGEN|7TBNT|8RCR|aMDPS
4	12653 21511	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AETHUN|2CDMG|3DUR|46VULN|59CGEN|7BBNT|8RCR|aMDPS
5	12653 22511	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AETHUN|2CDMG|3DUR|46VULN|59CGEN|7TBNT|8RCR|aMDPS
6	13121 41426	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AETHUN|2LIT|34VULN|5CDMG|6BBNT|7RCR|8DUR|9BELT|aMDPS
7	62322 12626	 * 	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1AEPOI|2TLV|35ERES|48VULN|6DUR|7TBNT|9RCR|aMDPS
8	62323 12626	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1AEPOI|2TLV|3ERES|48VULN|5AEBURN|6DUR|7TBNT|9RCR|aMDPS
9	21363 53223	 * 	352.64	3VULN|1MDPS|2DMG|1CDMG|2DUR	1TBNT|2BOSS|37DMG|4NUKE|578VULN|67DUR|7BPWR|9CDMG|aMDPS
10	21343 53223	   	352.64	3VULN|1MDPS|2DMG|1CDMG|2DUR	1TBNT|2BOSS|37DMG|4ERES|578VULN|67DUR|7BPWR|9CDMG|aMDPS
11	21343 23562	 * 	351.70	DCR|4VULN|2DMG|1DUR	1TBNT|2BOSS|38DMG|48ERES|5789VULN|6RCR|8BPWR|aDUR
12	22513 23562	   	351.70	DCR|4VULN|2DMG|1DUR	1TBNT|28AME|3BOSS|48DMG|5789VULN|6RCR|8BPWR|aDUR
