0	Index      	 *	Score 	Summary	Detail	
1	32125 31432	 * 	370.37	DCR|2MDPS|2VULN|2DUR	16DUR|2ASPD|3BBNT|4RMIN|59VULN|7RCR|8aMDPS
2	55343 12132	 * 	362.53	ACR|3VULN|1MDPS|1CDMG|1DUR	17MLV|2DLOT|37BEXP|467VULN|5RCR|7BPWR|8CDMG|9DUR|aMDPS
3	12132 53332	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2ASPD|3BBNT|4RPLT|5DUR|6RCR|7CDMG|89VULN|aMDPS
4	36531 36232	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2ERES|37VULN|4CDMG|5LWND|6FLTHEA|8MLV|9RCR|aMDPS
5	36235 22612	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|29ERES|3RAT|4DMG|59LWND|6MLV|79VULN|8RCR|9BPWR|aMDPS
6	36361 12612	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|29ERES|3MLV|4DMG|59RAT|6LWND|79VULN|8RCR|9BPWR|aMDPS
7	34432 11321	 * 	347.64	DCR|1MDPS|1VULN|3DUR|1TLV|1DMG	156DUR|2AEFRZ|3TLV|4DMG|7RCR|8VULN|9ZMB|aMDPS
8	34532 11331	   	347.64	DCR|1MDPS|1VULN|3DUR|1TLV|1DMG	156DUR|2AEFRZ|3RMIN|4DMG|7RCR|8VULN|9TLV|aMDPS
9	34432 11351	   	347.54	DCR|1MDPS|1VULN|3DUR|1TLV|1DMG	156DUR|2AEFRZ|3TLV|4DMG|7RCR|8VULN|9ASPD|aMDPS
10	34421 16121	 * 	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1DUR|2AEFRZ|3TLV|4RCR|5VULN|6ZMB|79MDPS|8AAC|aCGEN
11	34421 16122	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1DUR|2AEFRZ|3TLV|4RCR|5VULN|6ZMB|79MDPS|8AAC|aRAT
12	34421 16123	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1DUR|2AEFRZ|3TLV|4RCR|5VULN|6ZMB|79MDPS|8AAC|aBEXP
13	33615 51121	   	343.60	DCR|2VULN|1MDPS|2DUR	13DUR|2BEXP|45VULN|6TBNT|7RCR|8LWND|9ZMB|aMDPS
14	32125 31254	   	343.50	DCR|2VULN|1MDPS|2DUR	16DUR|2ASPD|3BBNT|4RMIN|59VULN|7RCR|8LIT|aMDPS
15	32145 61121	   	343.50	DCR|2VULN|1MDPS|2DUR	16DUR|2ASPD|3BBNT|4ERES|56VULN|6BPWR|7RCR|8LHND|9ZMB|aMDPS
16	33615 51131	   	343.50	DCR|2VULN|1MDPS|2DUR	13DUR|2BEXP|45VULN|6TBNT|7RCR|8LWND|9AME|aMDPS
17	35461 22232	   	343.45	DCR|2VULN|1MDPS|2DUR|1SELL	14DUR|2SELL|34VULN|4BPWR|5MULARM|6LWND|7CGEN|8MLV|9RCR|aMDPS
18	32125 31356	   	343.40	DCR|2VULN|1MDPS|2DUR	16DUR|2ASPD|3BBNT|4RMIN|58VULN|7RCR|9AEFBLL|aMDPS
19	32145 61131	   	343.40	DCR|2VULN|1MDPS|2DUR	16DUR|2ASPD|3BBNT|4ERES|56VULN|6BPWR|7RCR|8LHND|9AME|aMDPS
20	35461 21332	   	343.35	DCR|2VULN|1MDPS|2DUR|1SELL	14DUR|2SELL|34VULN|4BPWR|5MULARM|6LWND|7AEFRZ|8FEWX|9RCR|aMDPS
21	55242 22231	 * 	341.55	DCR|4VULN|1CDMG|1DUR	15MLV|2DLOT|3457VULN|5BPWR|6LWND|8DUR|9CDMG|aRCR
22	32513 12245	   	341.35	DCR|4VULN|1CDMG|1DUR	1DUR|2ASPD|359aVULN|4LHND|6CDMG|7TBNT|8RCR
