0	Index      	 *	Score 	Summary	Detail	
1	62533 35133	 * 	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	1RAT|27DUR|346VULN|5RPLT|8TLV|9RCR|aMDPS
2	62533 36133	   	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	1RAT|2DUR|346VULN|5RPLT|7AEPOI|8TLV|9RCR|aMDPS
3	42313 61125	 * 	397.87	DCR|2MDPS|1VULN|3DUR|1CDMG	1BEXP|2VULN|379DUR|4AME|5CDMG|6RCR|8aMDPS
4	42331 61125	   	397.87	DCR|2MDPS|1VULN|3DUR|1CDMG	1BEXP|2VULN|379DUR|4CDMG|5ERES|6RCR|8aMDPS
5	42354 11322	 * 	391.36	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	17BEXP|27VULN|3DUR|4RMIN|5FEWX|67CDMG|7BPWR|8DMG|9RCR|aMDPS
6	11452 22622	   	391.26	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1RMIN|28CDMG|38FEWX|4DUR|5AETHUN|6DMG|78VULN|8BPWR|9RCR|aMDPS
7	11552 22622	   	391.26	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1RMIN|28CDMG|38LWND|4DUR|5AETHUN|6DMG|78VULN|8BPWR|9RCR|aMDPS
8	11652 22622	   	391.26	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1RMIN|28CDMG|38BEXP|4DUR|5AETHUN|6DMG|78VULN|8BPWR|9RCR|aMDPS
9	12432 22622	   	391.26	DCR|2VULN|1MDPS|1CDMG|2DUR|1DMG	1RMIN|28LWND|38DUR|4CDMG|5AETHUN|6DMG|78VULN|8BPWR|9RCR|aMDPS
10	62531 23121	   	387.48	DCR|3VULN|1MDPS|2DUR	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aBOSS
11	62531 23122	   	387.48	DCR|3VULN|1MDPS|2DUR	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aRCVC
12	62531 23123	   	387.48	DCR|3VULN|1MDPS|2DUR|1MSE	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aMSE
13	62531 23124	   	387.48	DCR|3VULN|1MDPS|2DUR	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aRMIN
14	62531 23125	   	387.48	DCR|3VULN|1MDPS|2DUR	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aRPLT
15	62531 23126	   	387.48	DCR|3VULN|1MDPS|2DUR	157RAT|26DUR|346VULN|6BPWR|8RCR|9MDPS|aLWND
