0	Index      	 *	Score 	Summary	Detail	
1	51234 13882	 * 	371.56	DCR|2MDPS|1VULN|1DUR|1AART	19LHND|2AART|3MBVNT|4DUST|5DUR|6VULN|7RCR|8aMDPS
2	21234 13467	 * 	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1LWND|2AART|3MBVNT|4DUST|5DUR|69VULN|7RCR|8DMG|aMDPS
3	51234 13467	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1LHND|2AART|3MBVNT|4DUST|5DUR|69VULN|7RCR|8DMG|aMDPS
4	13124 73846	   	358.11	DCR|2MDPS|1VULN|1DUR	1CGEN|2RAT|3DUR|4MBVNT|5LHND|6AAC|7RCR|8VULN|9aMDPS
5	13124 33846	   	358.01	DCR|2MDPS|1VULN|1DUR	1CGEN|2RAT|3DUR|4MBVNT|5LHND|6ASPD|7RCR|8VULN|9aMDPS
6	13523 33846	   	358.01	DCR|2MDPS|1VULN|1DUR	1CGEN|2RAT|3LHND|4MBVNT|5DUR|6ASPD|7RCR|8VULN|9aMDPS
7	24353 64433	   	358.01	DCR|2MDPS|1VULN|1DUR	18LWND|2DUR|3MBVNT|4CANSTR|5VULN|6MLV|7RCR|9aMDPS
8	24353 64142	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2DUR|3MBVNT|4CANSTR|59VULN|6MLV|7RCR|8TLV|aMDPS
9	24311 13255	 * 	351.83	2MDPS|2VULN|2CDMG|1DUR	17LWND|2DUR|3MBVNT|4AAC|57CDMG|67VULN|7BPWR|8aMDPS|9CGEN
10	32231 34224	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DUR|3DMG|4TBNT|58VULN|6MSLREG|7RCR|9MLV|aMDPS
11	62231 34224	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1AEFRZ|2DUR|3DMG|4TBNT|58VULN|6MSLREG|7RCR|9MLV|aMDPS
12	32231 34214	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DUR|3DMG|4TBNT|58VULN|6MSLREG|7RCR|9ERES|aMDPS
13	62231 34214	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEFRZ|2DUR|3DMG|4TBNT|58VULN|6MSLREG|7RCR|9ERES|aMDPS
14	24341 16642	 * 	347.38	ACR|3VULN|1MDPS|2DUR	17LWND|27DUR|3MBVNT|4RCR|5LEGI|679VULN|7BPWR|8LSRICY|aMDPS
15	31213 62425	 * 	344.40	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1SELL	1AEWIND|2TLV|3RCR|4ERES|58VULN|6CDMG|7SELL|9DUR|aMDPS
16	31236 11341	 * 	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aAEBURN
17	31236 11342	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aAAC
18	31236 11343	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aDMSP
19	31236 11344	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aLHND
20	31236 11345	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG|1MSE	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aMSE
21	31236 11346	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEWIND|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aDUST
22	61236 11341	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEFRZ|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aAEBURN
23	61236 11342	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEFRZ|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aAAC
24	61236 11343	   	342.23	ACR|1MDPS|1VULN|2TLV|3DUR|2DMG	17AEFRZ|25TLV|3RCR|457DUR|57BPWR|67DMG|8VULN|9MDPS|aDMSP
