0	Index      	 *	Score 	Summary	Detail	
1	21353 63532	 * 	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2TLV|3DUR|45VULN|6CDMG|7RCVC|8RAT|9RCR|aMDPS
2	21331 52624	 * 	381.35	DCR|2VULN|1MDPS|3DUR|1TLV	1BEXP|2TLV|345DUR|6LWND|7RCR|89VULN|aMDPS
3	21413 21356	 * 	374.34	DCR|2VULN|1MDPS|2TLV|1DUR	17BEXP|24TLV|3RMIN|57VULN|67AEBURN|7BPWR|8DUR|9RCR|aMDPS
4	51343 51221	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	1FEWX|2TLV|37DUR|4LHND|59VULN|6LEGI|8RCR|aMDPS
5	22434 31324	 * 	367.74	DCR|5VULN|1DMG|1DUR	12BEXP|2BPWR|3467aVULN|5DMG|8DUR|9RCR
6	31236 53232	 * 	366.16	ACR|DCR|2MDPS|2VULN|1DUR|1AART	1AART|2aMDPS|36RCR|4BEXP|59VULN|7DUR|8ZMB
7	31236 53432	   	366.06	ACR|DCR|2MDPS|2VULN|1DUR|1AART	1AART|2aMDPS|36RCR|4BEXP|59VULN|7DUR|8NUKE
8	21353 62153	 * 	365.38	2MDPS|2VULN|1CDMG|1TLV|1DUR	1BEXP|2TLV|3DUR|45VULN|6CDMG|7aMDPS|8LWND|9MBVNT
9	21351 22121	 * 	361.23	ACR|3VULN|1MDPS|1TLV|1DUR	1BEXP|2TLV|3DUR|489VULN|5RCR|6LHND|7FEWX|aMDPS
10	51351 22121	   	361.23	ACR|3VULN|1MDPS|1TLV|1DUR	1FEWX|2TLV|3DUR|489VULN|5RCR|6LHND|7BEXP|aMDPS
11	21351 38141	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1BEXP|2TLV|3DUR|489VULN|5RCR|6MBVNT|7FEWX|aMDPS
12	51351 38141	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1FEWX|2TLV|3DUR|489VULN|5RCR|6MBVNT|7BEXP|aMDPS
13	61351 22121	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1DUST|2TLV|3DUR|489VULN|5RCR|6LHND|7FEWX|aMDPS
14	51351 31121	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1FEWX|2TLV|3DUR|489VULN|5RCR|6MBVNT|7LEGI|aMDPS
15	61351 38141	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1DUST|2TLV|3DUR|489VULN|5RCR|6MBVNT|7FEWX|aMDPS
16	15412 31324	 * 	360.22	DCR|4VULN|1TLV|1DMG|1DUR	1AME|2DMG|367aVULN|4TLV|5AEFRZ|8DUR|9RCR
17	21353 41341	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	17BEXP|2TLV|3DUR|45VULN|6DUST|8FEWX|9RCR|aMDPS
18	21353 36341	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2TLV|3DUR|45VULN|6AEPOI|7DUST|8FEWX|9RCR|aMDPS
19	21353 43241	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2TLV|3DUR|45VULN|6DUST|7CGEN|8ERES|9RCR|aMDPS
20	21363 34342	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2TLV|3DUR|4ERES|5BASICY|6RCR|79VULN|8BELT|aMDPS
21	51343 53221	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1FEWX|2TLV|3DUR|4LHND|59VULN|6LEGI|7AEFRZ|8RCR|aMDPS
