0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64411 31442	10	 * 	311.32	橙5易伤3伤害2时间	1349a易伤235伤害3a序列升级6a时间7加一8核
2	64411 31412	10	 * 	305.00	橙4易伤3伤害3时间	134a易伤235伤害3a序列升级69a时间7加一8核
3	64411 31441	10	   	296.63	橙5易伤3伤害1时间	1349a易伤235伤害3序列升级6时间7加一8核
4	64411 21133	10	   	291.98	橙4易伤3伤害2时间	1349易伤235伤害39序列升级6立即金币79金币生成89时间a核
5	64411 32133	10	   	291.98	橙4易伤3伤害2时间	1349易伤235伤害39序列升级69时间789金币生成a核
6	64411 32233	10	   	291.98	橙4易伤3伤害2时间	1349易伤235伤害39序列升级69时间79金币生成8双倍矿a核
7	64411 31421	9	   	291.78	橙4易伤3伤害2时间	134a易伤235伤害3a序列升级6a时间7加一8核9平台
8	64411 31411	10	   	291.68	橙4易伤3伤害2时间	134a易伤235伤害3序列升级69时间7加一8核
9	64411 31443	10	   	291.68	橙4易伤3伤害2时间	1349易伤235伤害3序列升级6a时间7加一8核
10	61323 63432	10	 * 	290.95	橙3易伤2伤害2时间2攻速1等级	159易伤2等级39时间4挖尘68攻速79伤害9序列升级a核
11	12225 22311	4	   	282.29	橙3易伤2伤害2全技能1时间2雷电1攻速	19雷电2攻速39伤害479易伤58全技能6核9序列升级a时间
12	12434 22311	5	   	282.29	橙3易伤2伤害2全技能1时间2雷电1攻速	19雷电2攻速38全技能49伤害579易伤6核9序列升级a时间
13	64411 31413	10	   	282.26	橙3易伤3伤害3时间	134易伤235伤害3序列升级69a时间7加一8核
