0	Index      	 *	Score 	Summary	Detail	
1	36252 26213	 * 	304.50	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	13BEXP|2ASPD|4DMG|5VULN|6LIT|79RCR|8AME|aTLV
2	14331 26226	 * 	297.21	DCR|3VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58aVULN|6BBNT|78MLV|8BPWR|9RCR
3	14331 42226	   	297.21	DCR|3VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58aVULN|68MLV|7BBNT|8BPWR|9RCR
4	26211 26211	 * 	296.89	DCR|DCR|1TLV|1LIT|1VULN|2ASPD	1LWND|24ASPD|3BEXP|5NUKE|6LIT|79RCR|8TLV|aVULN
5	36111 26211	   	296.89	DCR|DCR|1TLV|1LIT|1VULN|2ASPD	1BEXP|24ASPD|3LWND|5NUKE|6LIT|79RCR|8TLV|aVULN
6	13114 36211	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4BEXP|5LIT|6DUR|79RCR|8TLV|aVULN
7	13134 36211	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4DUR|5LIT|6BEXP|79RCR|8TLV|aVULN
8	13141 36211	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4LIT|5DUR|6BEXP|79RCR|8TLV|aVULN
9	36211 26211	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	13BEXP|2ASPD|4DUR|5NUKE|6LIT|79RCR|8TLV|aVULN
10	11241 26211	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1RCVC|2LHND|3BEXP|4DMG|5NUKE|6LIT|79RCR|8TLV|aVULN
11	15241 26211	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1RCVC|2LWND|3BEXP|4DMG|5NUKE|6LIT|79RCR|8TLV|aVULN
12	21241 26211	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	12LWND|3BEXP|4DMG|5NUKE|6LIT|79RCR|8TLV|aVULN
13	31441 26211	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BEXP|23LWND|4DMG|5NUKE|6LIT|79RCR|8TLV|aVULN
14	13114 56211	   	284.53	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4BEXP|5LIT|6LHND|79RCR|8TLV|aVULN
15	13115 26211	   	284.53	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4BEXP|5LWND|6LIT|79RCR|8TLV|aVULN
16	26253 26211	   	284.53	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LWND|2ASPD|35BEXP|4ZMB|6LIT|79RCR|8TLV|aVULN
17	36153 26211	   	284.53	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	15BEXP|2ASPD|3LWND|4ZMB|6LIT|79RCR|8TLV|aVULN
18	26241 26211	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LWND|2ASPD|3BEXP|4DMSP|5NUKE|6LIT|79RCR|8TLV|aVULN
19	36141 26211	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3LWND|4DMSP|5NUKE|6LIT|79RCR|8TLV|aVULN
20	13112 26213	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4BEXP|5VULN|6LIT|79RCR|8AME|aTLV
21	13143 36213	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RCVC|2ZMB|3ASPD|4LIT|5VULN|6BEXP|79RCR|8AME|aTLV
22	14331 26225	   	283.38	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|6BBNT|78MLV|8BPWR|9RCR|aAART
23	14331 42225	   	283.38	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|68MLV|7BBNT|8BPWR|9RCR|aAART
24	14331 26221	   	280.63	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|6BBNT|78MLV|8BPWR|9RCR|aTBNT
25	14331 42221	   	280.63	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|68MLV|7BBNT|8BPWR|9RCR|aTBNT
26	14621 36211	   	280.54	DCR|DCR|1TLV|1LIT|1VULN	1RCVC|2AAC|3LIT|4ZMB|5DUR|6BEXP|79RCR|8TLV|aVULN
27	52241 33142	 * 	276.92	DCR|2VULN|2MLV|1TLV|1LIT|1DMG	19GSSTOX|29MLV|3TLV|4LIT|5BBNT|6RCR|7TBNT|89VULN|9BPWR|aDMG
28	14331 26222	   	274.97	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|6BBNT|78MLV|8BPWR|9RCR|aDUST
29	14331 26223	   	274.97	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|6BBNT|78MLV|8BPWR|9RCR|aMDPS
30	14331 42222	   	274.97	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|68MLV|7BBNT|8BPWR|9RCR|aDUST
31	14331 42223	   	274.97	DCR|2VULN|2TLV|2MLV|1RPLT	1RCVC|2AAC|3RPLT|48TLV|58VULN|68MLV|7BBNT|8BPWR|9RCR|aMDPS
