0	Index      	 *	Score 	Summary	Detail	
1	35613 33235	 * 	324.06	DCR|DCR|2LIT|1TLV|1VULN|1ASPD|1CDMG	13LIT|2TBNT|4TLV|5VULN|6CDMG|7FEWX|8ASPD|9aRCR
2	35633 23226	 * 	322.75	DCR|3LIT|2VULN|2TLV|2MLV	139LIT|2TBNT|49MLV|5aVULN|6ERES|7RCR|89TLV|9BPWR
3	35633 23222	   	316.61	DCR|3LIT|2TLV|2MLV|1VULN|1DMG	139LIT|2TBNT|49MLV|5VULN|6ERES|7RCR|89TLV|9BPWR|aDMG
4	31363 33235	   	307.85	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1LIT|2RCVC|3VULN|4BBNT|5TLV|6CDMG|7FEWX|8ASPD|9aRCR
5	31363 36235	   	307.85	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1LIT|2RCVC|3VULN|4BBNT|5TLV|6CDMG|7BEXP|8ASPD|9aRCR
6	35633 23224	   	306.21	DCR|3LIT|2TLV|2MLV|1VULN	139LIT|2TBNT|49MLV|5VULN|6ERES|7RCR|89TLV|9BPWR|aBBNT
7	35633 23253	   	306.21	DCR|3LIT|2TLV|2MLV|1VULN	13aLIT|2TBNT|4aMLV|5VULN|6ERES|7RCR|8aTLV|9BBNT|aBPWR
8	31512 23343	   	304.75	DCR|DCR|2LIT|1TLV|1VULN|1ASPD	1aLIT|2RCVC|3CGEN|4MDPS|5TLV|68RCR|7ASPD|9VULN
9	31412 23343	   	304.65	DCR|DCR|2LIT|1TLV|1VULN|1ASPD	1aLIT|2RCVC|3ERES|4MDPS|5TLV|68RCR|7ASPD|9VULN
10	32254 22613	 * 	304.10	DCR|DCR|2LIT|1TLV|1MLV|1DMG	13LIT|23DUST|3BPWR|4DUR|5LHND|68RCR|7MLV|9TLV|aDMG
11	31333 33235	   	303.74	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1LIT|2RCVC|3VULN|4TBNT|5TLV|6CDMG|7FEWX|8ASPD|9aRCR
12	31333 36235	   	303.74	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1LIT|2RCVC|3VULN|4TBNT|5TLV|6CDMG|7BEXP|8ASPD|9aRCR
13	32256 23313	   	302.38	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	13LIT|23DUST|3BPWR|4DUR|5LWND|68RCR|7ASPD|9TLV|aDMG
14	31215 23312	   	300.76	DCR|DCR|2LIT|1TLV|1VULN	17LIT|2RCVC|3AAC|4MDPS|5DUR|68RCR|9TLV|aVULN
15	31512 23341	 * 	299.81	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1ASPD	1LIT|2RCVC|3CGEN|4MDPS|5TLV|68RCR|7ASPD|9VULN|aMLV
16	31412 23341	   	299.71	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1ASPD	1LIT|2RCVC|3ERES|4MDPS|5TLV|68RCR|7ASPD|9VULN|aMLV
17	34211 14621	   	299.50	DCR|DCR|2LIT|1TLV|1VULN	13LIT|2AART|3BPWR|4AAC|5FEWX|68RCR|7VULN|9RCVC|aTLV
18	34213 15611	   	299.50	DCR|DCR|2LIT|1TLV|1VULN	13LIT|2AART|3BPWR|4AAC|5LWND|68RCR|7FEWX|9TLV|aVULN
19	34211 13611	   	299.40	DCR|DCR|2LIT|1TLV|1VULN	13LIT|2AART|3BPWR|4AAC|5FEWX|68RCR|7DUST|9TLV|aVULN
20	35633 23221	   	296.55	DCR|3LIT|2TLV|2MLV|1VULN	139LIT|2TBNT|49MLV|5VULN|6ERES|7RCR|89TLV|9BPWR|aLWND
21	35633 23223	   	296.55	DCR|3LIT|2TLV|2MLV|1VULN	139LIT|2TBNT|49MLV|5VULN|6ERES|7RCR|89TLV|9BPWR|aLHND
22	34322 25331	   	295.16	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	1aLIT|2AART|3CGEN|4aMLV|5VULN|6CDMG|7aTLV|8MDPS|9RCR|aBPWR
