0	Index      	 *	Score 	Summary	Detail	
1	65614 34221	 * 	312.71	DCR|4VULN|3TLV|3LIT	178TLV|279LIT|3MBVNT|479aVULN|5MDPS|6RCR|79BPWR
2	65614 34223	   	307.20	DCR|3VULN|3TLV|3LIT|1CDMG	178TLV|279LIT|3MBVNT|479VULN|5MDPS|6RCR|79BPWR|aCDMG
3	61115 24322	 * 	300.39	DCR|DCR|2TLV|1LIT|2DUR	19TLV|2AART|3BBNT|49DUR|5DMSP|68RCR|7TBNT|9BPWR|aLIT
4	61215 24322	   	300.39	DCR|DCR|2TLV|1LIT|2DUR	19TLV|2AART|3TBNT|49DUR|5DMSP|68RCR|7BBNT|9BPWR|aLIT
5	61114 24322	 * 	299.83	DCR|DCR|3TLV|1VULN|2DUR	159TLV|2AART|3BBNT|49DUR|68RCR|7TBNT|9BPWR|aVULN
6	61214 24322	   	299.83	DCR|DCR|3TLV|1VULN|2DUR	159TLV|2AART|3TBNT|49DUR|68RCR|7BBNT|9BPWR|aVULN
7	33242 41213	 * 	295.06	DCR|DCR|2MLV|1TLV|1VULN|1RPLT	1VENFST|2TLV|3RPLT|45MLV|6aRCR|7LHND|8VULN|9DUR
8	33242 42213	   	295.06	DCR|DCR|2MLV|1TLV|1VULN|1RPLT	1VENFST|2TLV|3RPLT|45MLV|6aRCR|7LWND|8VULN|9DUR
9	33242 43313	   	294.96	DCR|DCR|2MLV|1TLV|1VULN|1RPLT	1VENFST|2TLV|3RPLT|45MLV|6aRCR|7VULN|8DUST|9DUR
10	65614 34142	 * 	294.48	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3MBVNT|47VULN|5MDPS|6RCR|7BPWR|8CANHEL|9MLV|aRPLT
11	34315 21532	 * 	293.82	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1VENFST|29VULN|3VENTOX|4MLV|5LWND|6CDMG|7aRCR|8TLV
