0	Index      	 *	Score 	Summary	Detail	
1	12164 23241	 * 	307.47	DCR|3VULN|2LIT|1TLV|2CDMG|1ASPD	1AART|2BBNT|39CDMG|4ASPD|569VULN|79LIT|8RCR|9BPWR|aTLV
2	51512 13351	 * 	298.42	DCR|DCR|2VULN|1TLV|1RPLT	1CGEN|2RPLT|3TBNT|4aVULN|5BBNT|6MDPS|79RCR|8TLV
3	11425 44743	 * 	298.31	DCR|DCR|1TLV|1LIT|1VULN	1AART|2DUR|3MBVNT|4VULN|5LIT|6TLV|7DUST|89RCR|aBBNT
4	11412 46134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4BEXP|5TLV|6CDMG|7aVULN|89RCR
5	11421 15134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5FEWX|6CDMG|7TLV|89RCR
6	11421 18534	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5FEWX|6CDMG|79RCR|8TLV
7	11424 15134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5BEXP|6CDMG|7TLV|89RCR
8	11424 18534	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5BEXP|6CDMG|79RCR|8TLV
9	11426 15134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5LWND|6CDMG|7TLV|89RCR
10	15335 46134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2TLV|3DUR|4BEXP|5MBVNT|6CDMG|7aVULN|89RCR
11	11423 15134	   	296.41	DCR|DCR|2VULN|1TLV|1CDMG	1AART|2DUR|3MBVNT|4aVULN|5LEGI|6CDMG|7TLV|89RCR
12	61215 32214	 * 	295.25	DCR|2VULN|2DMG|1TLV|1LIT|2ASPD|1RPLT|1SELL	19DMG|2RPLT|39ASPD|4LHND|5LIT|6SELL|7RCR|89VULN|9BPWR|aTLV
13	61235 32214	 * 	295.25	DCR|2VULN|2DMG|1TLV|1LIT|2ASPD|1RPLT|1SELL	19DMG|2RPLT|39ASPD|4BEXP|5LIT|6SELL|7RCR|89VULN|9BPWR|aTLV
14	16265 33242	 * 	294.78	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1AART|2RCVC|39RCR|4MBVNT|57TLV|6LIT|8VULN|aMLV
15	61331 34211	   	291.42	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1RPLT|1ASPD	1DMG|2RPLT|3BEXP|4TLV|56RCR|7TBNT|8VULN|9ASPD|aLIT
16	11412 46133	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4BEXP|5TLV|6CDMG|7VULN|89RCR|aDMG
17	11421 15133	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5FEWX|6CDMG|7TLV|89RCR|aDMG
18	11421 18533	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5FEWX|6CDMG|79RCR|8TLV|aDMG
19	11424 15133	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5BEXP|6CDMG|7TLV|89RCR|aDMG
20	11424 18533	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5BEXP|6CDMG|79RCR|8TLV|aDMG
21	11426 15133	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5LWND|6CDMG|7TLV|89RCR|aDMG
22	15335 46133	   	290.37	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2TLV|3DUR|4BEXP|5MBVNT|6CDMG|7VULN|89RCR|aDMG
23	11423 15133	   	290.27	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AART|2DUR|3MBVNT|4VULN|5LEGI|6CDMG|7TLV|89RCR|aDMG
24	11425 44741	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1AART|2DUR|3MBVNT|4VULN|5LIT|6TLV|7DUST|89RCR|aAEFBLL
25	11425 44742	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1AART|2DUR|3MBVNT|4VULN|5LIT|6TLV|7DUST|89RCR|aBLALIT
26	11425 44744	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1AART|2DUR|3MBVNT|4VULN|5LIT|6TLV|7DUST|89RCR|aAME
27	11412 46137	 * 	285.68	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1AART|2DUR|3MBVNT|4BEXP|5TLV|6CDMG|7VULN|89RCR|aMLV
28	11421 15137	   	285.68	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1AART|2DUR|3MBVNT|4VULN|5FEWX|6CDMG|7TLV|89RCR|aMLV
29	11424 15137	   	285.68	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1AART|2DUR|3MBVNT|4VULN|5BEXP|6CDMG|7TLV|89RCR|aMLV
30	11423 15137	   	285.58	DCR|DCR|1TLV|1VULN|1MLV|1CDMG	1AART|2DUR|3MBVNT|4VULN|5LEGI|6CDMG|7TLV|89RCR|aMLV
31	15143 51323	   	283.35	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1AART|2aTLV|3BBNT|4DMG|5VULN|6MLV|7RCR|8LIT|9TBNT
32	23525 36231	 * 	282.77	DCR|2TLV|2LIT|2MLV|1VULN	19ERES|2RMIN|39MLV|4VULN|58LIT|69TLV|7RCR|9BPWR|aDUR
33	61331 33241	   	281.87	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1RPLT	1DMG|2RPLT|3BEXP|4TLV|56RCR|7ZMB|8VULN|9BBNT|aLIT
34	61331 36341	   	281.87	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1RPLT	1DMG|2RPLT|3BEXP|4TLV|56RCR|7MGNSTR|8LIT|9DUR|aVULN
35	61331 32241	   	281.77	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1RPLT	1DMG|2RPLT|3BEXP|4TLV|56RCR|7AME|8VULN|9BBNT|aLIT
36	63311 14133	   	280.61	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DMG|2DUST|3AAC|4MDPS|5AART|6CDMG|7TLV|89RCR|aVULN
37	61331 36262	 * 	279.97	ACR|DCR|2VULN|1TLV|1DMG|1RPLT|1ASPD	1DMG|2RPLT|3BEXP|4TLV|56RCR|7MGNSTR|8aVULN|9ASPD
38	11412 46138	   	279.97	DCR|DCR|1TLV|1VULN|1CDMG	1AART|2DUR|3MBVNT|4BEXP|5TLV|6CDMG|7VULN|89RCR|aBBNT
39	11421 15138	   	279.97	DCR|DCR|1TLV|1VULN|1CDMG	1AART|2DUR|3MBVNT|4VULN|5FEWX|6CDMG|7TLV|89RCR|aBBNT
40	11424 15138	   	279.97	DCR|DCR|1TLV|1VULN|1CDMG	1AART|2DUR|3MBVNT|4VULN|5BEXP|6CDMG|7TLV|89RCR|aBBNT
41	11423 15138	   	279.87	DCR|DCR|1TLV|1VULN|1CDMG	1AART|2DUR|3MBVNT|4VULN|5LEGI|6CDMG|7TLV|89RCR|aBBNT
42	12164 23152	   	278.57	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1CDMG	1AART|2BBNT|3CDMG|4ASPD|56VULN|7LIT|8DMG|9RCR|aTLV
