0	Index      	 *	Score 	Summary	Detail	
1	31236 16225	 * 	295.84	DCR|2VULN|2TLV|2LIT|1MLV	1AIRARM|2DUR|3aVULN|4aTLV|5FLTARM|6aLIT|7MLV|8RCR|9ERES|aBPWR
2	23334 65312	 * 	293.57	DCR|3VULN|2TLV|3ASPD|1LIT	158ASPD|2SNIHEL|3RMIN|48TLV|678VULN|8BPWR|9LIT|aRCR
3	21213 21251	 * 	288.93	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD|1CDMG	1ASPD|2LHND|3RPLT|48VULN|59RCR|6MLV|7TLV|aCDMG
4	22213 21251	   	288.93	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD|1CDMG	1ASPD|2LWND|3RPLT|48VULN|59RCR|6MLV|7TLV|aCDMG
5	24213 21251	   	288.93	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD|1CDMG	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6MLV|7TLV|aCDMG
6	24213 21255	   	284.94	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6MLV|7TLV|aDUR
7	22216 21266	 * 	282.84	DCR|2VULN|1TLV|2DMG|1LIT|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|5aDMG|6RCR|7TLV|9LIT
8	21213 21253	   	280.84	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LHND|3RPLT|48VULN|59RCR|6MLV|7TLV|aTBNT
9	22213 21253	   	280.84	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2LWND|3RPLT|48VULN|59RCR|6MLV|7TLV|aTBNT
10	24213 21253	   	280.84	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1ASPD|2BEXP|3RPLT|48VULN|59RCR|6MLV|7TLV|aTBNT
11	22636 22274	 * 	280.71	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1ASPD|2LWND|3TLV|4MBVNT|5RPLT|69RCR|7VULN|8LHND|aDMG
12	34121 16521	   	279.51	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	1AIRARM|24TLV|3BELT|58VULN|6RCR|7ASPD|9LIT|aMLV
13	52111 42531	 * 	278.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	1BBNT|246VULN|3LIT|5ERES|7DMG|8RCR|9ASPD|aTLV
14	22253 35251	 * 	278.25	DCR|DCR|2VULN|2ASPD|1RPLT|1CDMG	14ASPD|24LWND|3RPLT|4BPWR|5DUR|68VULN|79RCR|aCDMG
