0	Index      	 *	Score 	Summary	Detail	
1	37318 47341	 * 	304.06	DCR|3LIT|2VULN|2TLV|1MLV	1MBVNT|29VULN|3CGEN|469LIT|5MDPS|7RCR|89TLV|9BPWR|aMLV
2	34444 36386	 * 	303.16	DCR|DCR|1TLV|1LIT|2ASPD|1DMG|1RPLT	1MBVNT|28ASPD|3RPLT|4DMG|5TLV|6CGEN|7aRCR|9LIT
3	62311 63143	   	299.58	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|26VULN|3MLV|4ERES|5aTLV|7LIT|8DMG|9RCR
4	62311 51143	   	299.58	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|27VULN|3MLV|4ERES|5aTLV|6LIT|8DMG|9RCR
5	37314 27342	 * 	295.40	DCR|4VULN|2TLV|2LIT	1MBVNT|259aVULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR
6	37534 37342	   	295.30	DCR|4VULN|2TLV|2LIT	1MBVNT|239aVULN|39BPWR|4ERES|5MDPS|69LIT|7RCR|89TLV
7	37246 33162	 * 	291.10	DCR|3VULN|2TLV|2MLV|1CDMG	1MBVNT|29aVULN|3RMIN|4RPLT|5CDMG|6aTLV|7RCR|8aMLV|aBPWR
8	37246 33472	   	291.10	DCR|3VULN|2TLV|2MLV|1CDMG	1MBVNT|28aVULN|3RMIN|4RPLT|5CDMG|6aTLV|7RCR|9aMLV|aBPWR
9	62311 52143	 * 	290.96	DCR|2TLV|2DMG|1LIT|1VULN|1MLV|1CDMG	1CDMG|2VULN|3MLV|4ERES|5aTLV|6LIT|78DMG|9RCR
10	34444 36486	   	290.71	DCR|DCR|1TLV|1LIT|1DMG|1RPLT|1ASPD	1MBVNT|2ASPD|3RPLT|4DMG|5TLV|6CGEN|7aRCR|8RCVC|9LIT
11	37314 27346	   	289.88	DCR|3VULN|2TLV|2LIT|1ASPD	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR|aASPD
12	37231 68234	 * 	288.96	DCR|DCR|2TLV|1VULN|1DMG	1MBVNT|2VULN|3RMIN|4LWND|5aTLV|6DUR|7DMG|89RCR
13	37533 15414	 * 	288.95	DCR|4VULN|2TLV|2DMG	1MBVNT|239aVULN|39BPWR|4ERES|59DMG|6AART|79TLV|8RCR
14	62141 11143	 * 	284.46	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|257VULN|3LIT|4MLV|6FEWX|8DMG|9RCR|aTLV
15	62321 11143	   	284.46	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|257VULN|3MLV|4LIT|6FEWX|8DMG|9RCR|aTLV
16	62332 33143	   	284.46	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|245VULN|3MLV|6LWND|7LIT|8DMG|9RCR|aTLV
17	62332 63143	   	284.36	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|245VULN|3MLV|6DUST|7LIT|8DMG|9RCR|aTLV
18	32828 31238	 * 	283.79	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7FEWX|89RCR|aBBNT
19	32861 52332	 * 	283.42	DCR|DCR|2VULN|1LIT|1MLV|1DMG	1MBVNT|2MLV|3DMG|47VULN|5TBNT|6aRCR|8LIT|9ZMB
20	62321 61143	   	282.63	DCR|2VULN|2LIT|1TLV|1MLV|1DMG|1CDMG	1CDMG|25VULN|3MLV|46LIT|7LHND|8DMG|9RCR|aTLV
21	37318 23333	   	282.46	DCR|2VULN|2TLV|2LIT|1DMG	1MBVNT|29VULN|3CGEN|49LIT|5MDPS|69TLV|7RCR|8AART|9BPWR|aDMG
22	37314 27344	   	281.79	DCR|3VULN|2TLV|2LIT	1MBVNT|259VULN|3CGEN|49LIT|6MDPS|7RCR|89TLV|9BPWR|aTBNT
23	62325 11126	   	281.78	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2VULN|3MLV|4LIT|5RPLT|67TLV|8FEWX|9DMG|aRCR
24	34861 52312	   	281.70	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1MBVNT|2ASPD|3DMG|47VULN|5TBNT|6aRCR|8LIT|9CGEN
25	37534 37344	   	281.69	DCR|3VULN|2TLV|2LIT	1MBVNT|239VULN|39BPWR|4ERES|5MDPS|69LIT|7RCR|89TLV|aTBNT
26	62325 11226	   	281.68	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2VULN|3MLV|4LIT|5RPLT|67TLV|8DUST|9DMG|aRCR
27	37318 47343	   	281.53	DCR|3LIT|2VULN|2TLV	1MBVNT|29VULN|3CGEN|469LIT|5MDPS|7RCR|89TLV|9BPWR|aBBNT
28	32268 46132	   	281.11	DCR|DCR|2VULN|1LIT|1MLV|1ASPD	1MBVNT|2MLV|3ASPD|45VULN|6aRCR|7LIT|8BBNT|9ZMB
29	62141 12143	 * 	279.91	DCR|2VULN|2DMG|1TLV|1LIT|1MLV|1CDMG	1CDMG|25VULN|3LIT|4MLV|6FEWX|78DMG|9RCR|aTLV
30	62321 12143	   	279.91	DCR|2VULN|2DMG|1TLV|1LIT|1MLV|1CDMG	1CDMG|25VULN|3MLV|4LIT|6FEWX|78DMG|9RCR|aTLV
31	32828 31235	   	279.69	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7FEWX|89RCR|aTBNT
32	32828 34235	   	279.69	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1MBVNT|2MLV|3DMG|4LHND|5VULN|6TLV|7BEXP|89RCR|aTBNT
33	34451 22274	 * 	278.19	DCR|2VULN|2TLV|1LIT|2ASPD|1RPLT	1MBVNT|2aASPD|3RPLT|4aVULN|5MDPS|6CGEN|7LIT|8RCR|9aTLV|aBPWR
34	34458 22274	   	278.19	DCR|2VULN|2TLV|1LIT|2ASPD|1RPLT	1MBVNT|2aASPD|3RPLT|4aVULN|5CGEN|6MDPS|7LIT|8RCR|9aTLV|aBPWR
