0	Index      	 *	Score 	Summary	Detail	
1	43112 21622	 * 	191.86	DCR|4VULN|3DMG|1ASPD	1VENICY|25aDMG|3ASPD|4789VULN|6RCR
2	43112 21255	 * 	189.40	DCR|3DMG|2VULN|1CDMG|1FLTHEA|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aCDMG
3	43112 21252	   	186.76	DCR|3DMG|2VULN|1FLTHEA|1ZMB|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aZMB
4	43112 21613	 * 	186.76	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9CDMG|aZMB
5	22324 32156	 * 	184.99	ACR|3DMG|2VULN|1AART|1ZMB	1CGEN|24TLV|346DMG|4BPWR|5RCR|79VULN|8ZMB|aAART
6	43112 21254	   	182.69	DCR|3DMG|2VULN|1FLTHEA|1DUR|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aDUR
7	43112 21612	   	182.69	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9CDMG|aDUR
8	34511 22142	 * 	182.09	DCR|5VULN|1AART|1ZMB|1ASPD	1LHND|2367aVULN|4AART|5ASPD|8ZMB|9RCR
9	43223 32142	 * 	181.57	DCR|3VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|346VULN|5BEXP|7AART|8ZMB|aRCR
10	43226 32142	   	181.57	DCR|3VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|346VULN|5FEWX|7AART|8ZMB|aRCR
11	46143 23321	 * 	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28aVULN|3DUR|4CDMG|5DMG|6AART|7RCR|9LWND
12	43214 32351	 * 	179.91	DCR|3DMG|2VULN|1AART|1ASPD	1VENICY|258DMG|36VULN|4BEXP|7AART|9RCR|aASPD
13	43112 21632	   	179.36	DCR|3VULN|3DMG|1ASPD	1VENICY|25aDMG|3ASPD|478VULN|6RCR|9RCVC
14	46143 23213	 * 	177.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1VENICY|29VULN|3DUR|4CDMG|5DMG|6aAART|7RCR|8RMIN
15	46143 23313	   	177.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3DUR|4CDMG|5DMG|6aAART|7RCR|9RMIN
16	43112 21253	   	177.06	DCR|3DMG|2VULN|1FLTHEA|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aRCVC
17	43112 21621	   	176.20	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6RCR|aRMIN
18	43112 21623	   	176.20	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6RCR|aCGEN
19	43112 21624	   	176.20	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6RCR|aRPLT
20	43112 21626	   	176.20	DCR|4VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|4789VULN|6RCR|aMGNSTR
21	34511 22141	   	176.20	DCR|4VULN|1AART|1ZMB|1DUR|1ASPD	1LHND|2367VULN|4AART|5ASPD|8ZMB|9RCR|aDUR
22	34511 12142	 * 	175.87	DCR|4VULN|1AART|2ASPD|1ZMB	1LHND|237aVULN|4AART|56ASPD|8ZMB|9RCR
23	23214 32551	   	175.76	DCR|3VULN|3DMG|1DUR	1249aCGEN|3MBVNT|5DUR|69aDMG|7RCR|89aVULN|9aBPWR
24	23224 32551	   	175.76	DCR|3VULN|3DMG|1DUR	1249aCGEN|3MBVNT|49aBPWR|5DUR|69aDMG|7RCR|89aVULN
25	43112 21256	   	175.75	DCR|3DMG|2VULN|1FLTHEA|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aFEWX
26	43112 21611	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9CDMG|aLWND
27	43112 21616	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9CDMG|aLSRICY
28	43112 21251	   	175.65	DCR|3DMG|2VULN|1FLTHEA|1ASPD	1VENICY|259DMG|3ASPD|47VULN|6RCR|8FLTHEA|aTLV
29	43112 21615	   	175.65	DCR|3VULN|2DMG|1CDMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9CDMG|aMBVNT
30	22324 34121	   	174.94	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|7DUR|8ZMB|9AART|aVULN
31	22364 34121	   	174.94	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2TLV|346DMG|5RCR|7DUR|8ZMB|9AART|aVULN
32	26324 34121	   	174.94	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|24ERES|346DMG|4BPWR|5RCR|7DUR|8ZMB|9AART|aVULN
33	32632 32424	 * 	174.62	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	12aLHND|3aDMG|4LWND|5CDMG|6SELL|7RCR|8aVULN|9AART|aBPWR
34	22324 32354	   	174.59	ACR|3DMG|2VULN|1AART	1CGEN|24TLV|346DMG|4BPWR|5RCR|7aVULN|8FEWX|9AART
35	46343 23321	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1VENICY|28aVULN|3LWND|4CDMG|5DMG|6AART|7RCR|9LHND
36	43114 11621	   	173.54	DCR|4VULN|2DMG|1DUR|1ASPD	1VENICY|26DMG|3ASPD|4789VULN|5DUR|aRCR
37	43122 41621	   	173.54	DCR|4VULN|2DMG|1DUR|1ASPD	1VENICY|25DMG|3ASPD|4DUR|6789VULN|aRCR
38	43123 11621	   	173.54	DCR|4VULN|2DMG|1DUR|1ASPD	1VENICY|26DMG|3ASPD|4DUR|5789VULN|aRCR
39	43423 11621	   	173.54	DCR|4VULN|2DMG|1DUR|1ASPD	1VENICY|26DMG|3DUR|4789VULN|5ASPD|aRCR
40	46113 11621	   	173.54	DCR|4VULN|2DMG|1DUR|1ASPD	1VENICY|2789VULN|3DUR|4ASPD|56DMG|aRCR
41	36513 31532	 * 	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2ERES|3CGEN|4AART|58DMG|6RCR|7VULN|9CDMG|aZMB
42	13361 51523	   	173.23	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1FEWX|2BELT|3SELL|4AART|57DMG|6RCR|8CDMG|9ZMB|aVULN
43	35352 23412	 * 	173.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2DUR|3CDMG|4DMSP|5RCR|6VULN|78DMG|9AART|aZMB
44	43112 21663	   	173.01	DCR|3VULN|2DMG|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9ERES|aZMB
45	43214 32353	   	172.97	DCR|3DMG|2VULN|1AART	1VENICY|258DMG|36VULN|4aBEXP|7AART|9RCR
46	13454 22122	 * 	172.93	DCR|3VULN|2DMG|2CDMG	1FEWX|2BELT|35DMG|45aVULN|5BPWR|6LIT|7RCR|89CDMG
47	43214 32352	   	172.87	DCR|3DMG|2VULN|1AART	1VENICY|258DMG|36VULN|4BEXP|7AART|9RCR|aDUST
48	43116 32422	   	172.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1VENICY|28DMG|3ASPD|46VULN|5ZMB|7AART|9MLV|aRCR
49	46143 23331	   	172.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1VENICY|28VULN|3DUR|4CDMG|5DMG|6AART|7RCR|9LIT|aASPD
50	13361 21563	 * 	172.62	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1FEWX|2BELT|3SELL|4AART|56DMG|7aVULN|8CDMG|9RCR
51	13563 61132	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1FEWX|2BELT|3CDMG|4AART|5DUR|6ASPD|7DMG|8RCR|9aVULN
52	22324 32662	 * 	171.37	ACR|3DMG|2VULN|1CDMG|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|78VULN|9CDMG|aDUR
53	34511 22342	   	171.09	DCR|5VULN|1AART|1ASPD	1LHND|2367aVULN|4AART|5ASPD|8RMIN|9RCR
54	46143 23323	   	171.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1VENICY|28VULN|3aDUR|4CDMG|5DMG|6AART|7RCR|9LWND
55	46143 23332	   	171.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1VENICY|28VULN|3aDUR|4CDMG|5DMG|6AART|7RCR|9LIT
