0	Index      	 *	Score 	Summary	Detail	
1	34433 31262	 * 	220.10	ACR|3VULN|3DMG|1AART|2FLTHEA	1AART|29aDMG|3RCR|4LWND|57aVULN|6aFLTHEA|8RPLT|aBPWR
2	34363 53333	 * 	210.13	ACR|3VULN|2DMG|1AART|3ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|89aZMB
3	25263 53333	 * 	209.53	ACR|3VULN|2DMG|3ZMB|1AART|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|89aZMB
4	34433 31252	   	204.45	ACR|3VULN|2DMG|1AART|2FLTHEA	1AART|2aDMG|3RCR|4LWND|57aVULN|6aFLTHEA|8RPLT|9RCVC|aBPWR
5	34433 33262	   	204.45	ACR|3DMG|2VULN|1AART|2FLTHEA	1AART|29aDMG|3RCR|47LWND|5aVULN|6aFLTHEA|8RPLT|aBPWR
6	34363 53332	 * 	203.54	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|89ZMB|aDUR
7	25263 53332	 * 	202.94	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|89ZMB|aDUR
8	34423 23412	   	202.33	ACR|3VULN|2DMG|1AART|1ZMB	1AART|28DMG|3RCR|4ERES|58CGEN|678VULN|8BPWR|9ZMB|aDUR
9	34363 53232	   	199.68	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|8CGEN|9ZMB|aDUR
10	34363 53322	   	199.68	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|8ZMB|9MLV|aDUR
11	25263 53232	   	199.08	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|8CGEN|9ZMB|aDUR
12	25263 53322	   	199.08	ACR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|8ZMB|9MLV|aDUR
13	34423 23422	 * 	198.49	ACR|4VULN|2DMG|1AART	1AART|28DMG|3RCR|4ERES|58CGEN|678aVULN|8BPWR|9FEWX
14	34423 23432	   	198.49	ACR|4VULN|2DMG|1AART	1AART|28DMG|3RCR|4ERES|58CGEN|678aVULN|8BPWR|9LWND
15	34363 53331	 * 	196.60	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|27DMG|3SELL|4RCR|567VULN|7BPWR|89ZMB|aLIT
16	25263 53331	 * 	196.00	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1SELL|2AART|37DMG|4RCR|567VULN|7BPWR|89ZMB|aLIT
17	34433 31263	   	195.93	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|29DMG|3RCR|4LWND|57VULN|6FLTHEA|8RPLT|aCDMG
