0	Index      	 *	Score 	Summary	Detail	
1	52433 53312	 * 	205.52	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	189VULN|2RCVC|38ZMB|4CDMG|5DMG|6RCR|78DUR|8BPWR|aAART
2	52253 25122	 * 	202.09	ACR|4VULN|1AART|1DMG|1FLTHEA|1DUR	178aVULN|2RCVC|3RCR|4DUR|5DMG|6AART|9FLTHEA
3	52433 13338	 * 	201.74	DCR|4VULN|2DMG|2CDMG|1ZMB	169aVULN|2RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR
4	52433 53332	 * 	199.87	DCR|3VULN|3ZMB|1DMG|3DUR|1CDMG	189VULN|2RCVC|389ZMB|4CDMG|5DMG|6RCR|789DUR|89BPWR|aRMIN
5	52433 53331	   	199.62	DCR|3VULN|3ZMB|1DMG|3DUR|1CDMG|1SELL	189VULN|2RCVC|389ZMB|4CDMG|5DMG|6RCR|789DUR|89BPWR|aSELL
6	52261 24222	   	199.60	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	17aVULN|2RCVC|3RCR|4DMG|5AART|6ZMB|8ASPD|9FLTHEA
7	52261 35122	   	195.76	ACR|4VULN|1AART|1DMG|1FLTHEA	178aVULN|2RCVC|3RCR|4DMG|5AART|6BEXP|9FLTHEA
8	52261 53122	   	195.66	ACR|4VULN|1AART|1DMG|1FLTHEA	168aVULN|2RCVC|3RCR|4DMG|5AART|7DUST|9FLTHEA
9	52213 25122	   	195.16	ACR|4VULN|1AART|1DMG|1FLTHEA	178aVULN|2RCVC|3RCR|4BEXP|5DMG|6AART|9FLTHEA
10	52262 25122	   	195.16	ACR|4VULN|1AART|1DMG|1FLTHEA	178aVULN|2RCVC|3RCR|4DMG|5BEXP|6AART|9FLTHEA
11	52263 25122	   	195.06	ACR|4VULN|1AART|1DMG|1FLTHEA	178aVULN|2RCVC|3RCR|4DMG|5DUST|6AART|9FLTHEA
12	42221 31452	 * 	194.97	DCR|3DMG|2VULN|1AART|1ZMB	145DMG|2RCVC|3AART|6ZMB|7RCR|8LIT|9aVULN
13	52433 13331	   	194.57	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	169VULN|2RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR|aDUR
14	11451 35123	 * 	194.36	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2378VULN|3BPWR|4DMG|5AART|6BEXP|9FLTHEA|aRCR
15	11451 53123	   	194.26	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2368VULN|3BPWR|4DMG|5AART|7DUST|9FLTHEA|aRCR
16	11451 11116	 * 	193.78	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	13DUR|23aVULN|3BPWR|4DMG|5AART|6LIT|7RCR|89CDMG
17	11413 25123	   	193.76	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2378VULN|3BPWR|4BEXP|5DMG|6AART|9FLTHEA|aRCR
18	11452 25123	   	193.76	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2378VULN|3BPWR|4DMG|5BEXP|6AART|9FLTHEA|aRCR
19	31223 25123	   	193.76	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	1BEXP|2478VULN|34DUR|4BPWR|5DMG|6AART|9FLTHEA|aRCR
20	11453 25123	   	193.66	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2378VULN|3BPWR|4DMG|5DUST|6AART|9FLTHEA|aRCR
21	41333 33634	 * 	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	159DMG|249BEXP|3CDMG|6ZMB|7RCR|89aVULN|9BPWR
22	11463 12123	   	193.16	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2348VULN|3BPWR|5DMG|6BEXP|7AART|9FLTHEA|aRCR
23	11463 32123	   	193.06	DCR|4VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2348VULN|3BPWR|5DMG|6DUST|7AART|9FLTHEA|aRCR
24	52261 24322	   	192.66	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	17aVULN|2RCVC|3RCR|4DMG|5AART|6ZMB|8RMIN|9FLTHEA
25	52261 23521	   	192.56	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	18aVULN|2RCVC|3RCR|4DMG|5AART|6ZMB|7DUST|9CDMG
26	52261 24121	   	192.56	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	17aVULN|2RCVC|3RCR|4DMG|5AART|6ZMB|8DUST|9CDMG
27	52213 25124	 * 	192.50	ACR|3VULN|2AART|1DMG|1FLTHEA	178VULN|2RCVC|3RCR|4BEXP|5DMG|6aAART|9FLTHEA
28	55161 21221	   	192.39	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	18aVULN|28ZMB|3MLV|4DMG|5AART|6RCR|78ERES|8BPWR|9CDMG
29	52433 13336	 * 	191.49	DCR|3VULN|2DMG|2CDMG|2ZMB	169VULN|2RCVC|3aZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR
30	52213 35521	   	191.46	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	18aVULN|2RCVC|3RCR|4BEXP|5DMG|6ZMB|7AART|9CDMG
31	52215 62312	 * 	191.44	ACR|4VULN|1AART|2CDMG|2DUR	1789VULN|2RCVC|3RCR|4BEXP|58DUR|68CDMG|8BPWR|aAART
32	43222 11244	 * 	191.38	DCR|3DMG|2VULN|3ZMB|2DUR	157DMG|257ZMB|3RMIN|4RPLT|57BPWR|67DUR|8RCR|9aVULN
33	11451 24123	   	191.27	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR|1ZMB	13DUR|237VULN|3BPWR|4DMG|5AART|6ZMB|8RMIN|9FLTHEA|aRCR
34	52256 32132	 * 	191.18	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	178VULN|2RCVC|3RCR|4DUR|57CGEN|67DMG|7BPWR|9ZMB|aCDMG
35	42221 31442	   	191.04	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	145DMG|2RCVC|3AART|6ZMB|7RCR|8LIT|9CDMG|aVULN
36	43233 12632	   	190.91	DCR|3DMG|2VULN|2ZMB|1CDMG|1DUR	159DMG|29ZMB|3RMIN|4CDMG|6RCR|7MLV|89VULN|9BPWR|aDUR
37	55533 13331	   	190.87	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	169VULN|2ZMB|3DMSP|49CDMG|59DMG|7RCR|8MBVNT|9BPWR|aDUR
38	52253 24122	   	190.07	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	18aVULN|27RCVC|3RCR|4DUR|5DMG|6AART|9FLTHEA
39	52433 23338	   	190.01	DCR|3VULN|2DMG|2CDMG|1ZMB	19aVULN|26RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR
40	52253 12126	 * 	189.73	ACR|3VULN|2DMG|1AART|1DUR	178VULN|2RCVC|3RCR|4DUR|57DMG|67MLV|7BPWR|9BEXP|aAART
41	46623 22233	   	189.53	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	14aDMG|24DUST|3AART|4BPWR|5ZMB|6RCR|7ERES|8CDMG|9VULN
42	42332 33634	   	188.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2RCVC|359LWND|4CDMG|6ZMB|7RCR|89VULN|9BPWR|aAART
43	42332 12632	   	188.67	DCR|3VULN|3DMG|1CDMG	19aDMG|2RCVC|359LWND|4CDMG|6RCR|7aMLV|89aVULN|9aBPWR
44	43233 23632	   	188.51	DCR|3DMG|2VULN|2ZMB|1CDMG|1DUR	159DMG|29ZMB|3RMIN|4CDMG|6CGEN|7RCR|89VULN|9BPWR|aDUR
45	11523 25123	   	188.47	DCR|4VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2478VULN|34BEXP|4BPWR|5DMG|6AART|9FLTHEA|aRCR
46	31453 25123	   	188.47	DCR|4VULN|1AART|1DMG|1FLTHEA|1DUR	13BEXP|2378VULN|3BPWR|4DUR|5DMG|6AART|9FLTHEA|aRCR
47	42221 31531	 * 	188.18	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	145DMG|2RCVC|3AART|6aZMB|7RCR|8VULN|9DUR
48	52253 23521	   	187.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2RCVC|3RCR|4DUR|5DMG|6AART|7RMIN|9CDMG
49	52253 25112	   	187.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	178VULN|2RCVC|3RCR|4DUR|5DMG|6AART|9MLV|aCDMG
50	52253 25121	   	187.99	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	178VULN|2RCVC|3RCR|4DUR|5DMG|6AART|9FLTHEA|aLWND
51	52253 25123	   	187.99	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	178VULN|2RCVC|3RCR|4DUR|5DMG|6AART|9FLTHEA|aRMIN
52	52213 25125	   	187.99	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	178VULN|2RCVC|3RCR|4BEXP|5DMG|6AART|9FLTHEA|aDUR
53	52253 21521	   	187.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2RCVC|3RCR|4DUR|5DMG|6AART|7ERES|9CDMG
54	52253 25321	   	187.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|2RCVC|3RCR|4DUR|5DMG|6AART|8TLV|9CDMG
55	52261 21222	 * 	187.79	ACR|2VULN|1AART|1DMG|2ZMB|1FLTHEA|1ASPD	1aVULN|2RCVC|3RCR|4DMG|5AART|67ZMB|8ASPD|9FLTHEA
56	41336 12632	   	187.77	DCR|3VULN|3DMG|1CDMG	19aDMG|249BEXP|3CDMG|5RCVC|6RCR|7aMLV|89aVULN|9aBPWR
57	52433 13332	   	187.63	DCR|3VULN|2DMG|2CDMG|1ZMB	169VULN|2RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR|aRPLT
58	52433 13333	   	187.63	DCR|3VULN|2DMG|2CDMG|1ZMB	169VULN|2RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR|aCGEN
59	52433 13334	   	187.63	DCR|3VULN|2DMG|2CDMG|1ZMB	169VULN|2RCVC|3ZMB|49CDMG|59DMG|7RCR|8MBVNT|9BPWR|aBEXP
60	11451 11143	   	187.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23aVULN|3BPWR|4DMG|5AART|6LIT|7RCR|8CDMG|9BEXP
61	11451 11152	   	187.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23aVULN|3BPWR|4DMG|5AART|6LIT|7RCR|8CDMG|9RPLT
62	11451 11163	   	187.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23aVULN|3BPWR|4DMG|5AART|6LIT|7RCR|8CDMG|9FEWX
