0	Index      	 *	Score 	Summary	Detail	
1	12613 43513	 * 	178.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9CDMG|aDUR
2	16251 23163	 * 	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4DUR|5DMG|6CGEN|789VULN|aRCR
3	16251 13163	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4DUR|5DMG|6ERES|789VULN|aRCR
4	11612 24263	   	175.57	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9CDMG|aDUR
5	64123 26323	 * 	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8CGEN|9aVULN
6	11613 24224	 * 	175.35	ACR|3VULN|2AART|1DMG	1aLIT|2aLHND|3RCR|4DMG|5MLV|69AART|78aVULN|aBPWR
7	12663 33163	 * 	175.10	ACR|3VULN|1AART|2CDMG|1ZMB	1LIT|26DUST|3RCR|46CDMG|5AART|6BPWR|789VULN|aZMB
8	25321 23415	 * 	174.76	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1DUST|2aDUR|37ASPD|4FEWX|5RCR|6aDMG|8CDMG|9aVULN|aBPWR
9	16213 55223	 * 	174.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LIT|2CDMG|3AART|4RPLT|56ASPD|7RCR|8aVULN|9DMG
10	36316 33132	 * 	173.93	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1RMIN|28TLV|3FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|9VULN|aDUR
11	16341 34133	   	173.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3LWND|4ASPD|568VULN|7AART|9DMG|aRCR
12	11663 31136	 * 	173.57	ACR|2AART|1DMG|2CDMG|1VULN|1ZMB	1LIT|26LHND|3RCR|46CDMG|57AART|6BPWR|8ZMB|9DMG|aVULN
13	12613 43531	   	173.40	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56aVULN|7ZMB|8AART|9BEXP
14	12613 43521	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56aVULN|7ZMB|8AART|9LEGI
15	16211 23521	   	172.82	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4RPLT|5RCVC|6RCR|7DUR|8aVULN|9DMG
16	11613 24321	 * 	172.57	ACR|2VULN|2DMG|1AART|1DUR	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7aVULN|8DUR
17	36421 26321	 * 	171.98	DCR|4VULN|1AART|1DMG	1RMIN|2TLV|356aVULN|45LIT|5BPWR|7AART|8RCR|9DMG
18	16256 21133	 * 	171.59	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1LIT|25CDMG|37AART|4DUR|6VULN|8ZMB|9DMG|aRCR
19	12613 43511	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aLIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9CDMG
20	12613 43512	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9CDMG|aRMIN
21	15612 23313	 * 	171.40	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LIT|2FEWX|3RCR|4DMG|59ASPD|6aVULN|7ZMB|8AART
22	15612 52313	   	171.40	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1LIT|2FEWX|3RCR|4DMG|59ASPD|6ZMB|7aVULN|8AART
23	11663 31133	 * 	171.30	ACR|2AART|2DMG|2CDMG|1ZMB	1aLIT|26aLHND|3RCR|46CDMG|57AART|6aBPWR|8ZMB|9aDMG
24	11612 24233	   	170.64	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78aVULN|9CGEN
25	11612 24241	   	170.64	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78aVULN|9BEXP
26	11621 24233	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	1LIT|25LHND|3RCR|4DUR|6AART|78aVULN|9DMG
27	11624 24233	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	15LIT|2LHND|3RCR|4DUR|6AART|78aVULN|9DMG
28	11612 24211	   	170.54	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78aVULN|9MBVNT
29	11612 24223	   	170.54	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78aVULN|9NUKE
30	16211 45223	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3AART|4RPLT|5RCVC|6ASPD|7RCR|8aVULN|9DMG
31	15663 33133	 * 	170.34	ACR|3VULN|1AART|3CDMG	1LIT|26FEWX|3RCR|469CDMG|5AART|6BPWR|78aVULN
32	12663 33136	   	170.14	ACR|3VULN|1AART|3CDMG	1LIT|26DUST|3RCR|469CDMG|5AART|6BPWR|78aVULN
33	16213 35223	   	170.12	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3AART|4RPLT|5ASPD|6RCVC|7RCR|8aVULN|9DMG
34	12613 41311	   	169.34	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2DUST|3RCR|4DMG|56aVULN|7FEWX|8AART|9ASPD
35	12613 42311	   	169.34	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2DUST|3RCR|4DMG|56aVULN|7BEXP|8AART|9ASPD
36	12614 63142	 * 	169.33	ACR|3VULN|2DMG|1CDMG	19LIT|2DUST|3RCR|49DMG|5CDMG|6MBVNT|7CGEN|89aVULN|9BPWR
37	12614 63144	 * 	169.33	ACR|3DMG|2VULN|1CDMG	19LIT|2DUST|3RCR|49aDMG|5CDMG|6MBVNT|7CGEN|89VULN|9BPWR
38	12613 12525	   	169.23	ACR|3VULN|2DMG|1CDMG	1LIT|2DUST|3RCR|4aDMG|578VULN|6BELT|9CDMG
39	12614 62142	   	169.23	ACR|3VULN|2DMG|1CDMG	19LIT|2DUST|3RCR|49DMG|5CDMG|6MBVNT|7ERES|89aVULN|9BPWR
40	12614 62144	   	169.23	ACR|3DMG|2VULN|1CDMG	19LIT|2DUST|3RCR|49aDMG|5CDMG|6MBVNT|7ERES|89VULN|9BPWR
41	11643 62223	   	168.99	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1LIT|2LHND|3RCR|4SELL|5AART|6aVULN|7ASPD|8CDMG|9DMG
42	11663 22135	   	168.79	ACR|3VULN|1AART|1CDMG|1ZMB	1LIT|2LHND|3RCR|4CDMG|5AART|6ZMB|7ERES|89aVULN
43	14663 33221	 * 	168.71	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|26BEXP|3RCR|46CDMG|5AART|6BPWR|7aVULN|8RPLT|9DMG
44	15663 33221	   	168.71	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|26FEWX|3RCR|46CDMG|5AART|6BPWR|7aVULN|8RPLT|9DMG
45	12663 22135	   	168.69	ACR|3VULN|1AART|1CDMG|1ZMB	1LIT|2DUST|3RCR|4CDMG|5AART|6ZMB|7ERES|89aVULN
46	11612 24261	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aLIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9CDMG
47	11612 24262	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9CDMG|aRMIN
48	11613 24325	 * 	168.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2LHND|3RCR|49DMG|5MLV|6AART|7VULN|8DUR|aCDMG
49	11613 24213	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2LHND|3RCR|4DMG|5MLV|6AART|78VULN|9CDMG|aDUR
50	11612 24216	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9MBVNT|aCDMG
51	12663 33221	   	168.51	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|26DUST|3RCR|46CDMG|5AART|6BPWR|7aVULN|8RPLT|9DMG
