0	Index      	 *	Score 	Summary	Detail	
1	12261 51622	 * 	195.92	DCR|2AART|2VULN|2DMG|2CDMG	14CDMG|2ERES|39AART|5aDMG|68VULN|7RCR
2	22233 15164	 * 	195.72	ACR|3VULN|2DMG|1AART|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8aDMG
3	35236 23513	   	192.19	ACR|3VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|6AART|89aVULN
4	12231 51625	 * 	191.95	DCR|3VULN|3AART|1DMG|1CDMG	1CDMG|2ERES|349AART|5DMG|68aVULN|7RCR
5	22233 15362	 * 	191.79	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3RCR|469VULN|5RCVC|7AART|8CDMG|aDMG
6	12231 51632	   	191.22	DCR|2AART|2VULN|2DMG|1CDMG	1CDMG|2ERES|34AART|5aDMG|68VULN|7RCR|9RCVC
7	35236 12613	   	190.99	ACR|3VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|69aVULN|8AART
8	35236 12423	   	190.39	ACR|3VULN|2DMG|1AART|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|68aVULN|9AART
9	35236 23512	 * 	190.19	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|6AART|89VULN|aCDMG
10	12231 51346	   	189.97	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2ERES|34AART|5aDMG|6VULN|7RCR|8ZMB|9DUR
11	12231 51662	   	189.51	DCR|2AART|2VULN|2DMG|1CDMG	1CDMG|29ERES|34AART|5aDMG|68VULN|7RCR
12	61484 47414	 * 	189.47	DCR|3VULN|2DMG|1AART|1ZMB	1DMSP|2MBVNT|359VULN|45DMG|5BPWR|6AART|7RCR|8LIT|aZMB
13	12261 51333	   	189.34	DCR|2AART|2VULN|2CDMG|1DMG|1ZMB	14CDMG|2ERES|3aAART|5DMG|69VULN|7RCR|8ZMB
14	61484 42154	 * 	189.32	DCR|3VULN|3DMG|1AART	1DMSP|2MBVNT|35aVULN|458DMG|5BPWR|6AART|7MLV|9RCR
15	61484 43154	   	189.22	DCR|3VULN|3DMG|1AART	1DMSP|2MBVNT|35aVULN|458DMG|5BPWR|6AART|7ERES|9RCR
16	35236 12612	   	188.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|69VULN|8AART|aCDMG
17	35236 12422	   	188.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|57DMG|68VULN|9AART|aCDMG
18	23363 63143	 * 	187.87	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1DUR|24AART|3ZMB|5FEWX|678DMG|9RCR|aVULN
19	11264 41233	   	187.64	DCR|2VULN|2AART|1DMG|2CDMG|1ZMB	13CDMG|29VULN|4ZMB|5MLV|6aAART|7RCR|8DMG
20	22233 15322	 * 	187.58	ACR|2VULN|2AART|1DMG|1CDMG|2DUR	12DUR|3RCR|46VULN|5RCVC|79AART|8CDMG|aDMG
21	35236 11613	 * 	187.50	ACR|4VULN|1AART|1DMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|5DMG|679aVULN|8AART
22	12231 51333	   	187.30	DCR|3AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34aAART|5DMG|69VULN|7RCR|8ZMB
23	35236 11612	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|5DMG|679VULN|8AART|aCDMG
24	35236 11423	   	186.90	ACR|4VULN|1AART|1DMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|5DMG|678aVULN|9AART
25	12214 52433	 * 	186.67	ACR|4VULN|2AART|1CDMG|1DUR	1CDMG|2ERES|3aAART|4DUR|5RCR|6789VULN
26	62233 15362	   	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2DUR|3RCR|469VULN|5RCVC|7AART|8CDMG|aDMG
27	35236 11422	   	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2RMIN|3RCR|4ZMB|5DMG|678VULN|9AART|aCDMG
28	22231 31654	 * 	186.34	ACR|4VULN|1AART|3DUR|2ASPD	129DUR|3RCR|479aVULN|5RMIN|69ASPD|8AART|9BPWR
29	12261 51632	   	186.08	DCR|2VULN|2DMG|1AART|2CDMG	14CDMG|2ERES|3AART|5aDMG|68VULN|7RCR|9RCVC
30	61484 47411	   	185.41	DCR|3VULN|2DMG|1AART|1ASPD	1DMSP|2MBVNT|359VULN|45DMG|5BPWR|6AART|7RCR|8LIT|aASPD
31	61484 47424	   	185.26	DCR|2VULN|2DMG|2AART|1ZMB	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|69AART|7RCR|8LIT|aZMB
32	21331 21651	 * 	183.41	DCR|4VULN|1AART|2ZMB|2DUR	19DUR|25RMIN|39ZMB|479aVULN|6RCR|8AART|9BPWR
33	61484 47432	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6AART|7RCR|8LIT|9DUR|aCDMG
34	12231 51623	   	183.23	DCR|3AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2ERES|349AART|5DMG|68VULN|7RCR|aDUR
35	12231 51122	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8BELT|aZMB
36	12231 51331	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8ZMB|aFEWX
37	12231 51334	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8ZMB|aMLV
38	12231 51335	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8ZMB|aDMSP
39	12214 53215	   	183.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2ERES|3AART|4DUR|5RCR|69VULN|7aDMG|8MBVNT
40	12231 51332	   	182.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|34AART|5DMG|69VULN|7RCR|8ZMB|aDUST
41	62231 31651	   	182.52	ACR|4VULN|1AART|2ASPD|2DUR	1DMSP|29DUR|3RCR|479aVULN|5RMIN|69ASPD|8AART|9BPWR
42	62233 15322	   	182.29	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DMSP|2DUR|3RCR|46VULN|5RCVC|79AART|8CDMG|aDMG
43	61484 41345	   	182.27	DCR|3VULN|2DMG|1AART|1ZMB	1DMSP|2MBVNT|359VULN|45DMG|5BPWR|6AART|7LIT|8ZMB|aRCR
44	23353 63143	   	181.72	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	14DUR|2AART|3ZMB|5FEWX|678DMG|9RCR|aVULN
45	35236 23161	 * 	181.54	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ERES|2RMIN|3RCR|4ZMB|578DMG|6AART|9ASPD|aVULN
