0	Index      	 *	Score 	Summary	Detail	
1	11214 15263	 * 	196.66	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	178VULN|2AART|3ERES|4RPLT|57DMG|67ASPD|7BPWR|9RCR|aDUR
2	11214 15261	   	189.72	DCR|3VULN|2DMG|1AART|2ASPD	178VULN|2AART|3ERES|4RPLT|57DMG|67ASPD|7BPWR|9RCR|aBEXP
3	11214 15262	   	189.72	DCR|3VULN|2DMG|1AART|2ASPD	178VULN|2AART|3ERES|4RPLT|57DMG|67ASPD|7BPWR|9RCR|aCGEN
4	12325 31515	 * 	189.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2CDMG|3aDMG|4LIT|5FEWX|6RCR|7aDUR|8BELT|9AART|aBPWR
5	11214 65232	 * 	188.62	DCR|3VULN|2DMG|1AART|2ZMB	178VULN|2AART|3ERES|4RPLT|57DMG|67ZMB|7BPWR|9BEXP|aRCR
6	15132 36211	 * 	188.40	DCR|3DMG|2VULN|1AART|2DUR	19VULN|2ERES|39aDMG|4LHND|5CGEN|6AART|79DUR|8RCR|9BPWR
7	11214 15232	   	187.32	DCR|3VULN|2DMG|1AART|2ASPD	178VULN|2AART|3ERES|4RPLT|57DMG|67ASPD|7BPWR|9BEXP|aRCR
8	12131 56412	 * 	187.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3DUR|4MBVNT|5CGEN|6LEGI|7RCR|89DMG|9BPWR|aAART
9	12135 31467	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2CDMG|3aDUR|4MBVNT|5TLV|6AART|7LHND|8RCR|9aDMG|aBPWR
10	11216 15211	 * 	184.59	DCR|3VULN|1AART|1DMG|2ZMB|2ASPD	178VULN|2AART|3ERES|4RPLT|57ZMB|67ASPD|7BPWR|9DMG|aRCR
11	11621 33613	 * 	184.22	DCR|4VULN|1AART|1DMG|1DUR	169aVULN|2AART|3DUR|4BELT|5DUST|7RCR|8DMG
12	12237 76132	   	183.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17VULN|27CDMG|3RCVC|4MBVNT|5AART|67DMG|7BPWR|8DUR|9BEXP|aRCR
13	11154 12135	 * 	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2AART|3LIT|4TLV|5RCR|7DUR|9DMG|aCDMG
14	11325 33613	 * 	181.67	DCR|3VULN|2AART|1DMG|1DUR	19aVULN|25AART|3LHND|4BELT|6DUR|7RCR|8DMG
15	12132 56544	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2CDMG|3DUR|4MBVNT|58DMG|6LHND|7RCR|9AART
16	13424 12412	 * 	181.13	ACR|3VULN|2DMG|1AART|1DUR	179VULN|29BEXP|3DUR|4RPLT|5RCR|6ERES|89DMG|9BPWR|aAART
17	11661 33261	   	180.11	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	19VULN|24AART|39DUR|5LWND|6ZMB|79FEWX|8RCR|9BPWR|aDMG
18	12131 56415	 * 	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	19aVULN|29CDMG|3DUR|4MBVNT|5CGEN|6LEGI|7RCR|89DMG|9BPWR
