0	Index      	 *	Score 	Summary	Detail	
1	21334 53324	 * 	217.84	ACR|4VULN|3DMG|3DUR|1CDMG	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aCDMG
2	21334 53323	   	215.19	ACR|4VULN|3DMG|3DUR|1ZMB	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aZMB
3	21334 53351	 * 	212.24	ACR|4VULN|2DMG|1AART|3DUR	147DUR|2RCR|347aVULN|47BPWR|57DMG|6LEGI|8BELT|9AART
4	11236 42183	 * 	210.28	DCR|3VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45aVULN|68ASPD|78DMG|8BPWR|9RCR
5	13512 51362	 * 	210.07	DCR|4VULN|1AART|3ZMB|3CDMG|1SELL	1AART|279CDMG|3SELL|4RCVC|579aVULN|679ZMB|79BPWR|8RCR
6	21314 53633	 * 	209.27	ACR|3VULN|3DMG|1AART|2DUR	17DUR|2RCR|378VULN|4DMSP|579DMG|6LEGI|7BPWR|aAART
7	11232 55116	   	206.42	DCR|2VULN|2DMG|1AART|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5aDMG|6RCR|7ZMB|8CDMG
8	11624 52113	   	206.32	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB	1AART|28FLTHEA|38CGEN|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9aVULN
9	11424 52113	   	206.12	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB	1AART|28FLTHEA|38TLV|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9aVULN
10	11232 53266	 * 	204.48	DCR|3DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57aDMG|6RCR|8CDMG|9ZMB
11	13683 33214	 * 	204.36	DCR|5VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3MBVNT|45689VULN|7RCR|aDMG
12	21334 53321	   	204.19	ACR|4VULN|3DMG|3DUR	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aFEWX
13	21334 53322	   	204.19	ACR|4VULN|3DMG|3DUR	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aLWND
