0	Index      	 *	Score 	Summary	Detail	
1	62112 21215	 * 	198.77	DCR|3DMG|2AART|2VULN|1CDMG	1CDMG|24AART|356DMG|79VULN|8RPLT|aRCR
2	16111 42335	 * 	194.30	ACR|3VULN|2DMG|2FLTHEA|3DUR	159DUR|2RCR|3RMIN|4aFLTHEA|68aVULN|7aDMG|aBPWR
3	16231 52212	 * 	191.61	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|2RCR|3ASPD|4ZMB|5ERES|6aDMG|79VULN|8AART
4	62161 24113	   	191.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1CDMG|2AART|35DMG|4aDUR|6LHND|7RCR|89VULN
5	16512 13412	 * 	190.53	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2RCR|379VULN|4LWND|5ERES|6AART|8aDMG
6	16522 13412	   	190.53	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2RCR|379VULN|4LHND|5ERES|6AART|8aDMG
7	16231 52213	   	189.68	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2RCR|3ASPD|4ZMB|5ERES|6DMG|79aVULN|8AART
8	62114 24113	 * 	188.38	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|24AART|3DMG|5FEWX|6LHND|7RCR|89aVULN
9	62112 14341	   	188.18	DCR|3DMG|2AART|1VULN|1CDMG	1CDMG|24AART|359DMG|6LEGI|7RCR|8ERES|aVULN
10	62112 14533	 * 	187.90	DCR|3AART|2DMG|1VULN|1CDMG|1ZMB	1CDMG|24aAART|35DMG|6LEGI|7RCR|8ZMB|9VULN
11	62112 23562	 * 	187.85	DCR|3DMG|3AART|1VULN|1CDMG	1CDMG|247AART|356DMG|8LIT|9RCR|aVULN
12	41461 31133	 * 	187.37	ACR|3VULN|3ZMB|1DMG|3DUR|1ASPD	19aZMB|2DMG|39aDUR|4RCR|5ERES|6RPLT|7ASPD|89aVULN|9aBPWR
13	21415 33133	 * 	187.28	ACR|3VULN|3DMG|1ZMB|1DUR	19aMLV|29aDMG|3DUR|4RCR|5RMIN|6RPLT|7ZMB|89aVULN|9aBPWR
14	16512 13413	 * 	187.04	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2RCR|379aVULN|4LWND|5ERES|6AART|8DMG
15	16522 13413	   	187.04	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2RCR|379aVULN|4LHND|5ERES|6AART|8DMG
16	11342 65212	   	186.93	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2FEWX|3RCR|469VULN|5ERES|7aDMG|8AART
17	13342 65212	   	186.83	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2DUST|3RCR|469VULN|5ERES|7aDMG|8AART
18	62161 24111	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2AART|35DMG|4DUR|6LHND|7RCR|89VULN|aLIT
19	62161 24112	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2AART|35DMG|4DUR|6LHND|7RCR|89VULN|aFEWX
20	44411 32331	 * 	185.64	ACR|2VULN|1DMG|2FLTHEA|2ZMB|1CDMG|2DUR	19ZMB|2RCR|3MBVNT|49FLTHEA|57DUR|6DMG|89VULN|9BPWR|aCDMG
21	62112 35216	 * 	185.37	DCR|3DMG|2AART|2CDMG|1ZMB|1ASPD	18CDMG|24AART|357DMG|6ASPD|9ZMB|aRCR
