0	Index      	 *	Score 	Summary	Detail	
1	51136 21112	 * 	204.03	DCR|4VULN|3DMG|2ZMB|2ASPD	17ZMB|24ASPD|347DMG|47BPWR|5679VULN|8BASICY|aRCR
2	61131 21334	 * 	200.57	DCR|3VULN|3DMG|1AART|2ASPD	129VULN|349DMG|59ASPD|6AART|7RMIN|8LEGI|9BPWR|aRCR
3	11134 21621	 * 	198.97	DCR|4VULN|2DMG|1AART|1ZMB	17LWND|2367VULN|47DMG|5RCVC|7BPWR|8RCR|9ZMB|aAART
4	61124 21621	   	198.97	DCR|4VULN|2DMG|1AART|1ZMB	1267VULN|37DMG|47LWND|5RCVC|7BPWR|8RCR|9ZMB|aAART
5	51131 62411	 * 	196.62	DCR|3DMG|2VULN|3ZMB|3ASPD	178ZMB|245ASPD|347DMG|47BPWR|67VULN|9RCR|aLHND
6	51131 62412	   	196.52	DCR|3DMG|2VULN|3ZMB|3ASPD	178ZMB|245ASPD|347DMG|47BPWR|67VULN|9RCR|aERES
7	51131 62413	   	196.52	DCR|3DMG|2VULN|3ZMB|3ASPD	178ZMB|245ASPD|347DMG|47BPWR|67VULN|9RCR|aSNIHEL
8	56333 41212	 * 	194.34	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	19ZMB|2RCR|3CGEN|49DMG|5CDMG|67LIT|89VULN|9BPWR|aAART
9	56133 41212	   	194.24	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	19ZMB|2RCR|3ERES|49DMG|5CDMG|67LIT|89VULN|9BPWR|aAART
10	61132 63213	 * 	190.65	DCR|5VULN|3DMG	1256aVULN|346DMG|6BPWR|7DLOT|8BEXP|9RCR
11	61132 63613	   	190.65	DCR|5VULN|3DMG	1256aVULN|346DMG|6BPWR|7DLOT|8LWND|9RCR
12	61162 25333	   	190.41	DCR|4VULN|2DMG|1AART|1ASPD	1245VULN|38DMG|6ERES|7ASPD|9AART|aRCR
13	51162 21126	 * 	190.20	DCR|3VULN|2DMG|3ZMB|2ASPD	17aZMB|25ASPD|37DMG|467VULN|7BPWR|8LWND|9RCR
14	51161 21316	   	189.92	DCR|3VULN|3DMG|2ZMB|2ASPD	17ZMB|29ASPD|378DMG|467VULN|5DMSP|7BPWR|aRCR
15	61132 63134	 * 	189.07	DCR|4VULN|3DMG|1CDMG	1256VULN|346DMG|6BPWR|7DLOT|8MLV|9CDMG|aRCR
16	61132 63214	   	188.82	DCR|4VULN|3DMG|1ZMB	1256VULN|346DMG|6BPWR|7DLOT|8BEXP|9RCR|aZMB
17	61131 16121	 * 	188.45	DCR|3DMG|2VULN|2AART|1ASPD	12VULN|347DMG|5ASPD|6DMSP|89AART|aRCR
18	21131 21631	   	187.97	DCR|4VULN|2DMG|1AART	17FEWX|2367VULN|47DMG|5DMSP|7BPWR|8RCR|9MLV|aAART
19	61111 21631	   	187.97	DCR|4VULN|2DMG|1AART	1267VULN|37DMG|47FEWX|5DMSP|7BPWR|8RCR|9MLV|aAART
20	61231 21631	   	187.97	DCR|4VULN|2DMG|1AART	1267VULN|37FEWX|47DMG|5DMSP|7BPWR|8RCR|9MLV|aAART
21	51133 85211	 * 	187.92	DCR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	19ZMB|24ASPD|349DMG|49BPWR|5MBVNT|6CDMG|7LIT|89VULN|aRCR
22	11131 12345	 * 	187.92	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|236VULN|4aDMG|5AART|7LHND|8CDMG|9RCR
23	11131 14345	   	187.92	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|236VULN|4aDMG|5AART|7FEWX|8CDMG|9RCR
24	61121 12345	   	187.92	DCR|3VULN|2DMG|1AART|1CDMG	126VULN|3aDMG|4LWND|5AART|7LHND|8CDMG|9RCR
25	11134 21651	   	187.87	DCR|4VULN|2DMG|1AART	17LWND|2367VULN|47DMG|5RCVC|7BPWR|8RCR|9ERES|aAART
26	21131 21651	   	187.87	DCR|4VULN|2DMG|1AART	17FEWX|2367VULN|47DMG|5DMSP|7BPWR|8RCR|9ERES|aAART
27	61111 21651	   	187.87	DCR|4VULN|2DMG|1AART	1267VULN|37DMG|47FEWX|5DMSP|7BPWR|8RCR|9ERES|aAART
28	61231 21651	   	187.87	DCR|4VULN|2DMG|1AART	1267VULN|37FEWX|47DMG|5DMSP|7BPWR|8RCR|9ERES|aAART
29	31131 21631	   	187.77	DCR|4VULN|2DMG|1AART	17DUST|2367VULN|47DMG|5DMSP|7BPWR|8RCR|9MLV|aAART
30	61132 15631	   	187.77	DCR|4VULN|2DMG|1AART	1257VULN|34DMG|6LHND|8RCR|9MLV|aAART
31	61132 35631	   	187.77	DCR|4VULN|2DMG|1AART	1257VULN|34DMG|6FEWX|8RCR|9MLV|aAART
32	61631 21631	   	187.77	DCR|4VULN|2DMG|1AART	1267VULN|37DUST|47DMG|5DMSP|7BPWR|8RCR|9MLV|aAART
33	31131 21651	   	187.67	DCR|4VULN|2DMG|1AART	17DUST|2367VULN|47DMG|5DMSP|7BPWR|8RCR|9ERES|aAART
34	61133 25631	   	187.67	DCR|4VULN|2DMG|1AART	1267VULN|34DMG|5DUST|8RCR|9MLV|aAART
35	61132 33632	   	187.36	DCR|4VULN|3DMG|1DUR	125aVULN|34aDMG|6FEWX|7DUR|8RCR|9aLIT|aBPWR
36	61133 23632	   	187.26	DCR|4VULN|3DMG|1DUR	126aVULN|34aDMG|5DUST|7DUR|8RCR|9aLIT|aBPWR
37	51136 21423	 * 	187.05	5VULN|3DMG|1AART|2ZMB|2ASPD	17ZMB|24ASPD|347DMG|47BPWR|5678aVULN|9AART
38	56333 13522	 * 	186.79	ACR|3DMG|2VULN|2ZMB|1CDMG	19ZMB|2RCR|3CGEN|49aDMG|5CDMG|6MLV|7RCVC|89VULN|9BPWR
39	56333 13523	 * 	186.79	ACR|3VULN|2DMG|2ZMB|1CDMG	19ZMB|2RCR|3CGEN|49DMG|5CDMG|6MLV|7RCVC|89aVULN|9BPWR
40	51162 26313	 * 	186.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	1ZMB|25ASPD|38DMG|467VULN|9RCR|aCDMG
41	61531 12633	   	186.17	DCR|4VULN|2DMG|1AART	1269VULN|3LWND|49DMG|5AART|789LHND|9BPWR|aRCR
42	61311 11151	 * 	186.13	DCR|4VULN|1AART|1DMG|1CDMG	1268VULN|3LSRHEA|4CDMG|5DMG|7RCR|9RPLT|aAART
43	61311 11142	   	186.03	DCR|4VULN|1AART|1DMG|1CDMG	1268VULN|3LSRHEA|4CDMG|5DMG|7RCR|9ERES|aAART
44	55132 25311	   	186.00	DCR|5VULN|2DMG|1ZMB	1ZMB|2CGEN|34DMG|5678aVULN|9RCR
45	11121 22434	   	185.62	DCR|3DMG|2VULN|1AART|2ASPD	19LWND|23VULN|4RMIN|5AART|679DMG|89ASPD|9BPWR|aRCR
46	11131 32434	   	185.62	DCR|3DMG|2VULN|1AART|2ASPD	19LWND|23VULN|479DMG|5AART|6RMIN|89ASPD|9BPWR|aRCR
47	11131 22434	   	185.52	DCR|3DMG|2VULN|1AART|2ASPD	19LWND|23VULN|479DMG|5AART|6NUKE|89ASPD|9BPWR|aRCR
48	11132 55225	   	185.41	DCR|3VULN|2DMG|1AART|1ASPD	1LWND|23aVULN|49DMG|5ASPD|6AART|7RCR|8LHND
