0	Index      	 *	Score 	Summary	Detail	
1	16432 13216	 * 	205.09	DCR|3VULN|2DMG|1AART|2CDMG|2ZMB	1RPLT|29ZMB|346VULN|59CDMG|79DMG|8AART|9BPWR|aRCR
2	53232 42323	   	201.14	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	1AART|2aDUR|3CDMG|4aDMG|5FEWX|6RCR|7NUKE|8ASPD|9aVULN|aBPWR
3	53241 31223	   	200.51	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|2aDUR|34CDMG|5aDMG|6RCR|7DUST|8LHND|9aVULN|aBPWR
4	56233 42323	   	199.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1AART|2aLHND|3CDMG|4aDMG|5DUR|6RCR|7NUKE|8ZMB|9aVULN|aBPWR
5	53224 41332	   	198.48	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	1AART|29DUR|38CDMG|47aVULN|5DMG|6RCR
6	53236 41332	   	198.48	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	1AART|29DUR|38CDMG|4DMG|57aVULN|6RCR
7	53233 31223	 * 	198.01	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	1AART|25aDUR|3CDMG|4aDMG|6RCR|7DUST|8LHND|9aVULN|aBPWR
8	53224 41222	   	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|479VULN|5DMG|6RCR|8LHND|aZMB
9	53236 41222	   	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4DMG|579VULN|6RCR|8LHND|aZMB
10	16432 11111	 * 	197.23	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3469VULN|5CDMG|7RCR|8DMG|aAART
11	54233 42323	   	195.84	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1AART|2aBEXP|3CDMG|4aDMG|5DUR|6RCR|7NUKE|8ASPD|9aVULN|aBPWR
