0	Index      	 *	Score 	Summary	Detail	
1	15623 53322	 * 	264.68	橙3易伤2伤害1矿等1攻速1平台	1平台24雷电346易伤46序列升级56伤害7时间8矿等9攻速a核
2	12621 65133	 * 	258.44	橙橙1易伤1矿等1暴击1平台	1平台2最后敌人3敌人爆炸4易伤5矿等6a核7暴击8基础对甲9雷电
3	31125 43453	 * 	255.09	橙橙1易伤1伤害1矿等	1雷电2矿等3敌人爆炸4易伤5基地爆炸6加一7爆破对壮8伤害9a核
4	31325 43453	   	255.09	橙橙1易伤1伤害1矿等	1雷电2矿等3基地爆炸4易伤5敌人爆炸6加一7爆破对壮8伤害9a核
5	44212 12332	   	254.94	橙橙1易伤1伤害1矿等1卖塔	1敌人爆炸2加农对甲3卖塔4金币生成5矿等69核7易伤8最后敌人a伤害
6	61212 12332	   	254.94	橙橙1易伤1伤害1矿等1卖塔	1导弹对绿2敌人爆炸3卖塔4金币生成5矿等69核7易伤8最后敌人a伤害
7	15623 53312	   	251.03	橙3易伤2伤害1矿等1平台	1平台24雷电346易伤46序列升级56伤害7时间8矿等9随机矿a核
8	44212 12336	 * 	250.49	橙橙2矿等1易伤1卖塔	1敌人爆炸2加农对甲3卖塔4金币生成5a矿等69核7易伤8最后敌人
9	61212 12336	 * 	250.49	橙橙2矿等1易伤1卖塔	1导弹对绿2敌人爆炸3卖塔4金币生成5a矿等69核7易伤8最后敌人
10	16266 31133	   	244.54	橙橙1易伤1矿等1平台1卖塔	1平台2卖塔3敌人爆炸4基地爆炸5矿等6a核7易伤8基础对甲9雷电
11	16636 31133	   	244.54	橙橙1易伤1矿等1平台1卖塔	1平台2卖塔3基地爆炸4低血量敌人5矿等6a核7易伤8基础对甲9雷电
12	43226 31133	   	244.54	橙橙1易伤1矿等1平台1卖塔	1敌人爆炸2卖塔3基地爆炸4平台5矿等6a核7易伤8基础对甲9雷电
13	15623 51222	 * 	244.16	橙4易伤2伤害1平台	1平台24雷电346a易伤46序列升级56伤害7双倍秒伤8加农对毒9核
14	44212 12331	   	243.19	橙橙1易伤1矿等1卖塔	1敌人爆炸2加农对甲3卖塔4金币生成5矿等69核7易伤8最后敌人a时间
15	61212 12331	   	243.19	橙橙1易伤1矿等1卖塔	1导弹对绿2敌人爆炸3卖塔4金币生成5矿等69核7易伤8最后敌人a时间
16	12162 33543	   	240.90	橙橙1易伤1暴击1平台	1平台2最后敌人3雷电4敌人爆炸5暴击6易伤7散射对绿8金币生成9a核
17	12162 33643	   	240.90	橙橙1易伤1暴击1平台	1平台2最后敌人3雷电4敌人爆炸5暴击6易伤7散射对绿8等级9a核
18	61365 32323	   	240.90	橙橙1易伤1暴击1平台	1导弹对绿2敌人爆炸3基地爆炸4平台5雷电6a核7暴击8易伤9金币生成
19	23413 22344	   	240.66	橙橙1易伤1暴击1全技能1策反	1金币生成2全技能3赏金塔4策反5技能68核7挖尘9暴击a易伤
20	66351 21144	   	239.45	橙橙1易伤1暴击	1导弹对绿2赏金塔3加一4暴击5赏金邻近6易伤79核8最后敌人a时间
21	62132 25513	 * 	239.19	橙3易伤3伤害	19导弹对绿259易伤358伤害4随机矿59序列升级69掉矿7核a时间
