0	Index      	 *	Score 	Summary	Detail	
1	33335 13753	 * 	289.25	橙橙3易伤1暴击1平台	134易伤2随机矿5最后敌人6加一79核8平台a暴击
2	33322 53643	   	280.86	橙橙2易伤1暴击1攻速1平台	13易伤2随机矿4技能5低血量敌人6攻速79核8平台a暴击
3	33335 13751	   	275.60	橙橙3易伤1平台	134易伤2a随机矿5最后敌人6加一79核8平台
4	33335 13752	   	275.60	橙橙3易伤1平台	134易伤2随机矿5最后敌人6加一79核8平台a赏金邻近
5	33335 13754	   	275.50	橙橙3易伤1平台1挖怪	134易伤2随机矿5最后敌人6加一79核8平台a挖怪
6	33311 12355	 * 	269.85	紫橙4易伤1攻速	1379易伤2随机矿4a核5最后敌人6机枪对壮8攻速
7	33313 12355	   	269.85	紫橙4易伤1攻速	1379易伤2随机矿4a核5低血量敌人6机枪对壮8攻速
8	33411 12355	   	269.85	紫橙4易伤1攻速	1379易伤2随机矿3序列升级4a核5最后敌人6机枪对壮8攻速
9	33413 12355	   	269.85	紫橙4易伤1攻速	1379易伤2随机矿3序列升级4a核5低血量敌人6机枪对壮8攻速
10	33322 53641	   	267.21	橙橙2易伤1攻速1平台	13易伤2a随机矿4技能5低血量敌人6攻速79核8平台
11	33322 53642	   	267.21	橙橙2易伤1攻速1平台	13易伤2随机矿4技能5低血量敌人6攻速79核8平台a赏金邻近
12	33322 63643	   	266.96	橙橙2易伤1暴击1平台1策反	13易伤2随机矿4技能5低血量敌人6策反79核8平台a暴击
13	61261 42412	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2攻速3加一4全技能5赏金邻近68易伤7a核9散射对甲
14	61261 42452	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2攻速3加一4全技能5赏金邻近68易伤7a核9加农对壮
15	61267 32412	   	266.91	橙橙2易伤1攻速1全技能	1掉矿2攻速3加一4全技能58易伤6赏金塔7a核9散射对甲
16	33311 12345	 * 	263.13	紫橙3易伤2攻速	137易伤2随机矿4a核5最后敌人6机枪对壮89攻速
17	33313 12345	   	263.13	紫橙3易伤2攻速	137易伤2随机矿4a核5低血量敌人6机枪对壮89攻速
18	33411 12345	   	263.13	紫橙3易伤2攻速	137易伤2随机矿3序列升级4a核5最后敌人6机枪对壮89攻速
19	33413 12345	   	263.13	紫橙3易伤2攻速	137易伤2随机矿3序列升级4a核5低血量敌人6机枪对壮89攻速
20	33311 24753	   	260.44	紫橙3易伤1暴击1平台	137易伤2随机矿49核57最后敌人6加一7序列升级8平台a暴击
21	33411 24753	   	260.44	紫橙3易伤1暴击1平台	137易伤2随机矿37序列升级49核57最后敌人6加一8平台a暴击
