0	Index      	 *	Score 	Summary	Detail	
1	62223 11152	 * 	287.07	橙橙2易伤3时间1暴击1平台	134时间2平台5赏金邻近6a核78易伤9暴击
2	26246 33233	 * 	283.57	橙橙3易伤1矿等	1技能249易伤34低血量敌人4序列升级5掉矿6a核7矿等8最后敌人
3	26626 33233	   	283.47	橙橙3易伤1矿等	1技能239易伤4低血量敌人5掉矿6a核7矿等8最后敌人
4	21646 33313	 * 	277.14	橙橙2易伤2矿等	1技能24基地爆炸34易伤4序列升级57矿等6a核8最后敌人9金币生成
5	22646 33313	   	277.14	橙橙2易伤2矿等	1技能24敌人爆炸34易伤4序列升级57矿等6a核8最后敌人9金币生成
6	26346 33313	   	277.14	橙橙2易伤2矿等	1技能24易伤34敌人爆炸4序列升级57矿等6a核8最后敌人9金币生成
7	26636 33313	   	277.04	橙橙2易伤2矿等	1技能23易伤4基地爆炸57矿等6a核8最后敌人9金币生成
8	51362 34313	   	274.98	橙橙2易伤1矿等1攻速	1矿等2随机矿3掉矿47易伤5攻速6a核8最后敌人9金币生成
9	12543 21112	 * 	273.52	橙橙2易伤1伤害1平台	1挖尘2平台3随机矿4伤害5技能69核7激光对冰8a易伤
10	51533 33343	 * 	270.90	橙橙2矿等1易伤1伤害	17矿等2随机矿3易伤45敌人爆炸6a核8最后敌人9伤害
11	41351 31224	   	269.53	橙橙2易伤1矿等	1低血量敌人2等级35易伤4双倍秒伤6矿等7导弹对毒8a核9时间
12	62211 24216	   	267.97	橙橙2易伤2时间1平台1策反	13时间2平台47易伤59掉矿6策反8a核
13	26246 32233	   	265.94	橙橙3易伤	1技能249易伤34低血量敌人4序列升级5掉矿6a核7技能点8最后敌人
14	26626 32233	   	265.84	橙橙3易伤	1技能239易伤4低血量敌人5掉矿6a核7技能点8最后敌人
15	51362 33313	   	264.39	橙橙2矿等1易伤1攻速	17矿等2随机矿3掉矿4易伤5攻速6a核8最后敌人9金币生成
16	51552 33313	   	264.39	橙橙2矿等1易伤1攻速	17矿等2随机矿3易伤4掉矿5攻速6a核8最后敌人9金币生成
17	24533 34313	   	261.43	橙橙2易伤1矿等	1技能2矿等37易伤45敌人爆炸6a核8最后敌人9金币生成
18	33421 34253	   	261.43	橙橙2易伤1矿等	1立即金币2技能3等级47易伤5最后敌人6a核8敌人爆炸9矿等
19	33321 33633	   	261.33	橙橙2易伤1矿等	1立即金币2技能3掉矿49易伤5最后敌人6a核7矿等8敌人爆炸
20	33321 34653	   	261.33	橙橙2易伤1矿等	1立即金币2技能3掉矿47易伤5最后敌人6a核8敌人爆炸9矿等
21	33321 35553	   	261.33	橙橙2易伤1矿等	1立即金币2技能3掉矿48易伤5最后敌人6a核7低血量敌人9矿等
22	33421 34353	   	261.33	橙橙2易伤1矿等	1立即金币2技能3等级47易伤5最后敌人6a核8挖青9矿等
23	62311 24216	   	261.32	橙橙2易伤1平台1策反	1时间2平台3激光减费47易伤59掉矿6策反8a核
24	33321 34453	   	261.23	橙橙2易伤1矿等	1立即金币2技能3掉矿47易伤5最后敌人6a核8挖尘9矿等
25	34522 33223	 * 	261.23	橙橙1易伤2攻速1矿等	1立即金币2掉矿3易伤4低血量敌人59攻速6a核7矿等8最后敌人
26	34532 33223	   	261.23	橙橙1易伤2攻速1矿等	1立即金币2掉矿3易伤4基地爆炸59攻速6a核7矿等8最后敌人
27	36552 33223	   	261.23	橙橙1易伤2攻速1矿等	1立即金币2敌人爆炸3易伤4掉矿59攻速6a核7矿等8最后敌人
28	51362 32223	   	261.13	橙橙1易伤2攻速1矿等	1矿等2随机矿3掉矿4易伤59攻速6a核7技能点8最后敌人
29	51552 32223	   	261.13	橙橙1易伤2攻速1矿等	1矿等2随机矿3易伤4掉矿59攻速6a核7技能点8最后敌人
30	31526 34313	   	261.08	橙橙2易伤1矿等1策反	1立即金币2挖尘37易伤4策反5矿等6a核8最后敌人9金币生成
31	62223 11352	   	260.87	橙橙1易伤3时间1暴击1平台	134时间2平台5赏金邻近6a核7易伤8双倍矿9暴击
32	62223 11652	   	260.87	橙橙1易伤3时间1暴击1平台	134时间2平台5赏金邻近6a核7易伤8立即金币9暴击
33	25521 34133	   	258.75	橙橙2易伤2时间	1技能2最后敌人35金币生成45时间5序列升级6a核79易伤8掉矿
34	34522 34313	   	257.45	橙橙2易伤1攻速	1立即金币2掉矿37易伤4低血量敌人5攻速6a核8最后敌人9金币生成
35	34522 34333	   	257.45	橙橙2易伤1攻速	1立即金币2掉矿37易伤4低血量敌人5攻速6a核8最后敌人9等级
36	34532 34313	   	257.45	橙橙2易伤1攻速	1立即金币2掉矿37易伤4基地爆炸5攻速6a核8最后敌人9金币生成
37	31552 34313	   	257.35	橙橙2易伤1攻速	1立即金币2挖尘37易伤4掉矿5攻速6a核8最后敌人9金币生成
