0	Index      	 *	Score 	Summary	Detail	
1	15317 42246	 * 	276.84	橙橙2易伤2矿等	1双倍秒伤25易伤3加一4等级6a核7最后敌人89矿等
2	14533 33342	 * 	272.88	橙橙2伤害1易伤1矿等	1双倍秒伤2矿等35伤害45最后敌人5序列升级69核78技能a易伤
3	11233 32325	   	272.58	橙橙2伤害1易伤1矿等	1双倍秒伤2等级35挖尘45伤害5序列升级6a核7易伤8核弹9矿等
4	15324 44826	   	269.43	橙橙2易伤1矿等	1双倍秒伤28易伤3加一4双倍矿5技能点6a核7时间9矿等
5	15317 43644	 * 	265.74	橙橙3易伤	1双倍秒伤25a易伤3加一4等级69核7技能点8基地爆炸
6	26146 33131	   	265.65	橙橙2易伤1攻速	1挖青2攻速34易伤5额外掉落6a核7时间8技能点9最后敌人
7	11514 33342	 * 	263.76	橙橙2易伤1伤害	14双倍秒伤2等级3伤害5a易伤69核78技能
8	11514 33125	   	263.39	橙橙1易伤1伤害1矿等	14双倍秒伤2等级3伤害5易伤6a核7技能8时间9矿等
9	32414 31325	   	263.25	橙橙1易伤1伤害1矿等1策反	1基地爆炸2时间3策反4随机矿5易伤6a核7挖尘8伤害9矿等
10	15312 42826	   	261.23	橙橙2易伤1矿等	1双倍秒伤28易伤3加一4等级5立即金币6a核7最后敌人9矿等
11	15321 42826	   	261.13	橙橙2易伤1矿等	1双倍秒伤28易伤3加一4双倍矿5掉矿6a核7最后敌人9矿等
12	15324 42826	   	261.13	橙橙2易伤1矿等	1双倍秒伤28易伤3加一4双倍矿5技能点6a核7最后敌人9矿等
13	15317 46124	   	261.03	橙橙2易伤2全技能	1双倍秒伤25易伤3加一4等级6a核7电塔对甲89全技能
14	24123 13335	   	259.51	橙橙1易伤1伤害1攻速	1挖青2金币生成3易伤4时间5挖尘6赏金塔7a核8伤害9攻速
15	15312 45246	   	258.94	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4等级5立即金币6a核7时间89矿等
16	15321 45246	   	258.84	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4双倍矿5掉矿6a核7时间89矿等
17	15324 44246	   	258.84	橙橙2矿等1易伤	1双倍秒伤2易伤3加一4双倍矿5技能点6a核7时间89矿等
18	26111 53242	   	257.45	橙橙2易伤1攻速	1挖青2攻速3a易伤4随机矿58基地爆炸69核7技能
19	26146 31131	   	257.25	橙橙2易伤1攻速	1挖青2攻速34易伤5额外掉落6a核7挖尘8技能点9最后敌人
20	15233 12461	 * 	257.09	紫橙3易伤1伤害	1双倍秒伤279易伤3低血量敌人4a核5金币生成6伤害8额外掉落
21	26111 53125	   	257.08	橙橙1易伤1矿等1攻速	1挖青2攻速3易伤4随机矿5基地爆炸6a核7技能8时间9矿等
