0	Index      	 *	Score 	Summary	Detail	
1	31215 11225	 * 	287.54	橙3易伤3伤害2矿等3策反1平台	18a伤害2a矿等389策反4双倍秒伤58a易伤6平台7核8a序列升级
2	46341 42118	 * 	279.49	橙橙3易伤1暴击	1最后敌人2挖尘3加一4暴击568易伤7a核9敌人爆炸
3	46341 42148	   	279.49	橙橙3易伤1暴击	1最后敌人2挖尘3加一4暴击568易伤7a核9低血量敌人
4	46341 42218	   	274.78	橙橙2易伤1矿等1暴击	1最后敌人2挖尘3加一4暴击56易伤7a核8矿等9技能点
5	21341 43248	 * 	263.76	橙橙2易伤1伤害	1挖青2a最后敌人3加一4赏金邻近5伤害6a易伤79核8a掉矿a序列升级
6	32516 33242	   	263.76	橙橙2易伤1伤害	1伤害2最后敌人3加一4敌人爆炸5a易伤6赏金塔79核8掉矿
7	32524 43242	   	263.76	橙橙2易伤1伤害	1伤害2最后敌人3加一4赏金邻近5基地爆炸6a易伤79核8掉矿
8	32526 43242	   	263.76	橙橙2易伤1伤害	1伤害2最后敌人3加一4赏金邻近5敌人爆炸6a易伤79核8掉矿
9	21341 43242	   	263.66	橙橙2易伤1伤害	1挖青2最后敌人3加一4赏金邻近5伤害6a易伤79核8掉矿
10	35132 13654	 * 	262.64	橙橙2伤害1矿等1暴击	12伤害3敌人爆炸4矿等5暴击6时间7最后敌人8加一9a核
11	31621 11435	   	258.46	橙橙1伤害1矿等1暴击1攻速1卖塔	1伤害2矿等3暴击4卖塔5双倍秒伤6立即金币7攻速8a核9时间
