0	Index      	 *	Score 	Summary	Detail	
1	45313 13116	 * 	291.73	DCR|3LIT|4VULN|1DMG	1AART|25aLIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG
2	45313 13114	 * 	291.33	DCR|5VULN|2LIT|1DMG	1AART|25LIT|3MBVNT|4589aVULN|5BPWR|6RCR|7DMG
3	21521 22435	 * 	286.43	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1ERES|2aLIT|3CDMG|4VULN|5aDMG|6CGEN|7aMLV|8RMIN|9RCR|aBPWR
4	45313 12221	 * 	284.95	DCR|2LIT|2VULN|1MLV|1DMG|1NUKE|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aNUKE
5	45313 17114	   	284.92	DCR|5VULN|2LIT|1ASPD	1AART|25LIT|3MBVNT|4589aVULN|5BPWR|6RCR|7ASPD
6	45341 13174	 * 	282.78	DCR|3LIT|2MLV|2VULN	1AART|24aLIT|3MBVNT|4aBPWR|5LHND|6RCR|7aMLV|8aVULN|9BELT
7	45313 14227	 * 	282.42	DCR|3LIT|2VULN|1MLV|1DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7ERES|9DMG|aMLV
8	45313 13224	 * 	281.67	DCR|3LIT|2VULN|2DMG|1CDMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aCDMG
9	45313 17431	   	278.88	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7ASPD|8RPLT|9DMG|aMLV
10	21622 31365	   	278.02	DCR|3LIT|4VULN|1ASPD	158ERES|248LIT|3678VULN|8BPWR|9ASPD|aRCR
11	45313 13233	 * 	276.53	DCR|3LIT|2VULN|2ASPD|1DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|9aASPD
12	45313 17223	   	276.53	DCR|3LIT|2VULN|2ASPD|1DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7aASPD|9DMG
13	45313 17443	   	276.11	DCR|3LIT|2VULN|1MLV|1ASPD	1AART|259LIT|3MBVNT|45VULN|5BPWR|6RCR|7ASPD|8RPLT|aMLV
14	45313 13221	   	274.96	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aZMB
15	45313 13111	   	274.44	DCR|2LIT|4VULN|1DMG	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG|aCGEN
16	45313 13112	   	274.44	DCR|2LIT|4VULN|1DMG	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG|aFEWX
17	45313 13154	   	274.44	DCR|2LIT|4VULN|1DMG	1AART|25LIT|3MBVNT|458aVULN|5BPWR|6RCR|7DMG|9RCVC
18	45313 13113	   	274.34	DCR|2LIT|4VULN|1DMG	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG|aERES
19	45313 13117	   	274.34	DCR|2LIT|4VULN|1DMG	1aAART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG
20	45313 13144	   	274.34	DCR|2LIT|4VULN|1DMG	19AART|25LIT|3MBVNT|458aVULN|5BPWR|6RCR|7DMG
21	45313 14115	 * 	274.34	DCR|2LIT|4VULN|1NUKE	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7ERES|aNUKE
22	45317 13114	   	274.34	DCR|2LIT|4VULN|1DMG	1AART|25LIT|3MBVNT|489aVULN|6RCR|7DMG
23	41332 42311	 * 	274.17	DCR|1LIT|2VULN|1MLV|1NUKE|1DMG|1CDMG|1DUR	1AART|29VULN|3DUR|4DMG|5CDMG|6MLV|7RCR|8LIT|aNUKE
24	45313 13115	   	274.09	DCR|2LIT|4VULN|1DMG|1SELL	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7DMG|aSELL
25	45313 13127	 * 	272.86	DCR|2LIT|3VULN|2DMG	1AART|25LIT|3MBVNT|458VULN|5BPWR|6RCR|7aDMG|9BEXP
26	45313 13137	   	272.86	DCR|2LIT|3VULN|2DMG	1AART|25LIT|3MBVNT|458VULN|5BPWR|6RCR|7aDMG|9LWND
27	45313 13438	   	272.86	DCR|2LIT|3VULN|2DMG	1AART|25LIT|3MBVNT|45aVULN|5BPWR|6RCR|79DMG|8RPLT
28	45313 13327	   	272.76	DCR|2LIT|3VULN|2DMG	1AART|25LIT|3MBVNT|459VULN|5BPWR|6RCR|7aDMG|8ERES
29	45313 13146	   	272.47	DCR|3LIT|3VULN|1DMG	19AART|25aLIT|3MBVNT|458VULN|5BPWR|6RCR|7DMG
30	45313 13481	   	272.17	DCR|2LIT|2VULN|1MLV|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8RPLT|9ZMB|aMLV
31	45313 12222	   	271.82	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7SELL|8DMG|9MLV|aZMB
32	45313 13371	 * 	270.79	DCR|2LIT|2VULN|1FLTARM|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9FLTARM|aTLV
33	45313 13373	   	270.79	DCR|2LIT|2VULN|1FLTARM|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9FLTARM|aBEXP
34	45313 13374	   	270.79	DCR|2LIT|2VULN|1FLTARM|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9FLTARM|aRMIN
35	45313 13372	   	270.69	DCR|2LIT|2VULN|1FLTARM|1DMG	1AART|25LIT|3MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9FLTARM|aLEGI
36	45313 17111	   	268.03	DCR|2LIT|4VULN|1ASPD	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7ASPD|aCGEN
37	45313 17112	   	268.03	DCR|2LIT|4VULN|1ASPD	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7ASPD|aFEWX
38	45313 13216	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|7aDMG|9BEXP
39	45313 13223	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aCGEN
40	45313 13225	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aFLTHEA
41	45313 13226	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aRMIN
42	45313 13228	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|258LIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|aFEWX
43	45313 13436	   	268.02	DCR|3LIT|2VULN|2DMG	1AART|25aLIT|3MBVNT|45VULN|5BPWR|6RCR|79DMG|8RPLT
44	45313 14116	   	267.93	DCR|2LIT|4VULN|1ASPD	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7ERES|aASPD
45	45313 17113	   	267.93	DCR|2LIT|4VULN|1ASPD	1AART|25LIT|3MBVNT|4589VULN|5BPWR|6RCR|7ASPD|aERES
46	45313 17144	   	267.93	DCR|2LIT|4VULN|1ASPD	19AART|25LIT|3MBVNT|458aVULN|5BPWR|6RCR|7ASPD
47	41362 42311	   	267.76	DCR|1LIT|2VULN|1MLV|1NUKE|1CDMG|1ASPD|1DUR	1AART|29VULN|3DUR|4ASPD|5CDMG|6MLV|7RCR|8LIT|aNUKE
48	45313 11532	 * 	267.30	DCR|2LIT|3VULN|1MLV	1AART|25LIT|3MBVNT|458VULN|5BPWR|6RCR|7LHND|9LWND|aMLV
49	45313 14128	   	267.20	DCR|2LIT|3VULN|1MLV	1AART|25LIT|3MBVNT|458VULN|5BPWR|6RCR|7ERES|9BEXP|aMLV
50	45313 14138	   	267.20	DCR|2LIT|3VULN|1MLV	1AART|25LIT|3MBVNT|458VULN|5BPWR|6RCR|7ERES|9LWND|aMLV
