0	Index      	 *	Score 	Summary	Detail	
1	24115 51233	 * 	288.92	DCR|2LIT|2MLV|3DMG|1VULN|1SELL	17ERES|2SELL|3VULN|457DMG|67MLV|7BPWR|8aLIT|9RCR
2	53115 51233	 * 	288.92	DCR|2LIT|2MLV|3DMG|1VULN|1SELL	1SELL|27ERES|3VULN|457DMG|67MLV|7BPWR|8aLIT|9RCR
3	12231 34616	 * 	281.97	DCR|2LIT|3VULN|1MLV|1DMG	1BEXP|2MGNSTR|36LIT|457VULN|8DMG|9RCR|aMLV
4	12231 24616	 * 	278.36	DCR|4VULN|1LIT|1MLV|1DMG	16BEXP|2MGNSTR|3LIT|4567VULN|6BPWR|8DMG|9RCR|aMLV
5	52115 51233	 * 	275.39	DCR|2MLV|1LIT|3DMG|1VULN|1CDMG|1SELL	1SELL|27CGEN|3VULN|457DMG|67MLV|7BPWR|8LIT|9RCR|aCDMG
6	12231 34316	   	268.84	DCR|2LIT|3VULN|1MLV	1BEXP|2MGNSTR|36LIT|457VULN|8ZMB|9RCR|aMLV
7	12231 34613	 * 	267.66	DCR|2LIT|3VULN|2DMG	1aBEXP|2aMGNSTR|36LIT|457VULN|8aDMG|9RCR|aBPWR
8	26242 12511	 * 	265.29	DCR|2LIT|2VULN|2DMG|1NUKE	126ERES|37LIT|47DMG|57VULN|7BPWR|8RPLT|9RCR|aNUKE
9	12231 24316	   	265.24	DCR|4VULN|1LIT|1MLV	16BEXP|2MGNSTR|3LIT|4567VULN|6BPWR|8ZMB|9RCR|aMLV
10	12231 24613	 * 	264.05	DCR|4VULN|1LIT|2DMG	16aBEXP|2aMGNSTR|3LIT|4567VULN|6aBPWR|8aDMG|9RCR
11	52115 15331	 * 	262.53	DCR|2LIT|2VULN|3DMG|1SELL	1SELL|2CGEN|3aVULN|459DMG|67LIT|8RCR
12	26242 12512	 * 	262.52	DCR|3LIT|2VULN|2DMG	126ERES|37aLIT|47DMG|57VULN|7BPWR|8RPLT|9RCR
13	24115 15331	 * 	262.43	DCR|2LIT|2VULN|3DMG|1SELL	1ERES|2SELL|3aVULN|459DMG|67LIT|8RCR
14	53115 15331	 * 	262.43	DCR|2LIT|2VULN|3DMG|1SELL	1SELL|2ERES|3aVULN|459DMG|67LIT|8RCR
15	54323 23633	 * 	260.28	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG|1SELL	1SELL|2FEWX|39VULN|46CDMG|5MLV|7RCR|8DMG|aLIT
16	15252 42131	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|23LIT|48LWND|5aVULN|6MLV|7DMG|9RCR
17	15252 42231	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	18BEXP|23LIT|4LWND|5aVULN|6MLV|7DMG|9RCR
18	12231 14616	   	259.10	DCR|3VULN|1LIT|1MLV|1DMG	1BEXP|2MGNSTR|3LIT|457VULN|6RCVC|8DMG|9RCR|aMLV
