0	Index      	 *	Score 	Summary	Detail	
1	45123 24322	 * 	270.95	橙橙2易伤1等级1矿等	1矿等2低血量敌人3敌人爆炸4随机矿5a易伤6寒冰对甲79核8等级
2	46333 24223	 * 	256.84	橙橙1易伤2矿等1等级	1a矿等2等级3最后敌人4敌人爆炸5易伤6毒液对冰79核8技能点
3	32262 23166	   	256.44	橙橙2易伤1全技能1暴击	1低血量敌人26易伤3全技能4敌人爆炸5最后敌人7暴击8策反9a核
4	41152 21312	 * 	251.98	橙2易伤2伤害3矿等1等级1技能	189矿等2攻速38易伤4等级5敌人爆炸68伤害7技能8序列升级a核
5	46136 21312	   	251.98	橙2易伤2伤害3矿等1等级1技能	189矿等2等级38易伤4敌人爆炸5攻速68伤害7技能8序列升级a核
6	62331 43633	   	251.34	橙橙2易伤1矿等1卖塔	1最后敌人2a易伤3卖塔4矿等5挖青6攻速79核8平台
7	32112 54322	 * 	250.58	紫橙2易伤1等级1矿等1时间	1低血量敌人2a易伤3喷火对愈49核5时间6矿等7随机矿8等级
8	32512 54322	   	250.58	紫橙2易伤1等级1矿等1时间	1低血量敌人2a易伤3毒液对冰49核5时间6矿等7随机矿8等级
9	12431 24122	   	249.53	橙橙1易伤1等级1全技能	1加农对壮2攻速3赏金塔4平台5全技能6易伤7a核8等级9雷电
10	12432 14122	   	249.53	橙橙1易伤1等级1全技能	1加农对壮2攻速3赏金塔4平台5易伤6全技能7a核8等级9雷电
11	12143 26336	   	249.43	橙橙2易伤1暴击	1加农对壮2攻速3风暴减费4立即金币5a易伤6火球减费78核9暴击
12	21631 23523	 * 	245.20	橙橙1易伤1伤害1矿等1卖塔	1策反2攻速3卖塔4矿等5头目6赏金邻近7伤害8易伤9a核
13	45123 24321	   	244.74	橙橙1易伤1等级1矿等	1矿等2低血量敌人3敌人爆炸4随机矿5易伤6寒冰对甲79核8等级a最后敌人
14	15324 23216	   	244.64	橙橙1易伤1等级1矿等	1加农对壮2矿等3低血量敌人4头目5雷电68核7双倍矿9等级a易伤
15	45123 24323	   	244.64	橙橙1易伤1等级1矿等	1矿等2低血量敌人3敌人爆炸4随机矿5易伤6寒冰对甲79核8等级a挖尘
16	46333 24221	   	244.54	橙橙1易伤1等级1矿等	1矿等2等级3a最后敌人4敌人爆炸5易伤6毒液对冰79核8技能点
17	46333 24222	   	244.54	橙橙1易伤1等级1矿等	1矿等2等级3最后敌人4敌人爆炸5易伤6毒液对冰79核8技能点a立即金币
18	62122 64223	   	244.44	橙橙2易伤1矿等	1最后敌人25易伤3喷火对愈4雷电减费6基地爆炸79核8技能点a矿等
19	31143 14623	   	242.69	橙橙2易伤1暴击	16低血量敌人2立即金币35易伤4狙击对毒79核8金币生成a暴击
20	32143 14623	   	242.69	橙橙2易伤1暴击	16低血量敌人25易伤3喷火对愈4双倍矿79核8金币生成a暴击
21	22161 53512	   	242.69	橙橙2易伤1暴击	1策反2基地爆炸3敌人爆炸4额外掉落5双倍秒伤6a易伤79核8暴击
