0	Index      	 *	Score 	Summary	Detail	
1	21412 21442	 * 	301.47	橙橙3易伤2等级1攻速	14a易伤28等级3攻速5敌人爆炸69核7额外掉落
2	21412 21441	   	290.33	橙橙2易伤2等级1攻速1核弹	14易伤28等级3攻速5敌人爆炸69核7额外掉落a核弹
3	24321 62353	   	281.95	橙橙2易伤1等级1矿等1雷电	18易伤2头目3金币生成4雷电5等级69核7随机技能a矿等
4	25131 21243	 * 	281.45	橙橙2易伤1等级2攻速	14易伤2挖青34攻速4序列升级5金币生成69核7额外掉落8立即金币a等级
5	25131 21343	   	281.45	橙橙2易伤1等级2攻速	14易伤2挖青34攻速4序列升级58金币生成69核7额外掉落a等级
6	21623 63136	   	280.70	橙橙1易伤1等级1伤害1暴击1雷电	1易伤2等级3头目4雷电5伤害6a核7核弹8时间9暴击
7	24213 63136	   	280.70	橙橙1易伤1等级1伤害1暴击1雷电	1易伤2头目3雷电4等级5伤害6a核7核弹8时间9暴击
8	34211 36126	 * 	279.90	橙橙2易伤1喷火对甲1暴击1雷电	1立即金币2喷火对甲3暴击4雷电5敌人爆炸6a核79易伤8激光对冰
9	21431 21442	   	279.23	橙橙2易伤2等级1攻速	1a易伤28等级3攻速4技能点5金币生成69核7额外掉落
10	21412 21443	   	279.23	橙橙2易伤2等级1攻速	14易伤28等级3攻速5敌人爆炸69核7额外掉落a赏金塔
11	25131 21242	 * 	277.38	橙橙3易伤2攻速	14a易伤2挖青34攻速4序列升级5金币生成69核7额外掉落8立即金币
12	25131 21342	   	277.38	橙橙3易伤2攻速	14a易伤2挖青34攻速4序列升级58金币生成69核7额外掉落
13	21623 63236	   	273.76	橙橙1易伤1等级1伤害1暴击1雷电	1易伤2等级3头目4雷电5伤害6a核7核弹8基地爆炸9暴击
14	24213 63236	   	273.76	橙橙1易伤1等级1伤害1暴击1雷电	1易伤2头目3雷电4等级5伤害6a核7核弹8基地爆炸9暴击
15	23621 62353	   	273.19	橙橙2易伤1等级1雷电	18易伤2掉矿3头目4雷电5等级69核7随机技能a时间
16	24121 62353	   	273.19	橙橙2易伤1等级1雷电	18易伤2头目3技能点4雷电5等级69核7随机技能a时间
17	24231 62353	   	273.19	橙橙2易伤1等级1雷电	18易伤2头目3雷电4技能点5等级69核7随机技能a时间
