0	Index      	 *	Score 	Summary	Detail	
1	16235 31521	 * 	269.74	橙橙2伤害1易伤1矿等1技能1攻速	1攻速2赏金塔3矿等4金币生成57伤害6技能8a核9易伤
2	63423 12623	 * 	261.41	紫橙3易伤1等级1雷电	1风暴减费267易伤3雷电4敌人爆炸59核8等级a时间
3	11252 61521	   	261.08	橙橙2伤害1易伤1攻速	1攻速2策反37伤害4时间5赏金邻近6双倍矿8a核9易伤
4	63423 12621	   	254.47	紫橙3易伤1等级1雷电	1风暴减费267易伤3雷电4敌人爆炸59核8等级a寒冰对冰
5	63423 12622	   	254.37	紫橙3易伤1等级1雷电	1风暴减费267易伤3雷电4敌人爆炸59核8等级a掉矿
6	11222 31521	   	254.14	橙橙2伤害1易伤1攻速	1攻速2策反37伤害4低血量敌人5赏金邻近6双倍矿8a核9易伤
7	11512 31521	   	254.14	橙橙2伤害1易伤1攻速	1攻速2策反3低血量敌人47伤害5赏金邻近6双倍矿8a核9易伤
8	12212 31521	   	254.04	橙橙2伤害1易伤1攻速	1攻速2低血量敌人3核弹47伤害5赏金邻近6双倍矿8a核9易伤
9	62231 34622	 * 	249.91	橙橙2易伤2雷电1卖塔	1风暴减费2卖塔3赏金邻近4随机技能57易伤69雷电8a核
10	63423 32623	 * 	249.48	紫橙2易伤1等级2雷电	1风暴减费27易伤36雷电4敌人爆炸59核8等级a时间
11	11222 36521	 * 	249.00	橙橙1易伤2攻速1伤害	17攻速2策反3伤害4低血量敌人5赏金邻近6双倍矿8a核9易伤
12	11512 36521	   	249.00	橙橙1易伤2攻速1伤害	17攻速2策反3低血量敌人4伤害5赏金邻近6双倍矿8a核9易伤
13	12212 36521	   	248.90	橙橙1易伤2攻速1伤害	17攻速2低血量敌人3核弹4伤害5赏金邻近6双倍矿8a核9易伤
14	11214 21345	 * 	248.03	橙3易伤2伤害2攻速1雷电	1a攻速2策反3a伤害4雷电5头目6时间79a易伤8核a序列升级
15	63412 63222	 * 	243.81	橙橙1易伤2雷电3时间	1风暴减费2易伤34雷电5赏金邻近69核78a时间
16	16131 34432	 * 	242.59	橙橙1易伤1等级1攻速	1攻速2赏金塔3易伤4等级5最后敌人6散射对甲7双倍矿8金币生成9a核
17	63423 32621	   	242.54	紫橙2易伤1等级2雷电	1风暴减费27易伤36雷电4敌人爆炸59核8等级a寒冰对冰
18	16131 33432	   	242.49	橙橙1易伤1等级1攻速	1攻速2赏金塔3易伤4等级5最后敌人6散射对甲7毒气减费8金币生成9a核
19	16135 33432	   	242.49	橙橙1易伤1等级1攻速	1攻速2赏金塔3易伤4等级5低血量敌人6散射对甲7毒气减费8金币生成9a核
20	63423 32622	   	242.44	紫橙2易伤1等级2雷电	1风暴减费27易伤36雷电4敌人爆炸59核8等级a掉矿
21	61213 66121	 * 	239.84	橙橙2易伤1雷电	1风暴减费2掉矿3挖尘4雷电5双倍矿69核78易伤a寒冰对冰
22	61213 66123	   	239.84	橙橙2易伤1雷电	1风暴减费2掉矿3挖尘4雷电5双倍矿69核78易伤a策反
23	61212 66121	   	239.74	橙橙2易伤1雷电	1风暴减费2掉矿3挖尘4雷电5烈焰减费69核78易伤a寒冰对冰
24	61212 66123	   	239.74	橙橙2易伤1雷电	1风暴减费2掉矿3挖尘4雷电5烈焰减费69核78易伤a策反
25	61213 66122	   	239.74	橙橙2易伤1雷电	1风暴减费2a掉矿3挖尘4雷电5双倍矿69核78易伤
