0	Index      	 *	Score 	Summary	Detail	
1	63133 23353	 * 	324.90	DCR|4VULN|2TLV|1LIT|1MLV|2DUR	134aVULN|2aTLV|5MLV|6LIT|7RCR|8aDUR|9RMIN|aBPWR
2	63323 43432	 * 	307.51	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	149VULN|29TLV|3ASPD|58CGEN|69DMG|7RCR|9BPWR|aMLV
3	63133 23153	   	307.47	DCR|4VULN|2TLV|1LIT|1MLV	134aVULN|2aTLV|5MLV|6LIT|7RCR|8aBEXP|9RMIN|aBPWR
4	63133 23553	   	307.47	DCR|4VULN|2TLV|1LIT|1MLV	134aVULN|2aTLV|5MLV|6LIT|7RCR|8aLWND|9RMIN|aBPWR
5	63133 23253	   	307.27	DCR|4VULN|2TLV|1LIT|1MLV	134aVULN|2aTLV|5MLV|6LIT|7RCR|8aDUST|9RMIN|aBPWR
6	63126 13432	 * 	306.67	DCR|DCR|2VULN|1TLV|1DMG|2AART	13VULN|2TLV|4TBNT|59AART|6DMG|7aRCR|8LSRHEA
7	63126 13632	   	306.67	DCR|DCR|2VULN|1TLV|1DMG|2AART	13VULN|2TLV|4TBNT|59AART|6DMG|7aRCR|8TSLARM
8	63126 13342	   	298.92	DCR|DCR|2VULN|1TLV|1DMG	13VULN|2TLV|4TBNT|5AART|6DMG|7aRCR|8CGEN|9BELT
9	63126 13142	   	298.82	DCR|DCR|2VULN|1TLV|1DMG	13VULN|2TLV|4TBNT|5AART|6DMG|7aRCR|8ERES|9BELT
10	63162 33351	 * 	298.46	ACR|DCR|2VULN|2TLV|1LIT	13VULN|27TLV|4BBNT|5aRCR|6AART|8DUST|9LIT
11	63324 23623	 * 	298.17	DCR|4VULN|1TLV|1LIT|2ASPD|2DUR	145aVULN|2TLV|3aASPD|6LIT|7RCR|8ERES|9aDUR|aBPWR
12	63133 23345	   	297.76	DCR|3VULN|2TLV|1LIT|1MLV	134VULN|2aTLV|5MLV|6LIT|7RCR|8DUR|9FRZARM
13	63133 23352	   	297.76	DCR|3VULN|2TLV|1LIT|1MLV	134VULN|2aTLV|5MLV|6LIT|7RCR|8DUR|9RMIN
14	63133 23362	   	297.76	DCR|3VULN|2TLV|1LIT|1MLV	134VULN|2aTLV|5MLV|6LIT|7RCR|8DUR|9ZMB
15	63133 23315	   	297.66	DCR|3VULN|2TLV|1LIT|1MLV	134VULN|2aTLV|5MLV|6LIT|7RCR|8DUR|9SNIHEL
16	63133 23622	   	297.66	DCR|3VULN|2TLV|1LIT|1MLV	134VULN|2aTLV|5MLV|6LIT|7RCR|8ERES|9DUR
17	63322 63363	 * 	295.64	ACR|DCR|3VULN|1TLV|1LIT|1ASPD	149VULN|2TLV|3ASPD|58RCR|6DUST|7MDPS|aLIT
