0	Index      	 *	Score 	Summary	Detail	
1	53533 33312	 * 	307.76	DCR|2TLV|2LIT|2MLV|1VULN|1RPLT|2AART	19TLV|2RPLT|38AART|49MLV|59LIT|6RCR|7RMIN|9BPWR|aVULN
2	11623 32231	 * 	303.80	DCR|4VULN|2TLV|2LIT	134aVULN|2aLIT|5aTLV|6AAC|7MDPS|8RPLT|9RCR|aBPWR
3	53533 33116	 * 	299.26	DCR|3LIT|2TLV|2MLV|1RPLT|1ASPD	19TLV|2RPLT|3AART|49MLV|589LIT|6RCR|7RMIN|9BPWR|aASPD
4	53462 23133	 * 	297.69	DCR|2TLV|2LIT|2DMG|1MLV|1RPLT|1ASPD	17TLV|2RPLT|3ASPD|4BELT|57LIT|67DMG|7BPWR|8DUST|9MLV|aRCR
5	53533 33215	 * 	293.55	DCR|3MLV|2TLV|2LIT|1RPLT|1CDMG	19TLV|2RPLT|3AART|489MLV|59LIT|6RCR|7RMIN|9BPWR|aCDMG
6	53612 13613	 * 	292.08	DCR|2TLV|2MLV|2DMG|1VULN|1RPLT	1aTLV|2RPLT|3aMLV|4BEXP|5VULN|6RCR|7aDMG|8TBNT|9BBNT|aBPWR
7	11633 26631	 * 	291.19	DCR|3VULN|1TLV|2DMG|1LIT	13aVULN|2LIT|4RPLT|5aLHND|6DUR|7TLV|8aDMG|9RCR|aBPWR
8	56121 21251	 * 	290.15	ACR|DCR|2VULN|2TLV|1LIT	1aTLV|2aVULN|3LHND|4MDPS|57RCR|6LIT|8BBNT|9aBASARM|aBPWR
9	14231 21231	 * 	289.92	ACR|DCR|2VULN|2LIT|1TLV	19VULN|2LWND|3MDPS|4TLV|57RCR|6aLIT|8BBNT
10	54151 21231	   	289.92	ACR|DCR|2VULN|2LIT|1TLV	1TLV|2MDPS|39VULN|4LWND|57RCR|6aLIT|8BBNT
11	56121 21231	   	289.92	ACR|DCR|2VULN|2LIT|1TLV	1TLV|29VULN|3LHND|4MDPS|57RCR|6aLIT|8BBNT
12	62151 21231	   	289.92	ACR|DCR|2VULN|2LIT|1TLV	1MDPS|29VULN|3TLV|4LWND|57RCR|6aLIT|8BBNT
13	62231 21231	   	289.92	ACR|DCR|2VULN|2LIT|1TLV	1MDPS|29VULN|3LHND|4TLV|57RCR|6aLIT|8BBNT
14	12215 24532	 * 	289.25	DCR|3LIT|2VULN|2MLV|1TLV|1SELL	17VULN|2ERES|378LIT|47MLV|5SELL|6BBNT|7BPWR|9TLV|aRCR
15	53621 22236	 * 	288.14	DCR|2VULN|2TLV|2ASPD|1MLV|1RPLT	18TLV|2RPLT|3MLV|48ASPD|5FEWX|6LWND|78VULN|8BPWR|9BBNT|aRCR
16	53631 13234	 * 	287.04	DCR|3MLV|2VULN|2TLV|1RPLT	19TLV|2RPLT|345MLV|6RCR|79VULN|8DMSP|9BPWR|aDUR
17	56522 23321	 * 	286.75	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|23VULN|4DMSP|5AART|6aRCR|7DLOT|8BASARM|9CDMG
18	56121 21151	   	286.05	ACR|DCR|2VULN|2TLV|1LIT	1aTLV|2aVULN|3LHND|4MDPS|57RCR|6LIT|8TBNT|9aBASARM|aBPWR
19	14231 21131	   	285.82	ACR|DCR|2VULN|2LIT|1TLV	19VULN|2LWND|3MDPS|4TLV|57RCR|6aLIT|8TBNT
20	54151 21131	   	285.82	ACR|DCR|2VULN|2LIT|1TLV	1TLV|2MDPS|39VULN|4LWND|57RCR|6aLIT|8TBNT
21	56121 21131	   	285.82	ACR|DCR|2VULN|2LIT|1TLV	1TLV|29VULN|3LHND|4MDPS|57RCR|6aLIT|8TBNT
22	62151 21131	   	285.82	ACR|DCR|2VULN|2LIT|1TLV	1MDPS|29VULN|3TLV|4LWND|57RCR|6aLIT|8TBNT
23	62231 21131	   	285.82	ACR|DCR|2VULN|2LIT|1TLV	1MDPS|29VULN|3LHND|4TLV|57RCR|6aLIT|8TBNT
