0	Index      	 *	Score 	Summary	Detail	
1	26721 31227	 * 	325.81	ACR|DCR|2VULN|2TLV|2MLV|1LIT	1MBVNT|28RCR|3aMLV|4LIT|5aTLV|6CGEN|7ERES|9aVULN|aBPWR
2	21883 16423	 * 	315.72	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|269VULN|39LIT|4DUR|5DMG|79TLV|8BBNT|9BPWR|aRCR
3	21883 25423	   	315.72	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|279VULN|39LIT|4DUR|5DMG|69TLV|8BBNT|9BPWR|aRCR
4	26323 63227	   	312.78	ACR|DCR|2VULN|2TLV|1LIT|1MLV	1MBVNT|28RCR|3aTLV|4LIT|5aCGEN|6ERES|7MLV|9aVULN|aBPWR
5	26421 41227	   	312.58	ACR|DCR|2VULN|2TLV|1LIT|1MLV	1MBVNT|28RCR|3aAME|4LIT|5aTLV|6MLV|7ERES|9aVULN|aBPWR
6	26421 63227	   	312.58	ACR|DCR|2VULN|2TLV|1LIT|1MLV	1MBVNT|28RCR|3aAME|4LIT|5aTLV|6ERES|7MLV|9aVULN|aBPWR
7	26721 13234	 * 	306.79	ACR|DCR|2TLV|2LIT|1VULN|1MLV	1MBVNT|28RCR|3MLV|49LIT|57TLV|6LWND|aVULN
8	21823 16423	   	306.06	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|269VULN|39LIT|4BEXP|5DMG|79TLV|8BBNT|9BPWR|aRCR
9	21823 25423	   	306.06	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|279VULN|39LIT|4BEXP|5DMG|69TLV|8BBNT|9BPWR|aRCR
10	21833 16423	   	306.06	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|269VULN|39LIT|4LWND|5DMG|79TLV|8BBNT|9BPWR|aRCR
11	21833 25423	   	306.06	DCR|3VULN|2TLV|2LIT|1DMG	1MBVNT|279VULN|39LIT|4LWND|5DMG|69TLV|8BBNT|9BPWR|aRCR
12	27336 84123	   	303.17	DCR|3VULN|2TLV|1LIT|1DMG|2DUR	1MBVNT|2BBNT|39TLV|469VULN|5DMG|7LIT|89DUR|9BPWR|aRCR
13	27331 65132	 * 	300.66	DCR|DCR|2VULN|2TLV	1MBVNT|2BBNT|35TLV|47VULN|6aRCR|8TBNT|9CGEN
14	21481 84123	 * 	300.22	DCR|3VULN|2DMG|1TLV|1LIT|2DUR	1MBVNT|269VULN|39DMG|4BBNT|5TLV|7LIT|89DUR|9BPWR|aRCR
15	23181 84123	   	300.22	DCR|3VULN|2DMG|1TLV|1LIT|2DUR	1MBVNT|29DMG|369VULN|4BBNT|5TLV|7LIT|89DUR|9BPWR|aRCR
16	26721 11284	   	299.71	ACR|DCR|2TLV|2MLV|1LIT|1VULN	1MBVNT|28RCR|39MLV|4LIT|59TLV|679LWND|9BPWR|aVULN
17	26721 13226	   	299.51	ACR|DCR|2TLV|2MLV|1LIT|1VULN	1MBVNT|28RCR|3aMLV|4LIT|57TLV|6LWND|9VULN
18	23644 62426	 * 	298.74	DCR|3LIT|2VULN|1TLV|2DMG	1MBVNT|29DMG|3RMIN|4TLV|5BBNT|6RCR|79aLIT|89VULN|9BPWR
19	26721 13225	   	296.14	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1MBVNT|28RCR|3MLV|4LIT|57TLV|6LWND|9VULN|aDUR
20	26321 21224	   	296.04	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1MBVNT|28RCR|35TLV|4LIT|6DUR|7ERES|9VULN|aMLV
