0	Index      	 *	Score 	Summary	Detail	
1	13413 63522	 * 	300.20	DCR|3VULN|2TLV|2LIT|1RPLT	19TLV|2RPLT|3BELT|46LIT|56aVULN|6BPWR|7TBNT|8RCR
2	14522 63121	 * 	299.68	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1ASPD	16TLV|2ASPD|3RCVC|45VULN|7DMG|8RCR|9LIT|aMLV
3	11533 11342	 * 	299.56	ACR|3TLV|2VULN|2MLV|2DMG|2DUR	18aTLV|2RCR|3BBNT|4aVULN|58DUR|6AART|78DMG|8aBPWR|9aMLV
4	13353 11253	 * 	298.44	DCR|2VULN|2TLV|2ASPD|1MLV|1DMG|1RPLT	1aTLV|2RPLT|3DMG|4aVULN|5AAC|6MLV|7DUST|8aASPD|9RCR|aBPWR
5	13413 24611	 * 	298.00	DCR|3VULN|2TLV|1LIT|3DUR|1RPLT	18TLV|2RPLT|3BELT|4LIT|578VULN|68aDUR|8BPWR|9RCR
6	13156 31125	 * 	296.63	DCR|2VULN|2TLV|1LIT|1MLV|2RPLT	16TLV|25RPLT|3AAC|46VULN|6BPWR|7RCR|8DUR|9LIT|aMLV
7	13156 31343	 * 	295.62	DCR|4VULN|3TLV|1LIT|2RPLT	168TLV|25RPLT|3AAC|468aVULN|68BPWR|7RCR|9LIT
8	13153 31125	   	294.03	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	16TLV|2RPLT|35AAC|46VULN|6BPWR|7RCR|8DUR|9LIT|aMLV
9	13153 31343	   	293.03	DCR|4VULN|3TLV|1LIT|1RPLT	168TLV|2RPLT|35AAC|468aVULN|68BPWR|7RCR|9LIT
10	13413 24612	   	291.86	DCR|3VULN|2TLV|1LIT|1RPLT|2DUR	18TLV|2RPLT|3BELT|4LIT|578VULN|68DUR|8BPWR|9RCR|aLHND
11	13413 24613	   	291.76	DCR|3VULN|2TLV|1LIT|1RPLT|2DUR	18TLV|2RPLT|3BELT|4LIT|578VULN|68DUR|8BPWR|9RCR|aLEGI
12	12612 11413	 * 	291.22	DCR|DCR|2TLV|1VULN|1MLV	14TLV|2DLOT|3VULN|5MULHEA|6AEFBLL|7MLV|8aRCR|9BEXP
13	13413 61622	 * 	289.80	DCR|3LIT|2VULN|1TLV|1DMG|1RPLT	1TLV|2RPLT|3BELT|46aLIT|56VULN|6BPWR|7DMG|8RCR|9BEXP
14	14522 63122	 * 	289.63	DCR|3VULN|2TLV|1LIT|1DMG|1ASPD	16TLV|2ASPD|3RCVC|45aVULN|7DMG|8RCR|9LIT
15	63333 11534	 * 	289.46	DCR|3TLV|2VULN|2MLV|2ASPD	1BELT|239TLV|3aBPWR|4aMLV|5aVULN|6RCR|7DMSP|8aASPD
16	13365 13235	 * 	288.29	DCR|3VULN|2TLV|2DMG|1RPLT	18TLV|2RPLT|38DMG|4LHND|5AART|6FEWX|789VULN|8BPWR|aRCR
17	11533 14342	 * 	288.02	ACR|3TLV|2VULN|2MLV|2ASPD|2DUR	18aTLV|2RCR|3BBNT|4aVULN|58DUR|6AART|78ASPD|8aBPWR|9aMLV
18	13156 31225	   	286.97	DCR|2VULN|2TLV|1LIT|1MLV|2RPLT	16TLV|25RPLT|3AAC|46VULN|6BPWR|7RCR|8BEXP|9LIT|aMLV
19	12432 13363	 * 	285.34	DCR|DCR|2VULN|2TLV	14TLV|2DLOT|3LHND|5FRZFST|69VULN|7aRCR|8CGEN
20	12432 13263	   	285.24	DCR|DCR|2VULN|2TLV	14TLV|2DLOT|3LHND|5FRZFST|69VULN|7aRCR|8ERES
21	12634 12423	   	284.54	DCR|3VULN|2TLV|2LIT	1aTLV|2DLOT|36aVULN|4RPLT|5AIRHEA|7RCR|8LWND|9aLIT|aBPWR
22	12634 12623	   	284.44	DCR|3VULN|2TLV|2LIT	1aTLV|2DLOT|36aVULN|4RPLT|5AIRHEA|7RCR|8DUST|9aLIT|aBPWR
23	13153 31225	   	284.37	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	16TLV|2RPLT|35AAC|46VULN|6BPWR|7RCR|8BEXP|9LIT|aMLV
24	13362 26531	 * 	284.13	DCR|3LIT|2TLV|1MLV|1DMG|1RPLT	1aTLV|2RPLT|3DMG|4LHND|589LIT|6MLV|7RCR
25	12632 15423	 * 	284.08	DCR|3VULN|3TLV|2LIT	15aTLV|2DLOT|35aVULN|4RPLT|5aBPWR|6RCR|7SNITOX|8LWND|9aLIT
26	34153 43122	   	283.99	DCR|3VULN|2TLV|1LIT|1RPLT	1FEWX|2RPLT|35TLV|458VULN|5BPWR|6BEXP|7RCR|9LIT|aDUR
27	13411 13635	   	283.98	DCR|2TLV|2LIT|1MLV|1DMG|1RPLT|2DUR	19TLV|2RPLT|3BELT|49LIT|5DMG|6BEXP|79DUR|8RCR|9BPWR|aMLV
28	12632 15623	   	283.98	DCR|3VULN|3TLV|2LIT	15aTLV|2DLOT|35aVULN|4RPLT|5aBPWR|6RCR|7SNITOX|8DUST|9aLIT
29	34153 63122	   	283.89	DCR|3VULN|2TLV|1LIT|1RPLT	1FEWX|2RPLT|35TLV|458VULN|5BPWR|6DUST|7RCR|9LIT|aDUR
