0	Index      	 *	Score 	Summary	Detail	
1	31541 25724	 * 	206.41	紫1基础对甲1易伤1伤害1全技能1基地爆炸1暴击	1基地爆炸2技能3加一4雷电5核6暴击7全技能8基础对甲9易伤a伤害
2	34222 51213	 * 	204.84	紫1基础对甲3基地爆炸1易伤1暴击1卖塔	146基地爆炸2卖塔3核4序列升级5易伤7金币生成8最后敌人9暴击a基础对甲
3	34222 53213	 * 	204.74	紫1基础对甲3基地爆炸1易伤1暴击1卖塔	146基地爆炸2卖塔3核4序列升级5易伤7掉矿8最后敌人9暴击a基础对甲
4	12142 53141	 * 	203.25	紫2易伤2伤害2基地爆炸1攻速	123最后敌人2a序列升级4核5立即金币6a伤害7攻速8a易伤9a基地爆炸
5	12141 53141	   	202.82	紫2易伤2伤害2基地爆炸1攻速	123最后敌人2a序列升级4核5a伤害6立即金币7攻速8a易伤9a基地爆炸
6	34221 16632	 * 	200.96	紫1基础对甲2基地爆炸1伤害1全技能1暴击2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6最后敌人8基础对甲9伤害a暴击
7	34221 26632	 * 	200.86	紫1基础对甲2基地爆炸1伤害1全技能1暴击2卖塔	14基地爆炸27卖塔3核4序列升级5全技能6挖青8基础对甲9伤害a暴击
8	34222 22331	 * 	199.86	紫1基础对甲2易伤3基地爆炸1卖塔	14a基地爆炸2卖塔3核4序列升级58易伤6激光对冰7技能9基础对甲
9	34224 22433	 * 	199.78	紫1基础对甲2基地爆炸1伤害1易伤1卖塔	14基地爆炸2卖塔3核4序列升级5敌人爆炸6防空对直升7技能8易伤9基础对甲a伤害
10	34222 22133	 * 	199.78	紫1基础对甲2基地爆炸1易伤1伤害1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7技能8敌人爆炸9基础对甲a伤害
11	34223 51353	 * 	198.92	紫1基础对甲3基地爆炸1攻速1卖塔	146基地爆炸2卖塔3核4序列升级5低血量敌人78金币生成9基础对甲a攻速
12	35421 21353	 * 	198.62	紫2易伤1基础对甲3基地爆炸1技能	168基地爆炸2最后敌人3矿等47易伤5核9技能a基础对甲
13	35321 21323	   	198.52	紫2易伤1基础对甲3基地爆炸1技能	168基地爆炸2最后敌人3掉矿47易伤5核9技能a基础对甲
14	35621 21353	   	198.52	紫2易伤1基础对甲3基地爆炸1技能	168基地爆炸2最后敌人3技能点47易伤5核9技能a基础对甲
15	12141 63163	 * 	198.10	紫1基础对甲2易伤2伤害	123最后敌人2序列升级4核57伤害6金币生成89易伤a基础对甲
16	12141 13163	   	198.00	紫1基础对甲2易伤2伤害	123最后敌人2序列升级4核57伤害6技能点89易伤a基础对甲
17	15141 13163	   	198.00	紫1基础对甲2易伤2伤害	123最后敌人4核57伤害6技能点89易伤a基础对甲
18	34221 53513	 * 	197.74	紫3基地爆炸1攻速1伤害1全技能1暴击1卖塔	147基地爆炸2卖塔3核4序列升级5全技能6挖尘8暴击9伤害a攻速
19	34212 63613	   	194.89	紫1基础对甲2基地爆炸1全技能1暴击1卖塔	18基地爆炸2卖塔3核4最后敌人5低血量敌人6暴击7时间9全技能a基础对甲
