0	Index      	 *	Score 	Summary	Detail	
1	33432 15413	 * 	246.67	紫1基础对甲2攻速2伤害2暴击1全技能1技能	1全技能2a攻速3基础对甲4平台5核6技能7加一8a暴击9a伤害a序列升级
2	36531 13613	 * 	244.54	紫2基础对甲2攻速3暴击1全技能1技能	1全技能2核3技能4a掉矿568暴击7a基础对甲9a攻速a序列升级
3	33432 11533	 * 	243.76	紫2基础对甲2攻速1伤害2暴击1全技能1技能	1全技能2a攻速3a基础对甲4平台5核6技能7时间8伤害9a暴击a序列升级
4	33432 12513	 * 	240.90	紫2基础对甲2攻速2伤害1全技能1技能2卖塔	1全技能2a攻速3a基础对甲4平台5核6技能78卖塔9a伤害a序列升级
5	33432 24214	 * 	237.50	紫1基础对甲2攻速2基地爆炸1伤害1全技能1技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9技能a伤害
6	23332 52323	 * 	231.19	紫1基础对甲2攻速2基础对冰1基地爆炸1暴击1技能	19金币生成2技能3挖青49攻速5核6基地爆炸7暴击89基础对冰9序列升级a基础对甲
7	36521 13612	   	229.95	紫1基础对甲2攻速3暴击1全技能1技能	1全技能2核3技能4金币生成568暴击7基础对甲9a攻速
8	33432 24231	   	229.72	紫1基础对甲2攻速2基地爆炸1暴击1全技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9易伤a暴击
9	33432 24234	 * 	229.10	紫1基础对甲2攻速2基地爆炸2易伤1全技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9a易伤
10	33432 24236	 * 	227.34	紫1基础对甲3基地爆炸2攻速1全技能	1全技能28攻速3基础对甲4平台5核68激光对冰78a基地爆炸8序列升级9易伤
11	33432 12413	   	226.56	紫1基础对甲2攻速2伤害1全技能1技能1卖塔	1全技能2a攻速3基础对甲4平台5核6技能7卖塔8a最后敌人9a伤害a序列升级
12	33432 24216	   	225.28	紫1基础对甲2攻速2基地爆炸2技能1全技能	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9a技能
13	36322 53226	   	224.54	紫1基础对甲2伤害1基地爆炸1全技能1技能	1全技能2核3易伤4立即金币5技能6时间79伤害8基地爆炸a基础对甲
14	33432 62361	 * 	224.06	紫1基础对甲2基地爆炸2全技能1攻速1伤害	1a全技能2攻速3基础对甲4平台5核68基地爆炸7低血量敌人9伤害
15	33432 63361	   	224.06	紫1基础对甲2基地爆炸2全技能1攻速1伤害	1a全技能2攻速3基础对甲4平台5核68基地爆炸7最后敌人9伤害
16	33432 24221	   	222.78	紫1基础对甲2攻速2基地爆炸1全技能1暴击	1全技能28攻速3基础对甲4平台5核68激光对冰78基地爆炸8序列升级9敌人爆炸a暴击
17	33432 11532	   	222.66	紫1基础对甲2攻速1伤害1暴击1全技能1技能	1全技能2a攻速3基础对甲4平台5核6技能7时间8伤害9暴击
