0	Index      	 *	Score 	Summary	Detail	
1	42522 36331	 * 	237.36	紫3基础对甲2攻速2伤害	13a基础对甲2技能3a序列升级4核5时间6a伤害7加一8a攻速9双倍秒伤
2	41343 31622	 * 	235.13	紫2基础对甲2易伤2攻速1伤害	18基础对甲29敌人爆炸35火球减费4核68攻速78易伤8序列升级a伤害
3	42521 82122	   	226.93	紫2基础对甲2易伤1攻速1全技能1暴击	13基础对甲2技能3序列升级4核5加一6暴击79易伤8全技能a攻速
4	41343 31612	   	226.33	紫2基础对甲2易伤2攻速1基地爆炸	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9平台a基地爆炸
5	41343 33214	   	224.13	紫2基础对甲2攻速2伤害	1a基础对甲2敌人爆炸35火球减费4核6a攻速7低血量敌人8技能点9a伤害a序列升级
6	41343 31631	   	220.89	紫2基础对甲2易伤2攻速1技能	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9技能点a技能
7	41241 31214	 * 	220.65	紫1基础对甲2易伤2伤害1攻速	1基础对甲2a敌人爆炸3双倍矿4核5时间6攻速7a易伤8技能点9a伤害a序列升级
8	44612 31211	 * 	216.39	紫1基础对甲1易伤1攻速1伤害1基础对冰1技能	1基础对甲2时间3基础对冰4核5低血量敌人6技能点7易伤8伤害9攻速a技能
9	42241 33341	 * 	215.07	紫2基础对甲2攻速2基地爆炸	1a基础对甲2技能3随机矿4核5时间6a攻速7低血量敌人8挖尘9a基地爆炸a序列升级
10	41343 31611	   	212.68	紫2基础对甲2易伤2攻速	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9平台a最后敌人
11	41343 31621	   	212.68	紫2基础对甲2易伤2攻速	18基础对甲29敌人爆炸35火球减费4核68攻速78易伤8序列升级a最后敌人
12	41343 31623	   	212.68	紫2基础对甲2易伤2攻速	18基础对甲29敌人爆炸35火球减费4核68攻速78易伤8序列升级a平台
13	41343 31613	   	212.58	紫2基础对甲2易伤2攻速	18基础对甲2敌人爆炸35火球减费4核68攻速78易伤8序列升级9平台a挖尘
