0	Index      	 *	Score 	Summary	Detail	
1	12416 22612	 * 	225.72	紫2基础对甲3伤害2基地爆炸	19a伤害23低血量敌人4技能5核6双倍秒伤79基础对甲89基地爆炸9序列升级
2	62125 32612	   	225.48	紫2基础对甲3伤害2基地爆炸1卖塔	19基地爆炸2挖尘3平台49a伤害5核6卖塔79基础对甲8加一9序列升级
3	15633 32352	 * 	211.41	紫2易伤1基础对甲1伤害1基础对冰1全技能	1伤害28技能点3全技能46易伤5核7敌人爆炸9基础对甲a基础对冰
4	12416 22611	   	210.07	紫2基础对甲2伤害2基地爆炸	19伤害23低血量敌人4技能5核6双倍秒伤79基础对甲89基地爆炸9序列升级a敌人爆炸
5	12416 22613	   	210.07	紫2基础对甲2伤害2基地爆炸	19伤害23低血量敌人4技能5核6双倍秒伤79基础对甲89基地爆炸9序列升级a最后敌人
6	62125 32611	   	209.82	紫2基础对甲2伤害2基地爆炸1卖塔	19基地爆炸2挖尘3平台49伤害5核6卖塔79基础对甲8加一9序列升级a敌人爆炸
7	62125 32613	   	209.82	紫2基础对甲2伤害2基地爆炸1卖塔	19基地爆炸2挖尘3平台49伤害5核6卖塔79基础对甲8加一9序列升级a最后敌人
8	62125 32614	   	209.82	紫2基础对甲2伤害2基地爆炸1卖塔	19基地爆炸2挖尘3平台49伤害5核6卖塔79基础对甲8加一9序列升级a低血量敌人
9	11432 13434	   	208.73	紫2基础对甲2伤害1全技能1暴击1卖塔	19伤害2双倍秒伤3低血量敌人4卖塔5核69敌人爆炸7全技能89基础对甲9序列升级a暴击
10	11432 13436	   	208.73	紫2基础对甲2伤害1全技能1基地爆炸1卖塔	19伤害2双倍秒伤3低血量敌人4卖塔5核69敌人爆炸7全技能89基础对甲9序列升级a基地爆炸
11	51125 35231	 * 	207.38	紫3伤害2易伤2基地爆炸1暴击	1a易伤2低血量敌人3平台49a伤害5核6策反7暴击8a基地爆炸a序列升级
12	61125 13432	   	206.33	紫2基础对甲2基地爆炸1伤害1全技能	19基地爆炸29低血量敌人3平台4伤害5核6敌人爆炸7全技能89基础对甲9序列升级a金币生成
13	61125 13431	   	206.23	紫2基础对甲2基地爆炸1伤害1全技能	19基地爆炸29低血量敌人3平台4伤害5核6敌人爆炸7全技能89基础对甲9序列升级a掉矿
14	61125 13433	   	206.23	紫2基础对甲2基地爆炸1伤害1全技能	19基地爆炸29低血量敌人3平台4伤害5核6敌人爆炸7全技能89基础对甲9序列升级a多重对甲
15	14222 14341	 * 	203.95	橙3伤害1基础对甲2攻速1基地爆炸	128伤害3策反45攻速6额外掉落7基础对甲9基地爆炸a核
16	12456 22312	 * 	202.81	紫3伤害1基础对甲1攻速	19a伤害239低血量敌人4攻速5核6双倍秒伤7基础对甲89最后敌人9序列升级
17	15633 12352	   	199.91	紫1基础对甲1易伤1伤害1基础对冰1全技能	1伤害28技能点3全技能4易伤5核6立即金币7敌人爆炸9基础对甲a基础对冰
18	14216 31633	 * 	199.36	紫3伤害2攻速1基地爆炸1暴击	128伤害38策反4最后敌人5核6时间78攻速8序列升级9暴击a基地爆炸
19	12416 22312	   	197.23	紫2基础对甲3伤害	19a伤害23低血量敌人4技能5核6双倍秒伤79基础对甲89最后敌人9序列升级
20	25116 22612	   	196.64	紫2基础对甲2基地爆炸1伤害	1立即金币29低血量敌人3技能4策反5核6双倍秒伤79基础对甲89基地爆炸9序列升级a伤害
21	11432 13453	   	196.43	紫1基础对甲1攻速1伤害1全技能1基地爆炸1卖塔	1伤害2双倍秒伤3低血量敌人4卖塔5核6敌人爆炸7全技能8基础对甲9基地爆炸a攻速
