0	Index      	 *	Score 	Summary	Detail	
1	23353 16123	 * 	188.72	DCR|3VULN|2DMG|1AART|3DUR	179DUR|2LWND|369VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
2	23351 33111	   	187.20	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	19aDUR|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR
3	33351 33113	   	186.81	DCR|3VULN|2DMG|1AART|1ASPD	19FEWX|2LWND|39aVULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR
4	23353 13123	   	184.90	DCR|3VULN|2DMG|1AART|2DUR	19DUR|27LWND|369VULN|4AART|5RMIN|89DMG|9BPWR|aRCR
5	46313 11132	 * 	184.19	ACR|3VULN|1AART|3CDMG|2ASPD	19aLIT|2aASPD|3RCR|4BELT|5AART|69aVULN|789CDMG|9aBPWR
6	23351 33113	   	183.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2LWND|39VULN|4AART|5aLIT|6ASPD|7RCR|89DMG|9BPWR
7	23351 33114	   	183.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aBEXP
8	23351 33115	   	183.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aFEWX
9	23351 33112	   	183.28	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aDUST
10	31632 11224	 * 	182.41	DCR|4VULN|3ZMB|1AART	19aFEWX|2BEXP|39aZMB|4AART|5MBVNT|679aVULN|8RCR|9aBPWR
11	42332 23216	 * 	182.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	19LIT|2BEXP|39DUR|4DMG|5ZMB|6AART|7RCR|89VULN|9BPWR|aCDMG
12	43334 33226	 * 	178.48	DCR|3DMG|1VULN|3DUR|1CDMG|1ZMB	1LIT|235DUR|457DMG|5BPWR|6RCR|8VULN|9CDMG|aZMB
13	34332 23352	 * 	178.29	ACR|2VULN|2DMG|1AART|2ZMB	129FEWX|3aVULN|4RCR|5LIT|6AART|7aZMB|8aDMG|aBPWR
14	42351 23216	   	178.25	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	19LIT|2BEXP|39DUR|4ASPD|5DMG|6AART|7RCR|89VULN|9BPWR|aCDMG
15	43334 33622	 * 	178.23	DCR|3DMG|1AART|1VULN|3DUR	1LIT|235DUR|457DMG|5BPWR|6RCR|8AART|9VULN|aLWND
16	43334 33633	   	178.23	DCR|3DMG|1AART|1VULN|3DUR	1LIT|235DUR|457DMG|5BPWR|6RCR|8AART|9BELT|aVULN
17	43334 33621	   	178.13	DCR|3DMG|1AART|1VULN|3DUR	1LIT|235DUR|457DMG|5BPWR|6RCR|8AART|9VULN|aERES
18	43334 33623	   	178.13	DCR|3DMG|1AART|1VULN|3DUR	1LIT|235DUR|457DMG|5BPWR|6RCR|8AART|9VULN|aTLV
19	33351 33111	   	178.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19FEWX|2LWND|39VULN|4AART|5LIT|6ASPD|7RCR|89DMG|9BPWR|aDUR
20	46313 11134	   	177.38	ACR|3VULN|1AART|3CDMG|1ASPD	19LIT|2ASPD|3RCR|4BELT|5AART|69aVULN|789CDMG|9BPWR
21	46313 11531	   	177.38	ACR|3VULN|1AART|3CDMG|1ASPD	19LIT|2ASPD|3RCR|4BELT|5AART|689VULN|79aCDMG|9BPWR
22	25211 23211	 * 	176.33	DCR|2VULN|1AART|1DMG|3DUR|2ZMB	19aDUR|2LIT|39ZMB|4FEWX|5DMG|6AART|7RCR|89VULN|9BPWR
23	31632 11227	 * 	174.64	DCR|3VULN|1AART|1DMG|2ZMB	19FEWX|2BEXP|39ZMB|4AART|5MBVNT|679VULN|8RCR|9BPWR|aDMG
24	61632 11227	   	174.44	DCR|3VULN|1AART|1DMG|2ZMB	19DUST|2BEXP|39ZMB|4AART|5MBVNT|679VULN|8RCR|9BPWR|aDMG
25	34336 21362	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	12FEWX|39VULN|4RCR|5DUST|6CDMG|78DMG|aAART
26	26121 33151	 * 	174.19	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD|1SELL	1aDUR|2SELL|38aVULN|4CDMG|5ASPD|6RCR|7aMGNSTR|9AART|aBPWR
27	26121 32251	 * 	173.99	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD|1SELL	1aDUR|2SELL|37aVULN|4CDMG|5ASPD|6RCR|8aLSRHEA|9AART|aBPWR
