0	Index      	 *	Score 	Summary	Detail	
1	51351 31361	 * 	213.01	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD|1DUR	1RCR|2ASPD|358DMG|4CDMG|6aVULN|7AART|9DUR
2	15624 21222	 * 	207.62	ACR|4VULN|2DMG|1AART|2DUR	1568VULN|2RCR|39DUR|47DMG|aAART
3	51352 12151	 * 	206.75	ACR|3DMG|2VULN|3CDMG|3ASPD	1RCR|28aASPD|368DMG|468CDMG|5RMIN|68aBPWR|7BELT|9aVULN
4	51351 31311	   	206.08	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6aVULN|7AART|9BEXP
5	51351 31331	   	206.08	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6aVULN|7AART|9FEWX
6	51351 31341	   	206.08	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6aVULN|7AART|9LWND
7	51351 31321	   	205.98	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6aVULN|7AART|9DUST
8	15625 22111	   	204.38	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	189VULN|2RCR|3DUR|49DMG|5MBVNT|6AART|79FEWX|9BPWR|aCDMG
9	15625 23111	   	204.38	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	189VULN|2RCR|3DUR|49DMG|5MBVNT|6AART|79BEXP|9BPWR|aCDMG
10	15625 24311	 * 	203.58	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	19VULN|2RCR|3DUR|49DMG|5MBVNT|6AART|7RMIN|89ZMB|9BPWR|aCDMG
11	15521 11216	 * 	202.45	ACR|2VULN|2DMG|1AART|2FLTHEA|1CDMG	1aVULN|2RCR|3LWND|4aDMG|5AART|6LIT|7DMSP|8CDMG|9aFLTHEA|aBPWR
12	15521 13216	   	202.45	ACR|2VULN|2DMG|1AART|2FLTHEA|1CDMG	1aVULN|2RCR|3LWND|4aDMG|5AART|6LIT|7CDMG|8DMSP|9aFLTHEA|aBPWR
13	15622 32612	 * 	201.09	ACR|3VULN|3DMG|3DUR|1ZMB	189VULN|2RCR|389DUR|468DMG|5RMIN|7BELT|89BPWR|aZMB
14	15153 31325	 * 	199.56	ACR|4VULN|1AART|1DMG|2CDMG	136aVULN|2RCR|3BPWR|49CDMG|5FEWX|7AART|8DMG
15	51351 31315	   	199.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6VULN|7AART|9BEXP|aZMB
16	51351 31335	   	199.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6VULN|7AART|9FEWX|aZMB
17	51351 31352	   	199.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6VULN|7AART|9CGEN|aZMB
18	51351 31325	   	199.39	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|358DMG|4CDMG|6VULN|7AART|9DUST|aZMB
