0	Index      	 *	Score 	Summary	Detail	
1	31133 13245	 * 	201.52	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	18aZMB|2CDMG|38aVULN|4FEWX|5DMG|68aBEXP|7RCR|8aBPWR|9AART
2	11631 36315	 * 	199.34	ACR|3VULN|3DMG|1AART	1RCR|278ERES|3RPLT|4MLV|578VULN|678DMG|78BPWR|9NUKE|aAART
3	11211 54611	 * 	196.34	ACR|2VULN|2DMG|3CDMG|1AART	1RCR|27ERES|357CDMG|47VULN|6AART|7BPWR|8aDMG|9DUST
4	11211 54621	   	196.34	ACR|2DMG|2VULN|3CDMG|1AART	1RCR|27ERES|357CDMG|47VULN|6AART|7BPWR|8aDMG|9LEGI
5	12211 54611	   	196.34	ACR|2VULN|2DMG|3CDMG|1AART	1RCR|27TLV|357CDMG|47VULN|6AART|7BPWR|8aDMG|9DUST
6	12211 54621	   	196.34	ACR|2VULN|2DMG|3CDMG|1AART	1RCR|27TLV|357CDMG|47VULN|6AART|7BPWR|8aDMG|9LEGI
7	16211 62224	 * 	194.75	ACR|4VULN|2DMG|2CDMG	1RCR|2aMLV|35CDMG|469aVULN|7RMIN|8aDMG|aBPWR
8	16211 54231	 * 	194.70	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|27MLV|357CDMG|47aVULN|6AART|7BPWR|8LIT|9DMG
9	11211 62224	   	194.55	ACR|4VULN|2DMG|2CDMG	1RCR|2aERES|35CDMG|469aVULN|7RMIN|8aDMG|aBPWR
10	12211 62224	   	194.55	ACR|4VULN|2DMG|2CDMG	1RCR|2aTLV|35CDMG|469aVULN|7RMIN|8aDMG|aBPWR
11	11211 54231	   	194.50	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|27ERES|357CDMG|47aVULN|6AART|7BPWR|8LIT|9DMG
12	11211 54531	   	194.50	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|27ERES|357CDMG|479VULN|6AART|7BPWR|8RCVC|aDMG
13	12211 54231	   	194.50	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|27TLV|357CDMG|47aVULN|6AART|7BPWR|8LIT|9DMG
14	12211 54531	   	194.50	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|27TLV|357CDMG|479VULN|6AART|7BPWR|8RCVC|aDMG
15	11631 36351	   	194.18	ACR|3VULN|3DMG|1ZMB|1DUR	1RCR|278ERES|3RPLT|4MLV|578VULN|678DMG|78BPWR|9ZMB|aDUR
16	11631 36353	   	194.18	ACR|3VULN|3DMG|1ZMB|1ASPD	1RCR|278ERES|3RPLT|4MLV|578VULN|678DMG|78BPWR|9ZMB|aASPD
17	11631 36233	 * 	193.73	ACR|2VULN|2DMG|2AART|1CDMG	1RCR|27ERES|3RPLT|4MLV|57VULN|67DMG|7BPWR|8CDMG|9aAART
18	31122 51265	 * 	193.66	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|1ASPD	1aZMB|2CDMG|3aVULN|4RMIN|5ASPD|6AART|7LWND|8aDMG|9RCR|aBPWR
19	16211 64331	   	192.70	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|2MLV|357CDMG|468VULN|9AART|aDMG
20	13351 36412	   	192.63	ACR|3DMG|2VULN|1AART|1DUR	1RCR|2aLHND|36aDMG|4LWND|5DUR|7AART|8aVULN|9RMIN|aBPWR
21	11211 64331	   	192.60	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|2ERES|357CDMG|468VULN|9AART|aDMG
22	12211 64331	   	192.60	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|2TLV|357CDMG|468VULN|9AART|aDMG
23	14253 42233	   	192.51	ACR|2VULN|2DMG|2AART|2DUR	1RCR|2RCVC|37VULN|4CGEN|57DMG|67DUR|7BPWR|8FEWX|9aAART
24	14213 46231	 * 	192.39	ACR|3VULN|3DMG|3DUR	1RCR|24RCVC|38aVULN|5DUST|68aDUR|78aDMG|8aBPWR|9LEGI
25	13351 33312	   	192.03	ACR|3DMG|2VULN|1AART|1DUR	1RCR|2aLHND|36aDMG|4LWND|5DUR|7aVULN|8AART|9RMIN|aBPWR
26	14223 56211	 * 	190.54	ACR|4VULN|3DMG	1RCR|2RCVC|368aVULN|4LEGI|58LHND|78aDMG|8aBPWR|9aBEXP
27	11631 36325	   	190.34	ACR|4VULN|3DMG	1RCR|278ERES|3RPLT|4MLV|578aVULN|678DMG|78BPWR|9LWND
28	11631 36336	   	190.24	ACR|4VULN|3DMG	1RCR|278ERES|3RPLT|4MLV|578aVULN|678DMG|78BPWR|9MBVNT
29	16211 54233	   	190.05	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1RCR|27MLV|357CDMG|47VULN|6AART|7BPWR|8LIT|9DMG|aZMB
30	16213 22524	 * 	189.99	ACR|3VULN|3DMG|1CDMG	1RCR|2aMLV|3CDMG|49aVULN|58aDMG|6DMSP|7RMIN|aBPWR
31	16213 32524	   	189.99	ACR|3VULN|3DMG|1CDMG	1RCR|2aMLV|3CDMG|49aVULN|58aDMG|6RCVC|7RMIN|aBPWR
32	11211 54233	   	189.85	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1RCR|27ERES|357CDMG|47VULN|6AART|7BPWR|8LIT|9DMG|aZMB
33	12211 54233	   	189.85	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1RCR|27TLV|357CDMG|47VULN|6AART|7BPWR|8LIT|9DMG|aZMB
34	11213 22524	   	189.79	ACR|3VULN|3DMG|1CDMG	1RCR|2aERES|3CDMG|49aVULN|58aDMG|6DMSP|7RMIN|aBPWR
35	11213 32524	   	189.79	ACR|3VULN|3DMG|1CDMG	1RCR|2aERES|3CDMG|49aVULN|58aDMG|6RCVC|7RMIN|aBPWR
36	11631 36341	   	189.79	ACR|3VULN|3DMG|1CDMG	1RCR|278ERES|3RPLT|4MLV|578VULN|678DMG|78BPWR|9VENICY|aCDMG
37	12212 54631	   	189.75	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1RCR|257TLV|378CDMG|47VULN|6AART|7BPWR|9ZMB|aDMG
38	31133 13241	   	189.72	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2CDMG|38VULN|4FEWX|5aDMG|68BEXP|7RCR|8BPWR|9AART
39	31155 13241	   	189.72	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2CDMG|38VULN|4aDMG|5FEWX|68BEXP|7RCR|8BPWR|9AART
40	12611 35631	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2TLV|3RPLT|469VULN|5AART|7DUR|8CDMG|aDMG
41	12434 32612	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	1RCR|2TLV|3LIT|46VULN|59AART|7aDMG|8DUR
