0	Index      	 *	Score 	Summary	Detail	
1	32221 55611	 * 	197.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1BELT|2ZMB|3AART|48DMG|5aVULN|6RCR|79CDMG
2	32221 64533	 * 	195.81	DCR|5VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4DMG|5678aVULN|9RCR
3	32261 14235	 * 	193.98	DCR|3VULN|2AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|34AART|5CDMG|678VULN|9RCR|aDMG
4	32221 66611	 * 	193.65	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	1BELT|2ZMB|3AART|4DMG|56aVULN|7RCR|89CDMG
5	21412 42122	 * 	191.92	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|2BEXP|37RPLT|4RCR|5AART|68aDMG|9aVULN|aBPWR
6	21412 45122	   	191.92	ACR|3DMG|2VULN|1AART|2DUR	1aDUR|27BEXP|3RPLT|4RCR|5AART|68aDMG|9aVULN|aBPWR
7	31221 64533	   	191.75	DCR|5VULN|1AART|1DMG|1ASPD	1BELT|2ASPD|3AART|4DMG|5678aVULN|9RCR
8	32221 55135	   	191.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BELT|2ZMB|3AART|4aDMG|59VULN|6RCR|7CDMG|8RMIN
9	32221 55341	   	191.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BELT|2ZMB|3AART|49DMG|5aVULN|6RCR|7CDMG|8RCVC
10	31261 14235	   	189.92	DCR|3VULN|2AART|1DMG|1CDMG|1ASPD	1BELT|2ASPD|34AART|5CDMG|678VULN|9RCR|aDMG
11	32221 55134	   	189.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3AART|4DMG|59aVULN|6RCR|7CDMG|8RMIN
12	31221 66611	   	189.58	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	1BELT|2ASPD|3AART|4DMG|56aVULN|7RCR|89CDMG
13	31221 63243	 * 	189.19	DCR|3VULN|1AART|1DMG|2CDMG|2ASPD	1BELT|28ASPD|3AART|4DMG|568VULN|78CDMG|8BPWR|9MLV|aRCR
14	31221 63213	   	189.09	DCR|3VULN|1AART|1DMG|2CDMG|2ASPD	1BELT|28ASPD|3AART|4DMG|568VULN|78CDMG|8BPWR|9TLV|aRCR
15	31221 63223	   	189.09	DCR|3VULN|1AART|1DMG|2CDMG|2ASPD	1BELT|28ASPD|3AART|4DMG|568VULN|78CDMG|8BPWR|9ERES|aRCR
16	13242 31126	 * 	189.07	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	12ERES|34VULN|5aDMG|6RCR|7AART|8ZMB|9FLTHEA
17	36214 22163	 * 	188.30	ACR|3DMG|2VULN|2CDMG|2ZMB	1BELT|27CDMG|3LIT|4RCR|578DMG|67ZMB|7BPWR|9aVULN
18	32221 32223	 * 	188.28	DCR|2VULN|3ZMB|1AART|1DMG|2CDMG	1BELT|278ZMB|3AART|4DMG|58VULN|68CDMG|8BPWR|9TLV|aRCR
19	32221 55613	   	187.33	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1BELT|2ZMB|3AART|48DMG|5VULN|6RCR|79CDMG|aDUR
20	14352 31126	 * 	187.23	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB	1ERES|25aDMG|3DMSP|4VULN|6RCR|7AART|8ZMB|9FLTHEA
21	13222 31126	   	187.13	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB	12ERES|3VULN|45aDMG|6RCR|7AART|8ZMB|9FLTHEA
22	22151 61631	 * 	186.81	DCR|2AART|2VULN|2DMG|3DUR	12aDUR|3DUST|46AART|5aVULN|7RMIN|8aDMG|9RCR|aBPWR
23	31221 61533	 * 	185.53	DCR|4VULN|1AART|1DMG|2ASPD	1BELT|27ASPD|3AART|4DMG|568aVULN|9RCR
24	34123 36342	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	1BELT|2AART|3LEGI|4aCDMG|5aVULN|6LIT|7RCR|8BEXP|9aDMG|aBPWR
25	32221 66613	   	184.93	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1BELT|2ZMB|3AART|4DMG|56VULN|7RCR|89CDMG|aDUR
26	32225 21163	 * 	184.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1BELT|28ZMB|3AART|48DMG|58CDMG|6RCR|7RPLT|8BPWR|9LHND|aVULN
27	32225 21131	 * 	184.15	DCR|2DMG|3ZMB|1AART|3CDMG	1BELT|28aZMB|3AART|48DMG|58aCDMG|6RCR|7RPLT|8aBPWR|9aCGEN
28	31225 21163	 * 	183.14	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	1BELT|28ASPD|3AART|48DMG|58CDMG|6RCR|7RPLT|8BPWR|9LHND|aVULN
29	16663 33233	 * 	183.01	DCR|3VULN|2DMG|1AART|1DUR	17ERES|2AART|3RCVC|457VULN|67DMG|7BPWR|8LHND|9RCR|aDUR
30	16663 33333	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	17ERES|2AART|3RCVC|457VULN|67DMG|7BPWR|8LWND|9RCR|aDUR
31	32221 63533	   	182.98	DCR|4VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4DMG|568aVULN|7RCVC|9RCR
32	32221 64531	   	182.98	DCR|4VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4DMG|5678VULN|9RCR|aCGEN
33	32221 64532	   	182.88	DCR|4VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4DMG|5678VULN|9RCR|aDUST
34	32225 13616	 * 	182.60	DCR|3AART|2DMG|1VULN|1CDMG|1ZMB	1BELT|2ZMB|367AART|4aDMG|5CDMG|8VULN|9RCR
35	31225 46133	 * 	182.48	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	1BELT|2ASPD|3AART|467DMG|56CDMG|6BPWR|8RMIN|9VULN|aRCR
36	14352 31153	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|25DMG|3DMSP|49VULN|6RCR|7AART|8ZMB|aDUR
37	31221 61534	   	182.43	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	1BELT|27ASPD|3AART|4DMG|568VULN|9RCR|aZMB
38	13222 31153	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12ERES|39VULN|45DMG|6RCR|7AART|8ZMB|aDUR
39	13222 31154	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	12ERES|39VULN|45DMG|6RCR|7AART|8ZMB|aASPD
40	13242 31165	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12ERES|34VULN|5aDMG|6RCR|7AART|8ZMB|9DUR
41	31221 53322	   	181.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BELT|2ASPD|3AART|4DMG|58VULN|6RCR|7CGEN|9ZMB|aCDMG
42	31225 22636	   	181.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1BELT|2ASPD|3AART|4aDMG|5CDMG|6RCR|7ZMB|8LWND|9VULN
43	32221 55343	   	181.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1BELT|2ZMB|3AART|49DMG|5VULN|6RCR|7CDMG|8RCVC|aDUR
44	31221 51322	   	180.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BELT|2ASPD|3AART|4DMG|58VULN|6RCR|7ERES|9ZMB|aCDMG
45	32225 23634	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1BELT|2ZMB|3AART|48DMG|5CDMG|6RCR|7LEGI|9VULN|aDUR
46	31221 66613	   	180.87	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1BELT|2ASPD|3AART|4DMG|56VULN|7RCR|89CDMG|aDUR
47	32261 14232	   	180.86	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	1BELT|2ZMB|34AART|5CDMG|678VULN|9RCR|aDUR
48	36214 22112	 * 	180.79	ACR|3DMG|1AART|2CDMG|2ZMB|1ASPD	1BELT|27CDMG|3LIT|4RCR|578DMG|67ZMB|7BPWR|9ASPD|aAART
49	13222 31165	   	180.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	12ERES|3VULN|45aDMG|6RCR|7AART|8ZMB|9DUR
50	13242 31153	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12ERES|349VULN|5DMG|6RCR|7AART|8ZMB|aDUR
51	13242 31154	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	12ERES|349VULN|5DMG|6RCR|7AART|8ZMB|aASPD
52	32221 55311	   	180.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1BELT|2ZMB|3AART|4DMG|5aVULN|6RCR|79CDMG|8RCVC
53	32221 55612	   	180.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1BELT|2ZMB|3AART|48DMG|5VULN|6RCR|79CDMG|aBEXP
54	32223 54611	   	180.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1BELT|2ZMB|3AART|4DMG|5RCVC|6RCR|7aVULN|89CDMG
55	32225 26611	   	180.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1BELT|2ZMB|3AART|48DMG|59CDMG|6RCR|7LWND|aVULN
56	32225 23611	   	180.29	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1BELT|2ZMB|3AART|48DMG|59CDMG|6RCR|7LEGI|aVULN
57	32261 14231	 * 	180.23	DCR|3VULN|2AART|2CDMG|1ZMB	1BELT|2ZMB|34AART|5aCDMG|678VULN|9RCR
58	13222 31623	 * 	180.17	DCR|3DMG|2VULN|1AART	128ERES|3aVULN|45aDMG|6RCR|7AART|9aLHND|aBPWR
59	13242 31623	   	180.17	DCR|3VULN|2DMG|1AART	128ERES|34aVULN|5aDMG|6RCR|7AART|9aLHND|aBPWR
60	13622 31643	   	180.17	DCR|3DMG|2VULN|1AART	128ERES|3aLHND|45aDMG|6RCR|7AART|9aVULN|aBPWR
61	21412 42622	 * 	180.08	ACR|2VULN|2DMG|1AART|3DUR	18aDUR|2BEXP|37RPLT|4RCR|5AART|6aDMG|9aVULN|aBPWR
62	13222 31644	   	179.97	DCR|3DMG|2VULN|1AART	128ERES|39VULN|45aDMG|6RCR|7AART
63	53412 42122	   	179.69	ACR|3DMG|2VULN|1AART	1aBEXP|2FEWX|37RPLT|4RCR|5AART|68aDMG|9aVULN|aBPWR
64	36214 22521	 * 	179.46	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	1BELT|27CDMG|3LIT|4RCR|57DMG|67ZMB|7BPWR|8AART|9LHND|aVULN
65	31221 64531	   	178.92	DCR|4VULN|1AART|1DMG|1ASPD	1BELT|2ASPD|3AART|4DMG|5678VULN|9RCR|aCGEN
66	31221 62533	   	178.92	DCR|4VULN|1AART|1DMG|1ASPD	1BELT|2ASPD|3AART|4DMG|568aVULN|7RCVC|9RCR
67	31221 64532	   	178.82	DCR|4VULN|1AART|1DMG|1ASPD	1BELT|2ASPD|3AART|4DMG|5678VULN|9RCR|aDUST
