0	Index      	 *	Score 	Summary	Detail	
1	15384 83342	 * 	193.07	DCR|4VULN|2DMG|1AART	1LIT|2MBVNT|345aVULN|6RCR|78DMG|9AART
2	23135 52214	 * 	192.52	DCR|2VULN|2DMG|1AART|3CDMG	1aVULN|2BEXP|37aCDMG|4AART|5CGEN|6RCR|8TLV|9aDMG|aBPWR
3	23113 52214	   	191.92	DCR|2VULN|2DMG|1AART|3CDMG	1aVULN|2BEXP|37aCDMG|4CGEN|5AART|6RCR|8TLV|9aDMG|aBPWR
4	21113 52214	   	191.82	DCR|2VULN|2DMG|1AART|3CDMG	1aVULN|2DUST|37aCDMG|4CGEN|5AART|6RCR|8TLV|9aDMG|aBPWR
5	14235 21633	 * 	189.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|259VULN|3AART|4ERES|6RCR|7ZMB|8CDMG|aDMG
6	14236 21633	   	189.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|259VULN|3AART|45ERES|5BPWR|6RCR|7ZMB|8CDMG|aDMG
7	24351 13112	 * 	186.03	ACR|3VULN|2DMG|2AART	127VULN|3LHND|47DMG|5RCR|678DUST|7BPWR|9aAART
8	15384 83343	   	185.91	DCR|3VULN|2DMG|1AART|1DUR	1LIT|2MBVNT|345VULN|6RCR|78DMG|9AART|aDUR
9	24351 33224	 * 	185.77	ACR|4VULN|2DMG|1CDMG|1DUR	127aVULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CDMG
10	15384 83322	 * 	184.92	DCR|4VULN|3DMG	1LIT|2MBVNT|345aVULN|6RCR|789DMG
11	22664 26143	 * 	183.16	DCR|2VULN|2DMG|1AART|2ASPD|1DUR|1SELL	19VULN|29ASPD|3LHND|4MBVNT|5DUR|6RCR|79DMG|8SELL|9BPWR|aAART
12	24351 33223	   	182.68	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	127VULN|3LHND|47DMG|5RCR|67BEXP|7BPWR|8DUR|9CDMG|aZMB
13	14222 21161	 * 	182.43	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	1LIT|278VULN|3AART|46ASPD|5ZMB|9RCR|aDMG
