0	Index      	 *	Score 	Summary	Detail	
1	63411 22423	 * 	211.57	ACR|3VULN|2DMG|3ZMB|1AART	19aZMB|2RCR|3aDMG|469ERES|5RMIN|7AART|89aVULN|9aBPWR
2	63132 15454	 * 	206.03	ACR|3VULN|2AART|3ZMB|3ASPD	19aZMB|2RCR|3RPLT|49aVULN|5MBVNT|68AART|79aASPD|9aBPWR
3	22631 25316	 * 	202.13	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1459VULN|2AART|35MLV|5BPWR|6CDMG|7RCR|8ZMB|aDMG
4	32335 32116	 * 	195.50	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1SELL|2ASPD|3RCR|4789VULN|5ZMB|6AART|aDMG
5	63132 16428	 * 	194.79	ACR|3DMG|3ZMB|1AART|1VULN	19aZMB|2RCR|3RPLT|4VULN|5MBVNT|6AART|79aLIT|89aDMG|9aBPWR
6	32335 32442	 * 	194.78	ACR|2VULN|2DMG|2AART|1ZMB|1ASPD|1SELL	1SELL|2ASPD|3RCR|47VULN|5ZMB|6aAART|89DMG
7	22252 33361	 * 	193.37	DCR|4VULN|2AART|2CDMG|1DUR	1479VULN|2aAART|34CDMG|4BPWR|5LWND|6DUR|8RCR
8	22631 23226	 * 	192.84	DCR|4VULN|1AART|1DMG|2CDMG	1458VULN|2AART|35MLV|58BPWR|68CDMG|78CGEN|9RCR|aDMG
9	22253 23226	   	192.84	DCR|4VULN|1AART|1DMG|2CDMG	1478VULN|2AART|34CDMG|48BPWR|58MLV|68CGEN|9RCR|aDMG
10	22226 13626	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1456VULN|2AART|35CDMG|5BPWR|7ERES|8RMIN|9RCR|aDMG
11	22226 21226	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1457VULN|2AART|35CDMG|5BPWR|6DMSP|8LEGI|9RCR|aDMG
12	22226 21326	   	192.54	DCR|4VULN|1AART|2CDMG|1DMG	1457VULN|2AART|35CDMG|5BPWR|6DMSP|8DUST|9RCR|aDMG
13	22226 63421	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1458VULN|2AART|35CDMG|5BPWR|6BASHEA|7DMG|9RCR|aFEWX
14	22226 63422	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1458VULN|2AART|35CDMG|5BPWR|6BASHEA|7DMG|9RCR|aCGEN
15	22251 11226	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1467VULN|2AART|34CDMG|4BPWR|5RCVC|8LEGI|9RCR|aDMG
16	22251 11326	   	192.54	DCR|4VULN|1AART|1DMG|2CDMG	1467VULN|2AART|34CDMG|4BPWR|5RCVC|8DUST|9RCR|aDMG
17	22226 63423	   	192.30	DCR|4VULN|1AART|1DMG|2CDMG|1SELL	1458VULN|2AART|35CDMG|5BPWR|6BASHEA|7DMG|9RCR|aSELL
18	22253 14421	 * 	191.92	DCR|2AART|2VULN|2DMG|2CDMG	14VULN|2aAART|34CDMG|4BPWR|5MLV|6BEXP|78DMG|9RCR
19	22253 34421	   	191.92	DCR|2AART|2VULN|2DMG|2CDMG	14VULN|2aAART|34CDMG|4BPWR|5MLV|6FEWX|78DMG|9RCR
