0	Index      	 *	Score 	Summary	Detail	
1	31212 45353	 * 	205.69	ACR|3DMG|2VULN|1AART|2ASPD|1CDMG	1aVULN|2LIT|35aDMG|4RCR|6CDMG|7AART|8FEWX|9aASPD|aBPWR
2	31212 42353	   	205.09	ACR|3DMG|2VULN|1AART|1CDMG|2ASPD	1aVULN|2LIT|35aDMG|4RCR|6CDMG|7LHND|8AART|9aASPD|aBPWR
3	32314 63633	 * 	199.48	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	125VULN|2BPWR|3aDMG|4RCR|6AART|7CDMG|8DUR|9RPLT
4	32314 62121	 * 	199.08	ACR|4VULN|2AART|1DMG|2DUR	125aVULN|2aBPWR|3DMG|4RCR|68AART|7aERES|9aDUR
5	36314 62121	   	199.08	ACR|4VULN|2AART|1DMG|2DUR	125aVULN|3DMG|4RCR|68AART|7aERES|9aDUR|aBPWR
6	32314 22526	 * 	198.73	ACR|4VULN|2DMG|1AART|1DUR	1257VULN|2BPWR|3aDMG|4RCR|6LHND|8AART|9DUR
7	32314 42326	   	198.73	ACR|4VULN|2DMG|1AART|1DUR	1257VULN|2BPWR|3aDMG|4RCR|6FEWX|8AART|9DUR
8	31621 43163	   	197.28	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	13aVULN|2LIT|4aLHND|5RCR|6AART|7ASPD|8CDMG|9aDMG|aBPWR
9	32421 43163	   	197.28	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	12aVULN|2aBPWR|3LIT|4aLHND|5RCR|6AART|7ASPD|8CDMG|9aDMG
10	32261 43163	   	197.18	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	12aVULN|2aBPWR|3DUST|4aLIT|5RCR|6AART|7ASPD|8CDMG|9aDMG
11	33361 43163	   	197.18	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	13aVULN|2DUST|4aLIT|5RCR|6AART|7ASPD|8CDMG|9aDMG|aBPWR
12	34612 13413	 * 	196.64	ACR|3VULN|3DMG|3CDMG	178VULN|2RMIN|3LIT|4RCR|578DMG|678CDMG|78BPWR|9LWND|aRCVC
13	32314 63621	   	195.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	125aVULN|2BPWR|3DMG|4RCR|6AART|7CDMG|8DUR|9LIT
14	32663 31421	 * 	195.97	DCR|4VULN|2DMG|1AART	123aVULN|2aBPWR|4LHND|5RCVC|6RCR|7aDMG|8aTLV|9AART
15	32314 13526	   	195.63	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	125VULN|2BPWR|3aDMG|4RCR|6MLV|7ZMB|8AART|9DUR
16	34612 13411	   	195.24	ACR|3VULN|3DMG|3CDMG	178VULN|2RMIN|3LIT|4RCR|578DMG|678CDMG|78BPWR|9LWND|aDUST
17	34612 13422	   	195.14	ACR|3VULN|3DMG|3CDMG	178VULN|2RMIN|3LIT|4RCR|578DMG|678CDMG|78BPWR|9aDUST
18	34612 13423	   	195.14	ACR|3VULN|3DMG|3CDMG	178VULN|2RMIN|3LIT|4RCR|578DMG|678CDMG|78BPWR|9DUST|aERES
19	32642 31321	   	195.00	DCR|3VULN|2DMG|1AART|2DUR	123VULN|2BPWR|4RCVC|59DUR|6RCR|7aDMG|8AART
20	36642 31321	   	195.00	DCR|3VULN|2DMG|1AART|2DUR	123VULN|4RCVC|59DUR|6RCR|7aDMG|8AART
21	34612 13223	 * 	194.87	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	17VULN|2RMIN|3LIT|4RCR|57DMG|67CDMG|7BPWR|8ASPD|9DUR|aAART
22	32314 22524	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1257VULN|2BPWR|3DMG|4RCR|6LHND|8AART|9DUR|aCDMG
