0	Index      	 *	Score 	Summary	Detail	
1	36323 33222	 * 	212.37	DCR|2AART|2DMG|2VULN|2CDMG|1ZMB|1DUR	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aDUR
2	32622 86321	 * 	206.88	ACR|3DMG|2VULN|3ZMB|1AART	17aDMG|2RCVC|3MBVNT|478ZMB|5RCR|67VULN|7BPWR|9AART
3	36323 33221	   	205.43	DCR|2AART|2DMG|2VULN|2CDMG|1ZMB	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aLIT
4	36323 33224	   	205.43	DCR|2AART|2DMG|2VULN|2CDMG|1ZMB	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aLHND
5	36323 33223	   	205.33	DCR|2AART|2DMG|2VULN|2CDMG|1ZMB	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aDUST
6	36323 33226	   	205.33	DCR|2AART|2VULN|2DMG|2CDMG|1ZMB	17DMG|29AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|aVENICY
7	33531 55332	 * 	201.55	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	158DMG|2RPLT|3AART|4CGEN|68VULN|78DUR|8BPWR|9RCR|aCDMG
8	36323 33212	   	200.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LWND|aDUR
9	36323 33232	   	200.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9BEXP|aDUR
10	36323 33242	   	200.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aASPD
11	36323 33262	   	200.92	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LHND|aDUR
12	36323 33215	 * 	200.02	DCR|2VULN|2DMG|1AART|3CDMG|1ZMB	17DMG|2AART|37aCDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LWND
13	36323 33235	   	200.02	DCR|2VULN|2DMG|1AART|3CDMG|1ZMB	17DMG|2AART|37aCDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9BEXP
14	36323 33265	   	200.02	DCR|2VULN|2DMG|1AART|3CDMG|1ZMB	17DMG|2AART|37aCDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LHND
15	35123 56234	 * 	198.77	DCR|3DMG|2VULN|2AART|2ZMB	127DMG|37VULN|47ZMB|5MBVNT|6LEGI|7BPWR|8aAART|9RCR
16	36323 33532	   	198.52	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNLIT|9RCR|aASPD
17	36323 33632	   	198.52	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8MGNSTR|9RCR|aASPD
18	36332 63622	   	195.71	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA|1ASPD	1DMG|29AART|3CDMG|48VULN|5FEWX|6RCR|7FLTHEA|aASPD
19	35632 33345	   	195.30	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	126DMG|3MBVNT|46ASPD|5RCR|6BPWR|7ZMB|8CDMG|9AART|aVULN
20	35622 33313	 * 	194.93	ACR|3VULN|3DMG|3ZMB	126DMG|3MBVNT|467ZMB|5RCR|6BPWR|89aVULN
21	36331 33144	 * 	194.22	DCR|3DMG|1AART|3CDMG|1VULN|1DUR	179DMG|2AART|379CDMG|4VULN|5CGEN|679MLV|79BPWR|8RCR|aDUR
22	36323 33211	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LWND|aRMIN
23	36323 33214	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4aCGEN|5ZMB|67VULN|7BPWR|8RCR|9LWND
24	36323 33231	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9BEXP|aRMIN
25	36323 33234	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4aCGEN|5ZMB|67VULN|7BPWR|8RCR|9BEXP
26	36323 33241	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|37CDMG|4CGEN|5ZMB|67VULN|7BPWR|8RCR|9LSRICY|aBEXP
