0	Index      	 *	Score 	Summary	Detail	
1	21215 21153	 * 	199.50	DCR|5VULN|2DMG|1AART	1LWND|2456aVULN|36DMG|6BPWR|7RCVC|8AART|9RCR
2	15361 33114	 * 	196.22	DCR|3DMG|2VULN|1AART|1CDMG	1DUST|24aDMG|3AART|5CDMG|6RCR|78VULN|9LIT
3	15361 33115	 * 	196.22	DCR|3VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78aVULN|9LIT
4	15361 33224	   	196.22	DCR|3DMG|2VULN|1AART|1CDMG	1DUST|24aDMG|3AART|5CDMG|6RCR|79VULN|8LIT
5	15361 33225	   	196.22	DCR|3VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|79aVULN|8LIT
6	15361 33135	   	191.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aZMB
7	15361 33234	   	189.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|24aDMG|3AART|5CDMG|6RCR|7VULN|8LIT|9ZMB
8	25123 32563	   	189.57	DCR|3VULN|2DMG|1AART|1ZMB	18LWND|28DMG|3RCVC|4ZMB|5ERES|6RCR|789VULN|8BPWR|aAART
9	25122 32661	   	187.51	DCR|4VULN|2DMG|1ZMB|1ASPD	1aLWND|2aDMG|3RCVC|4ZMB|5ASPD|6RCR|789aVULN|aBPWR
10	25222 32661	   	187.51	DCR|4VULN|2DMG|1ZMB|1ASPD	13aLWND|2aDMG|4ZMB|5ASPD|6RCR|789aVULN|aBPWR
11	15361 33431	   	187.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|79VULN|8BEXP|aDUR
12	15361 36131	   	187.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7FEWX|89VULN|aDUR
13	45361 31131	   	187.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aDUR
14	15361 31131	   	187.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aDUR
15	15361 33151	   	187.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9MBVNT|aDUR
16	15361 33621	 * 	187.23	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1DUST|24DMG|3AART|5aCDMG|6RCR|7VULN|8DUR|9ZMB
17	52212 24533	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	148VULN|2LHND|38DMG|58TLV|6RMIN|7RCR|8BPWR|9ZMB|aAART
18	15331 33514	 * 	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|2aDMG|3AART|4RCVC|58CDMG|6RCR|78VULN|8BPWR|9LIT
19	15361 33511	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9aLIT
20	15361 33513	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9LIT|aCGEN
21	15361 33521	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9RMIN|aLWND
22	15361 33523	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9aRMIN
23	15361 33531	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9RCVC|aMGNSTR
24	15361 33532	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9RCVC|aMLV
25	15361 33533	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9RCVC|aBEXP
26	11215 14632	   	186.97	DCR|3VULN|2DMG|1AART|1ZMB	1DUST|248VULN|36DMG|5LWND|7RCR|9ZMB|aAART
27	21216 14632	   	186.97	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|248VULN|36DMG|5DUST|7RCR|9ZMB|aAART
28	15361 33512	   	186.88	DCR|2VULN|2DMG|1AART|2CDMG	18aDUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9LIT
29	15361 33522	   	186.88	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|24DMG|3AART|58CDMG|6RCR|78VULN|8BPWR|9RMIN|aLEGI
30	15361 31138	   	186.78	DCR|2VULN|2DMG|1AART|2CDMG	1DUST|24DMG|3AART|5aCDMG|6RCR|7MBVNT|89VULN
31	21215 21151	   	186.67	DCR|4VULN|2DMG|1AART	1LWND|2456VULN|36DMG|6BPWR|7RCVC|8AART|9RCR|aBELT
32	21215 21152	   	186.67	DCR|4VULN|2DMG|1AART	1LWND|2456VULN|36DMG|6BPWR|7RCVC|8AART|9RCR|aCGEN
33	21215 21154	   	186.67	DCR|4VULN|2DMG|1AART	1LWND|2456VULN|36DMG|6BPWR|7RCVC|8AART|9RCR|aMLV
34	21215 21155	   	186.67	DCR|4VULN|2DMG|1AART	1LWND|2456VULN|36DMG|6BPWR|7RCVC|8AART|9RCR|aLHND
35	21215 21156	   	186.67	DCR|4VULN|2DMG|1AART	1LWND|2456VULN|36DMG|6BPWR|7RCVC|8AART|9RCR|aLIT
36	21235 21153	   	186.67	DCR|4VULN|2DMG|1AART	14LWND|256aVULN|36DMG|6BPWR|7RCVC|8AART|9RCR
37	12323 12262	   	185.97	DCR|4VULN|2DMG|1AART	19DUST|2BELT|3CGEN|4689VULN|5AART|79DMG|9BPWR|aRCR
38	12323 64262	   	185.97	DCR|4VULN|2DMG|1AART	19DUST|2BELT|3CGEN|4789VULN|5AART|69DMG|9BPWR|aRCR
39	15331 33515	 * 	185.04	DCR|3VULN|1AART|1DMG|2CDMG	18DUST|2DMG|3AART|4RCVC|58CDMG|6RCR|78aVULN|8BPWR|9LIT
40	15342 21322	 * 	184.56	DCR|2AART|2VULN|2DMG|1ZMB	1DUST|29DMG|36AART|4ZMB|5aVULN|7MLV|8RCR
41	15342 25322	   	184.46	DCR|2AART|2VULN|2DMG|1ZMB	1DUST|29DMG|36AART|4ZMB|5aVULN|7ERES|8RCR
42	11453 33112	   	183.48	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUST|246VULN|36CDMG|5DLOT|6BPWR|7DUR|8RCR|9AART|aDMG
43	41215 14122	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	1FEWX|249VULN|36DMG|5LWND|7RCR|8ASPD|aAART
44	11215 14122	   	182.91	DCR|3VULN|2DMG|1AART|1ASPD	1DUST|249VULN|36DMG|5LWND|7RCR|8ASPD|aAART
45	11216 14121	   	182.91	DCR|3VULN|2DMG|1AART|1ASPD	1DUST|249VULN|36DMG|5FEWX|7RCR|8ASPD|aAART
46	21216 14122	   	182.91	DCR|3VULN|2DMG|1AART|1ASPD	1LWND|249VULN|36DMG|5DUST|7RCR|8ASPD|aAART
47	52216 14122	   	182.91	DCR|3VULN|2DMG|1AART|1ASPD	149VULN|2LHND|36DMG|5DUST|7RCR|8ASPD|aAART
48	61561 31212	 * 	182.74	ACR|3VULN|1AART|1DMG|1FLTHEA|1ASPD|1SELL	1SELL|2FLTHEA|3RCR|4ASPD|569VULN|7MBVNT|8AART|aDMG
49	61531 13611	 * 	182.29	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB|1SELL	1SELL|2FLTHEA|3RCR|4CDMG|5AART|6RPLT|7ZMB|89aVULN
50	21215 31153	   	181.81	DCR|5VULN|1AART|1DMG	1LWND|2456aVULN|3DMG|7RCVC|8AART|9RCR
51	51333 42225	 * 	181.21	DCR|4VULN|1AART|2CDMG|2DUR	125aVULN|3DUST|4aDUR|6aCDMG|7RMIN|8AART|9RCR|aBPWR
52	15361 33325	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7VULN|8LWND|9ZMB|aDUR
53	15361 33623	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7VULN|8DUR|9ZMB|aLWND
54	25123 32553	   	180.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18LWND|28DMG|3RCVC|4ZMB|5ERES|6RCR|78VULN|8BPWR|9DUR|aAART
55	15361 33622	   	180.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|24DMG|3AART|5CDMG|6RCR|7VULN|8DUR|9ZMB|aERES
56	45331 33114	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2aDMG|3AART|4RCVC|5CDMG|6RCR|78VULN|9LIT
57	45331 33224	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2aDMG|3AART|4RCVC|5CDMG|6RCR|79VULN|8LIT
58	45361 33111	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9aLIT
59	45361 33121	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aLWND
60	45361 33123	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9aRMIN
61	45361 33131	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aMGNSTR
62	45361 33132	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aMLV
63	45361 33221	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|79VULN|8aLIT
64	15342 21321	 * 	180.63	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DUST|29DMG|36AART|4ZMB|5VULN|7MLV|8RCR|aCDMG
65	52212 24521	 * 	180.62	DCR|4VULN|2DMG|1CDMG	148aVULN|2LHND|38DMG|58TLV|6RMIN|7RCR|8BPWR|9CDMG
66	55315 12322	   	180.61	DCR|3DMG|2VULN|1AART|1DUR	14VULN|269DMG|3DUR|5LWND|7FEWX|8RCR|aAART
67	15331 33114	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2aDMG|3AART|4RCVC|5CDMG|6RCR|78VULN|9LIT
68	15331 33224	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2aDMG|3AART|4RCVC|5CDMG|6RCR|79VULN|8LIT
69	15361 33111	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9aLIT
70	15361 33113	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9LIT|aCGEN
71	15361 33121	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aLWND
72	15361 33123	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9aRMIN
73	15361 33124	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aCGEN
74	15361 33125	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aLHND
75	15361 33131	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aMGNSTR
76	15361 33132	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aMLV
77	15361 33133	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aBEXP
78	15361 33134	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9aRCVC
79	15361 33136	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RCVC|aLHND
80	15361 33221	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|79VULN|8aLIT
81	15361 33223	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|79VULN|8LIT|aCGEN
82	45361 31134	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aBELT
83	45361 33112	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9LIT|aDUST
84	45361 33113	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9LIT|aMBVNT
85	45361 33122	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aLEGI
86	45361 33222	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|79VULN|8LIT|aDUST
87	45361 33223	   	180.56	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24DMG|3AART|5CDMG|6RCR|79VULN|8LIT|aMBVNT
88	15342 25321	   	180.53	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DUST|29DMG|36AART|4ZMB|5VULN|7ERES|8RCR|aCDMG
89	11215 14621	   	180.52	DCR|4VULN|2DMG|1CDMG	1DUST|248aVULN|36DMG|5LWND|7RCR|9CDMG
90	21216 14621	   	180.52	DCR|4VULN|2DMG|1CDMG	1LWND|248aVULN|36DMG|5DUST|7RCR|9CDMG
91	15361 31134	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|7MBVNT|89VULN|aBELT
92	15361 33112	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1aDUST|24DMG|3AART|5CDMG|6RCR|78VULN|9LIT
93	15361 33116	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9LIT|aERES
94	15361 33122	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9RMIN|aLEGI
95	15361 33154	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|78VULN|9MBVNT|aBELT
96	15361 33222	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1aDUST|24DMG|3AART|5CDMG|6RCR|79VULN|8LIT
97	15361 33226	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|79VULN|8LIT|aERES
98	15361 33432	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|79VULN|8BEXP|aLEGI
99	15361 36132	   	180.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3AART|5CDMG|6RCR|7FEWX|89VULN|aLEGI
