0	Index      	 *	Score 	Summary	Detail	
1	41611 22363	 * 	190.07	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD|1DUR	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8DUR|aAART
2	41611 21235	 * 	183.63	DCR|2AART|3CDMG|1VULN|1DMG|1ZMB|1ASPD	137CDMG|2ASPD|4ZMB|5DMG|6RCR|8VULN|9aAART
3	41611 22163	   	183.13	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8LHND|aAART
4	41611 22512	   	183.03	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8TLV|aAART
5	41611 22343	 * 	179.09	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB|1DUR	13CDMG|29ASPD|4ZMB|5DMG|6RCR|7VULN|8DUR|aAART
6	16635 33323	 * 	177.95	ACR|3VULN|1AART|1DMG|1CDMG	14MGNLIT|246VULN|3RCR|4BPWR|5AART|7DUST|8DMG|9BEXP|aCDMG
7	16632 11253	 * 	176.60	ACR|4VULN|1AART|1DMG	14MGNLIT|2479VULN|3RCR|4BPWR|5LWND|6DUST|8AART|aDMG
8	16642 32112	 * 	174.84	ACR|2VULN|2DMG|1AART|1ZMB	1MGNLIT|26VULN|3RCR|48LIT|5ZMB|7aDMG|9AART
9	16642 32212	   	174.84	ACR|2VULN|2DMG|1AART|1ZMB	1MGNLIT|26VULN|3RCR|4LIT|5ZMB|7aDMG|8RCVC|9AART
10	16635 13323	 * 	173.74	ACR|2AART|2VULN|1DMG|1CDMG	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7DUST|8DMG|9BEXP|aCDMG
11	41611 22333	 * 	173.68	DCR|2VULN|1DMG|2CDMG|2ASPD|1ZMB|1DUR	13CDMG|2aASPD|4ZMB|5DMG|6RCR|7aVULN|8DUR|9aCGEN|aBPWR
12	11222 25512	 * 	173.35	ACR|3VULN|2AART|1DMG	1MGNLIT|2CGEN|3LIT|4RCR|58AART|679VULN|aDMG
13	63222 25512	   	173.25	ACR|3VULN|2AART|1DMG	1CGEN|2VENICY|3LIT|4RCR|58AART|679VULN|aDMG
14	53222 25512	   	173.15	ACR|3VULN|2AART|1DMG	1TLV|2VENICY|3LIT|4RCR|58AART|679VULN|aDMG
15	16642 33112	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	1MGNLIT|267VULN|3RCR|4LIT|5ZMB|8RMIN|9AART|aDMG
16	41611 22325	   	172.48	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7VULN|8DUR|9LHND|aAART
17	41611 22315	   	172.24	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD|1DUR|1SELL	13CDMG|2ASPD|4ZMB|5DMG|6RCR|7VULN|8DUR|9SELL|aAART
