0	Index      	 *	Score 	Summary	Detail	
1	32556 32131	 * 	296.97	橙3雷电2等级3攻速1易伤1暴击	13a攻速2掉矿4a等级5暴击6核7易伤89a雷电a序列升级
2	65213 32132	 * 	292.89	橙3易伤3雷电1等级	1时间26a易伤3赏金邻近468雷电5随机矿6序列升级7等级9核
3	32142 13143	 * 	291.80	紫橙2易伤1等级1雷电1平台1攻速	1攻速2掉矿3平台4a核5激光对愈68易伤7雷电9等级
4	65333 11413	 * 	289.18	橙2易伤2等级1雷电1矿等1攻速	1时间29易伤3基础对甲4矿等5a等级6攻速7雷电8核
5	65113 32132	   	288.79	橙3易伤3雷电1等级	1时间26a易伤3赏金塔468雷电5随机矿6序列升级7等级9核
6	32142 13243	 * 	285.91	紫橙2雷电1等级1易伤1平台1攻速	1攻速2掉矿3平台4a核5激光对愈6易伤78雷电9等级
7	34321 61343	 * 	284.63	橙2等级2矿等1易伤2攻速1平台	18攻速2平台38矿等4易伤5时间6赏金邻近78等级8序列升级9核a基地爆炸
8	34321 61341	   	284.53	橙2等级2矿等1易伤2攻速1平台	18攻速2平台38矿等4易伤5时间6赏金邻近78等级8序列升级9核a基础对愈
9	34321 61342	   	284.53	橙2等级2矿等1易伤2攻速1平台	18攻速2平台38矿等4易伤5时间6赏金邻近78等级8序列升级9核a多重对愈
10	65213 32633	   	283.42	橙3易伤2雷电1等级	1时间26a易伤3赏金邻近46雷电5随机矿6序列升级7等级8核9平台
11	65113 32633	   	279.31	橙3易伤2雷电1等级	1时间26a易伤3赏金塔46雷电5随机矿6序列升级7等级8核9平台
12	65213 32134	   	279.06	橙3雷电2易伤1等级	1时间26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核a全技能
13	11553 48213	 * 	278.65	橙2等级2矿等1雷电1易伤2攻速1卖塔	1双倍秒伤2a矿等3卖塔4加一5a等级6易伤7雷电8a攻速9核a序列升级
14	65213 32131	   	278.52	橙3雷电2易伤1等级2时间	1a时间26易伤3赏金邻近468雷电5随机矿6序列升级7等级9核
15	33163 21246	 * 	278.12	紫橙2等级1易伤2攻速1伤害	16攻速2a核3时间4易伤56等级6序列升级7掉矿8伤害9基地爆炸
16	33263 21266	   	278.12	紫橙2等级1易伤2攻速1伤害	16攻速2a核3基地爆炸4易伤56等级6序列升级7掉矿8伤害9时间
17	33163 21266	   	278.02	紫橙2等级1易伤2攻速1伤害	16攻速2a核3时间4易伤56等级6序列升级7掉矿8伤害9挖尘
18	33452 16313	 * 	277.12	紫橙1等级1雷电1易伤1伤害1攻速	1攻速2a核3低血量敌人4伤害5易伤6赏金邻近7雷电8导弹对黄9等级
19	33452 31313	   	277.12	紫橙1等级1雷电1易伤1伤害1攻速	1攻速2a核3低血量敌人4伤害5易伤6雷电7赏金邻近8导弹对黄9等级
20	31361 13346	 * 	276.94	紫橙2易伤1等级1矿等1伤害1攻速	1攻速2敌人爆炸3a核45易伤6伤害7挖尘8等级9矿等
21	33261 13346	   	276.94	紫橙2易伤1等级1矿等1伤害1攻速	1攻速2a核3基地爆炸45易伤6伤害7挖尘8等级9矿等
