0	Index      	 *	Score 	Summary	Detail	
1	35316 11324	 * 	329.08	橙3雷电3易伤2伤害1矿等	17a易伤2矿等3a策反456雷电8核9a伤害a序列升级
2	32517 11415	 * 	310.49	橙3雷电2矿等3易伤	17a易伤2加一356雷电4立即金币8核9a矿等a序列升级
3	32717 11415	   	310.49	橙3雷电2矿等3易伤	17a易伤2加一3双倍矿456雷电8核9a矿等a序列升级
4	32532 71132	 * 	309.42	橙3雷电4易伤3攻速	179a易伤2加一379雷电4核弹579攻速6核79序列升级8全技能
5	34111 32334	 * 	308.04	紫3雷电4易伤2矿等	127a易伤3核468雷电5a矿等9a最后敌人a序列升级
6	34111 32354	   	308.04	紫3雷电4易伤2矿等	127a易伤3核468雷电5a矿等9a基地爆炸a序列升级
7	34111 32364	   	308.04	紫3雷电4易伤2矿等	127a易伤3核468雷电5a矿等9a敌人爆炸a序列升级
8	34116 11314	   	308.04	紫3雷电4易伤2矿等	127a易伤3核456雷电8a敌人爆炸9a矿等a序列升级
9	34111 31316	   	307.74	紫3雷电4易伤2矿等	129a易伤3核467雷电5a矿等8a狙击对毒a序列升级
10	34111 32316	   	307.74	紫3雷电4易伤2矿等	127a易伤3核468雷电5a矿等9a多重对甲a序列升级
11	34116 11214	   	307.74	紫3雷电4易伤2矿等	127a易伤3核456雷电8挖青9a矿等a序列升级
12	32534 32882	 * 	302.41	橙2雷电2矿等2易伤2伤害	19易伤2加一38雷电4核弹59矿等6立即金币79伤害9序列升级a核
13	32531 65324	   	302.26	橙2雷电2矿等2易伤2伤害	18易伤2加一38雷电4核弹5掉矿69矿等78伤害8序列升级a核
14	34211 52252	   	301.11	橙2雷电3易伤2伤害1矿等1卖塔	12a易伤3时间4a雷电5矿等6掉矿7a伤害8核9卖塔a序列升级
15	34111 32563	 * 	300.42	紫2雷电3易伤1喷火对甲1矿等1伤害	127易伤3核46雷电5矿等8加农对甲9伤害a喷火对甲
16	35316 11326	   	299.51	橙3雷电2易伤1矿等1伤害1暴击	17易伤2矿等3策反456雷电8核9伤害a暴击
17	34111 32322	   	299.46	紫3雷电2矿等3易伤1暴击	127易伤3核468雷电5a矿等9暴击
