0	Index      	 *	Score 	Summary	Detail	
1	11236 36612	 * 	283.08	橙橙2等级1易伤1攻速	1随机矿29等级3随机技能4攻速5金币生成6赏金塔7a核8易伤
2	26322 42612	 * 	280.70	橙橙1易伤1矿等1技能2时间	15挖尘2技能35时间4双倍秒伤5序列升级6矿等7a核8随机技能9易伤
3	36261 22612	   	277.66	橙橙1等级1易伤1技能	1时间2技能3等级4挖青5雷电减费6低血量敌人7a核8随机技能9易伤
4	22234 46112	   	275.32	橙橙1等级1易伤1攻速2随机技能	12挖尘38随机技能4攻速5赏金邻近6等级7a核9易伤
5	33123 35242	 * 	274.94	橙橙2易伤1伤害	1时间2敌人爆炸3掉矿4双倍秒伤59易伤6a核7伤害8随机技能
6	32123 35242	   	274.84	橙橙2易伤1伤害	1时间2挖尘3掉矿4双倍秒伤59易伤6a核7伤害8随机技能
7	34123 35242	   	274.84	橙橙2易伤1伤害	1时间2基地爆炸3掉矿4双倍秒伤59易伤6a核7伤害8随机技能
8	26311 42612	   	274.05	橙橙1易伤1矿等1技能	1挖尘2技能3时间4挖青5基地爆炸6矿等7a核8随机技能9易伤
9	32123 36632	   	271.67	橙橙2易伤1技能	1时间2挖尘3掉矿4双倍秒伤57易伤6a核8随机技能9技能
10	34123 36632	   	271.67	橙橙2易伤1技能	1时间2基地爆炸3掉矿4双倍秒伤57易伤6a核8随机技能9技能
11	36233 52331	   	270.72	橙橙1易伤1等级1技能	1时间2技能3等级4风暴减费5雷电69核7基础对甲8金币生成a易伤
12	36233 52413	   	270.48	橙橙1等级1易伤1技能1卖塔	1时间2技能3等级4风暴减费5雷电6a核7基础对甲8卖塔9易伤
13	32123 33353	 * 	270.29	橙橙1易伤1矿等1伤害	1时间2挖尘3掉矿4双倍秒伤5易伤68核7赏金邻近9伤害a矿等
14	32123 33342	 * 	269.98	橙橙3易伤	1时间2挖尘3掉矿4双倍秒伤59a易伤68核7赏金邻近
15	26261 22612	   	269.25	橙橙1等级1易伤1技能	1挖尘2技能3等级4挖青5雷电减费6低血量敌人7a核8随机技能9易伤
16	11234 66312	   	268.91	橙橙1等级1易伤1攻速	1随机矿2等级3随机技能4攻速5赏金邻近68金币生成7a核9易伤
17	11236 36312	   	268.91	橙橙1易伤1等级1攻速	1随机矿2等级3随机技能4攻速58金币生成6赏金塔7a核9易伤
18	11236 36632	   	268.91	橙橙1等级1易伤1攻速	1随机矿2等级3随机技能4攻速5金币生成6赏金塔7a核8易伤9双倍矿
19	11236 56312	   	268.91	橙橙1等级1易伤1攻速	1随机矿2等级3随机技能4攻速58金币生成6赏金邻近7a核9易伤
20	22141 42612	   	268.82	橙橙1易伤1矿等1伤害	12挖尘3伤害4双倍秒伤5基地爆炸6矿等7a核8随机技能9易伤
21	22234 46312	   	268.71	橙橙1等级1易伤1攻速	12挖尘3随机技能4攻速5赏金邻近6等级7a核8双倍矿9易伤
22	36126 33532	 * 	266.56	橙2矿等2等级1易伤2技能	1时间26技能3易伤45等级7平台89矿等a核
23	11236 36412	 * 	265.31	橙橙1等级1矿等1攻速	1随机矿2等级3随机技能4攻速5金币生成6赏金塔7a核8矿等9掉矿
24	43533 16323	   	264.93	橙橙2易伤1技能	1敌人爆炸2额外掉落3掉矿4全技能58易伤6技能7a核9低血量敌人
25	43533 16333	   	264.93	橙橙2易伤1技能	1敌人爆炸2额外掉落3掉矿4全技能58易伤6技能7a核9最后敌人
26	36112 53532	 * 	263.48	橙2易伤2矿等1等级1技能	1时间2技能35易伤4双倍矿6等级7平台89矿等a核
27	13336 32255	   	263.28	橙橙1易伤1技能1攻速	1随机矿2低血量敌人3时间4基地爆炸5易伤6技能7a核8攻速9全技能
28	12316 32255	   	263.18	橙橙1易伤1技能1攻速	1随机矿2基地爆炸3时间4挖青5易伤6技能7a核8攻速9全技能
29	31136 32255	   	263.18	橙橙1易伤1技能1攻速	1时间2低血量敌人3掉矿4基地爆炸5易伤6技能7a核8攻速9全技能
30	36133 32255	   	263.18	橙橙1易伤1技能1攻速	1时间2技能3易伤4基地爆炸5掉矿6敌人爆炸7a核8攻速9全技能
31	23311 61563	 * 	263.11	橙2易伤2矿等2暴击1伤害1技能	1a挖尘2雷电3a暴击4伤害59矿等6技能7核8a易伤a序列升级
32	23311 61313	   	263.11	橙2易伤2矿等2暴击1伤害1技能	1a挖尘2雷电3a暴击4伤害58矿等6技能7核9a易伤a序列升级
33	36133 12255	   	263.08	橙橙1易伤1技能1攻速	1时间2技能3易伤4基地爆炸5掉矿6挖青7a核8攻速9全技能
34	46233 52331	   	262.41	橙橙1易伤1等级1技能	1敌人爆炸2技能3等级4风暴减费5雷电69核7基础对甲8金币生成a易伤
35	23216 52331	   	262.31	橙橙1易伤1等级1技能	14挖尘2雷电3等级5技能69核7基础对甲8金币生成a易伤
36	26233 52331	   	262.31	橙橙1易伤1等级1技能	1挖尘2技能3等级4风暴减费5雷电69核7基础对甲8金币生成a易伤
37	11436 12613	   	262.23	橙橙1等级1易伤	1随机矿2等级3全技能4时间5易伤6a核7寒冰对黄8赏金邻近9金币生成
38	11436 12633	   	262.23	橙橙1等级1易伤	1随机矿2等级3全技能4时间5易伤6a核7寒冰对黄8赏金邻近9敌人爆炸
39	23216 52413	   	262.07	橙橙1等级1易伤1技能1卖塔	14挖尘2雷电3等级5技能6a核7基础对甲8卖塔9易伤
40	26233 52413	   	262.07	橙橙1等级1易伤1技能1卖塔	1挖尘2技能3等级4风暴减费5雷电6a核7基础对甲8卖塔9易伤
41	36232 32621	 * 	259.88	紫橙3技能1等级1易伤	1时间268技能3等级4风暴减费59核7金币生成a易伤
42	36232 31621	   	259.78	紫橙3技能1等级1易伤	1时间268技能3等级4风暴减费59核7掉矿a易伤
43	11531 35821	   	259.55	橙橙2等级1易伤1卖塔	1随机矿26等级3平台4敌人爆炸5加一7卖塔89核a易伤
44	11521 35821	   	259.45	橙橙2等级1易伤1卖塔	1随机矿26等级3平台4基地爆炸5加一7卖塔89核a易伤
45	32123 33356	 * 	259.29	橙橙2伤害1易伤	1时间2挖尘3掉矿4双倍秒伤5易伤68核7赏金邻近9a伤害
46	43363 13314	   	259.11	橙橙1易伤1矿等1技能	1敌人爆炸2额外掉落3低血量敌人4赏金邻近5雷电6易伤7a核8技能9矿等
47	22253 46112	   	259.07	橙橙1等级1易伤2随机技能	12挖尘38随机技能4赏金邻近5策反6等级7a核9易伤
48	63353 33362	   	258.97	橙橙1易伤1等级1暴击	13毒气减费235掉矿3序列升级4等级68核7赏金塔9易伤a暴击
49	23356 52331	   	258.93	橙橙1易伤1等级1暴击1卖塔	1挖尘2雷电3暴击4等级5卖塔69核7基础对甲8金币生成a易伤
50	14246 33332	   	258.76	橙橙1易伤1矿等1技能1卖塔	1随机矿2易伤3赏金塔4掉矿5矿等68核7赏金邻近9卖塔a技能
51	36233 52333	 * 	258.69	橙橙1等级1伤害1技能	1时间2技能3等级4风暴减费5雷电69核7基础对甲8金币生成a伤害
52	11234 66122	   	257.60	橙橙2等级1攻速2随机技能	1随机矿29等级39随机技能4攻速5赏金邻近6金币生成7a核89挖尘9序列升级
53	11236 36122	   	257.60	橙橙2等级1攻速2随机技能	1随机矿29等级39随机技能4攻速5金币生成6赏金塔7a核89挖尘9序列升级
54	11236 56122	   	257.60	橙橙2等级1攻速2随机技能	1随机矿29等级39随机技能4攻速5金币生成6赏金邻近7a核89挖尘9序列升级
55	12622 66321	   	257.42	橙橙1易伤1伤害1技能	1随机矿2基地爆炸3随机技能4策反5伤害6易伤79核8技能a立即金币
56	12622 66322	   	257.42	橙橙1易伤1伤害1技能	1随机矿2基地爆炸3随机技能4策反5伤害6易伤79核8技能a赏金塔
57	14622 36321	   	257.42	橙橙1易伤1伤害1技能	1随机矿2易伤3随机技能4策反5伤害6基地爆炸79核8技能a立即金币
58	14622 36322	   	257.42	橙橙1易伤1伤害1技能	1随机矿2易伤3随机技能4策反5伤害6基地爆炸79核8技能a赏金塔
59	12622 66323	   	257.32	橙橙1易伤1伤害1技能	1随机矿2基地爆炸3随机技能4策反5伤害6易伤79核8技能a双倍秒伤
60	14622 36323	   	257.32	橙橙1易伤1伤害1技能	1随机矿2易伤3随机技能4策反5伤害6基地爆炸79核8技能a双倍秒伤
61	43222 53315	   	256.52	橙橙2易伤1技能	1敌人爆炸2额外掉落3加一46易伤5策反7双倍秒伤8a核9技能
62	62312 35342	 * 	256.27	橙3伤害1等级1易伤1矿等1技能	13毒气减费23a伤害3序列升级4技能5易伤6暴雪减费7矿等8核9等级
63	13234 53236	 * 	256.19	橙橙2等级1矿等	1随机矿2低血量敌人36等级47风暴减费5技能点8a核9矿等
64	13235 53236	   	256.19	橙橙2等级1矿等	1随机矿2低血量敌人36等级4风暴减费5金币生成7雷电减费8a核9矿等
65	14246 33322	   	255.77	橙橙1易伤1矿等1暴击	1随机矿2易伤3赏金塔4掉矿5矿等68核7赏金邻近9最后敌人a暴击
66	22351 33342	   	255.47	橙橙1易伤1矿等1暴击	123挖尘4矿等5毒气减费68核7赏金邻近9易伤a暴击
67	11222 26553	   	255.42	橙2伤害1等级1易伤1矿等1攻速	1随机矿2等级3随机技能4易伤58伤害6攻速7时间9矿等a核
68	26112 53532	   	255.08	橙2易伤2矿等1等级1技能	1挖尘2技能35易伤4双倍矿6等级7平台89矿等a核
69	33123 31242	   	254.88	橙橙2易伤	1时间2敌人爆炸3掉矿4双倍秒伤59易伤6a核7策反8随机技能
70	43221 43715	   	254.88	橙橙1易伤1技能1攻速	1敌人爆炸2额外掉落3加一4易伤5基地爆炸6a核7时间8攻速9技能
71	32123 31242	   	254.78	橙橙2易伤	1时间2挖尘3掉矿4双倍秒伤59易伤6a核7策反8随机技能
72	34123 31242	   	254.78	橙橙2易伤	1时间2基地爆炸3掉矿4双倍秒伤59易伤6a核7策反8随机技能
73	11132 53436	 * 	254.40	橙2易伤1等级1矿等1伤害1暴击	1随机矿2等级3伤害4时间58易伤6矿等7暴击9基地爆炸a核
74	11132 53536	 * 	254.00	橙2矿等1等级1易伤1伤害1暴击	1随机矿2等级3伤害4时间5易伤68矿等7暴击9基地爆炸a核
75	36222 33744	 * 	253.73	橙橙1等级2技能	1时间26技能3等级4加一5毒气减费7平台8雷电9a核
76	36222 73344	   	253.73	橙橙1等级2技能	1时间28技能3等级4加一5毒气减费6雷电7平台9a核
77	64241 13323	   	253.73	橙橙1易伤1等级	1毒气减费2全技能3爆破对冰4赏金塔5等级6敌人爆炸7a核8易伤9挖尘
78	36136 21313	 * 	253.33	橙3易伤2矿等1技能	1时间2技能359易伤47基地爆炸68矿等a核
