0	Index      	 *	Score 	Summary	Detail	
1	41223 53153	 * 	285.33	紫橙2易伤1等级1矿等1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9a易伤
2	41223 52253	   	278.62	紫橙2易伤1等级1矿等	1随机矿2等级3时间4双倍物品56核7随机技能8a易伤9矿等
3	41335 21232	 * 	271.82	橙橙2易伤1等级	1随机矿2等级3毒液对冰4暴雪减费58易伤6最后敌人7a核9额外掉落
4	34224 21433	 * 	265.67	橙橙1等级1矿等	1火球减费29金币生成3随机技能4时间5等级6a核7全技能8矿等
5	23122 54631	   	264.07	橙橙1等级1矿等1暴击	1低血量敌人2暴击3爆破对冰4等级5全技能6a核7雷电8金币生成9矿等
6	23122 54531	   	263.97	橙橙1等级1矿等1暴击	1低血量敌人2暴击3爆破对冰4等级5全技能6a核7雷电8掉矿9矿等
7	53122 54331	   	263.97	橙橙1等级1矿等1暴击	1基地爆炸2暴击3爆破对冰4等级5全技能6a核7雷电8金币生成9矿等
8	41223 53113	   	259.13	紫橙1等级1易伤1矿等1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9赏金邻近a易伤
9	41223 53151	   	259.13	紫橙1等级1易伤1矿等1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9易伤a敌人爆炸
10	41223 53152	   	259.13	紫橙1等级1易伤1矿等1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9易伤a赏金塔
11	41223 55313	   	259.13	紫橙1等级1易伤1矿等1暴击	1随机矿2等级3时间4双倍物品56核7赏金邻近8暴击9矿等a易伤
12	41223 53163	   	259.03	紫橙1等级1易伤1矿等1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9挖尘a易伤
13	41223 52251	   	259.03	紫橙1等级1易伤1矿等2随机技能	1随机矿2等级3时间4双倍物品56核7a随机技能8易伤9矿等
14	11512 41138	   	258.67	橙橙1等级1攻速1暴击	1随机技能2随机矿3攻速4最后敌人5暴击6a核7加一8时间9等级
15	21352 41138	   	258.67	橙橙1等级1攻速1暴击	1低血量敌人2攻速3随机矿4随机技能5暴击6a核7加一8时间9等级
16	21125 33531	 * 	257.59	橙2易伤2等级2攻速1矿等	1低血量敌人28攻速3敌人爆炸4挖尘58易伤6矿等78等级8序列升级9最后敌人a核
17	21125 33553	   	257.59	橙2易伤2等级2攻速1矿等	1低血量敌人28攻速39敌人爆炸4挖尘58易伤6矿等78等级8序列升级a核
18	21125 33523	   	257.49	橙2易伤2等级2攻速1矿等	1低血量敌人28攻速3敌人爆炸4挖尘58易伤6矿等78等级8序列升级9毒气减费a核
19	34234 21433	   	257.26	橙橙1等级1矿等	1火球减费29金币生成3随机技能4雷电减费5等级6a核7全技能8矿等
20	53431 13441	 * 	255.67	橙橙1易伤1矿等1暴击	1基地爆炸2暴击3加一4额外掉落5易伤6雷电7a核8矿等9赏金塔
21	53431 33441	   	255.67	橙橙1易伤1矿等1暴击	1基地爆炸2暴击3加一4额外掉落5易伤6a核7雷电8矿等9赏金塔
22	41223 53141	 * 	255.40	紫橙1等级1矿等1伤害1暴击	1随机矿2等级3时间4双倍物品56核7矿等8暴击9伤害a全技能
