0	Index      	 *	Score 	Summary	Detail	
1	34611 52122	 * 	397.30	橙2易伤1双倍秒伤2暴击1等级1时间	13易伤2等级4时间58暴击6机枪对壮7敌人爆炸9核a双倍秒伤
2	34611 53122	   	397.20	橙2易伤1双倍秒伤2暴击1等级1时间	13易伤2等级4时间58暴击6机枪对壮7雷电减费9核a双倍秒伤
3	33463 25233	 * 	386.99	橙2易伤1双倍秒伤2等级2时间	19易伤2平台3金币生成49时间5基地爆炸6策反79等级8核9序列升级a双倍秒伤
4	34611 13132	 * 	380.41	4易伤1双倍秒伤1暴击2时间1等级	1389易伤2等级49时间5暴击6随机技能79敌人爆炸9序列升级a双倍秒伤
5	31611 55322	   	378.51	橙2易伤1双倍秒伤1暴击1伤害1时间	13易伤2技能点4时间5暴击6机枪对壮7掉矿8伤害9核a双倍秒伤
6	33124 24633	   	372.29	橙2易伤1双倍秒伤1暴击1时间1全技能	17易伤2平台3额外掉落4时间5暴击6核8全技能9随机技能a双倍秒伤
7	31611 52122	   	371.00	橙2易伤1双倍秒伤2暴击1时间	13易伤2技能点4时间58暴击6机枪对壮7敌人爆炸9核a双倍秒伤
8	33124 23524	   	371.00	橙2易伤1双倍秒伤2暴击1时间	18易伤2平台3额外掉落4时间58暴击6核78挖尘8序列升级9防空对头目a双倍秒伤
9	33124 23534	   	371.00	橙2易伤1双倍秒伤2暴击1时间	18易伤2平台3额外掉落4时间58暴击6核78挖尘8序列升级9电塔对甲a双倍秒伤
10	31611 53122	   	370.90	橙2易伤1双倍秒伤2暴击1时间	13易伤2技能点4时间58暴击6机枪对壮7雷电减费9核a双倍秒伤
11	34614 31111	 * 	369.56	4易伤1双倍秒伤2等级2时间1卖塔	1378易伤28等级48时间5额外掉落6卖塔8序列升级9双倍秒伤a基地爆炸
12	34614 31112	 * 	369.56	4易伤1双倍秒伤2等级2时间1卖塔	1378易伤28等级48时间5额外掉落6卖塔8序列升级9双倍秒伤a最后敌人
13	34614 31113	 * 	369.56	4易伤1双倍秒伤3等级2时间1卖塔	1378易伤28a等级48时间5额外掉落6卖塔8序列升级9双倍秒伤
