0	Index      	 *	Score 	Summary	Detail	
1	31122 63124	 * 	247.19	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC|1ZMB	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aCDMG
2	31122 63125	 * 	246.78	DCR|4VULN|2DMG|2ASPD|1AAC|1ZMB	128aVULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB
3	31122 63121	   	239.24	DCR|3VULN|2DMG|2ASPD|1AAC|1ZMB|1DUR	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9ZMB|aDUR
4	31122 63114	   	236.85	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME|aCDMG
5	31122 63146	   	236.85	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9LIT|aCDMG
6	31122 63154	   	236.85	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV|aCDMG
7	31122 63115	   	236.45	DCR|4VULN|2DMG|2ASPD|1AAC	128aVULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9AME
8	31122 63155	   	236.45	DCR|4VULN|2DMG|2ASPD|1AAC	128aVULN|3AAC|48DMG|5RMIN|6RCR|78ASPD|8BPWR|9MLV
9	31625 12235	 * 	235.18	DCR|2SPLARM|3VULN|2DMG|1AART|1SELL	129VULN|3AME|49DMG|5SELL|6RPLT|79SPLARM|8AART|9BPWR|aRCR
10	31441 36222	 * 	233.60	DCR|4VULN|1MDPS|2ASPD|1AART|1DMG	1259VULN|3MDPS|45ASPD|5BPWR|6LWND|7RCR|8DMG|aAART
11	31122 63131	 * 	233.53	DCR|3VULN|3ASPD|2DMG|1AAC	128VULN|3AAC|48DMG|5RMIN|6RCR|78aASPD|8BPWR|9DMSP
