0	Index      	 *	Score 	Summary	Detail	
1	23314 61126	 * 	241.85	DCR|3VULN|2DMG|2ASPD|1AART|1DUR	14aVULN|2aDMG|3LHND|5AART|6DUR|7RMIN|8RCR|9aASPD|aBPWR
2	23314 31526	   	237.54	DCR|3VULN|2DMG|2ASPD|1AART	14aVULN|2aDMG|3LHND|5AART|6RCR|7RMIN|8BEXP|9aASPD|aBPWR
3	23314 31226	   	237.44	DCR|3VULN|2DMG|2ASPD|1AART	14aVULN|2aDMG|3LHND|5AART|6RCR|7RMIN|8DUST|9aASPD|aBPWR
4	22162 32623	 * 	237.41	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2DUR|3CDMG|4SPLARM|5DMG|6AART|7LHND|8RCR|aASPD
5	22162 33623	   	237.41	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2DUR|3CDMG|4SPLARM|5DMG|6AART|7LWND|8RCR|aASPD
6	21522 51322	 * 	236.24	DCR|3VULN|3DMG|3ASPD|1MDPS	18aVULN|2AME|3LEGI|4MDPS|5MBVNT|68aDMG|78aASPD|8aBPWR|9RCR
7	25522 51322	   	236.24	DCR|3VULN|3DMG|3ASPD|1MDPS	18aVULN|2MLV|3LEGI|4MDPS|5MBVNT|68aDMG|78aASPD|8aBPWR|9RCR
8	23354 31226	 * 	235.26	DCR|3DMG|2VULN|2ASPD|1AART	1aVULN|24aDMG|3LHND|5AART|6RCR|7RMIN|8DUST|9aASPD|aBPWR
9	22162 31635	 * 	231.75	DCR|1SPLARM|2VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1aVULN|2DUR|3aCDMG|4SPLARM|5DMG|6AART|7aFEWX|8RCR|9AAC|aBPWR
10	22162 33635	   	231.75	DCR|1SPLARM|2VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1aVULN|2DUR|3aCDMG|4SPLARM|5DMG|6AART|7aLWND|8RCR|9AAC|aBPWR
11	23314 34226	   	230.19	DCR|3VULN|2ASPD|1AART|1DMG|1ZMB	14aVULN|2DMG|3aLHND|5AART|6RCR|7ZMB|8DUST|9aASPD|aBPWR
12	22335 33452	 * 	225.96	DCR|2VULN|2ASPD|1AART|2CDMG|2DUR|1AAC	19VULN|23DUR|4AART|59ASPD|6RCR|79CDMG|8DLOT|9BPWR|aAAC
13	23242 41126	 * 	223.59	DCR|3DMG|2VULN|2ASPD|1CDMG|1SELL	1aVULN|24aDMG|37AME|5CDMG|6SELL|8RCR|9aASPD|aBPWR
14	23314 33341	 * 	221.68	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	148VULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE|aBEXP
15	23314 33342	   	221.68	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG|1DUR	148VULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE|aDUR
16	23314 33343	 * 	221.68	DCR|4VULN|1AART|1DMG|1NUKE|1CDMG	148aVULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE
17	23314 33344	   	221.68	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	148VULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE|aMBVNT
18	23314 33345	   	221.68	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	148VULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE|aBELT
19	23314 33346	   	221.68	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB	148VULN|2DMG|3LHND|5AART|6RCR|7CDMG|9NUKE|aZMB
20	26314 33226	 * 	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	14aVULN|2ASPD|3LHND|5AART|6RCR|7CDMG|8DUST|9DMG
