0	Index      	 *	Score 	Summary	Detail	
1	26323 34334	 * 	247.09	DCR|4VULN|3DMG|1ASPD|1CDMG	1237VULN|48aDMG|5CDMG|6RCR|9ASPD
2	26323 31264	 * 	244.74	DCR|3VULN|1SPLARM|2DMG|1ASPD|1CDMG	123VULN|49DMG|5CDMG|6RCR|7FEWX|8SPLARM|aASPD
3	26323 34333	   	241.77	DCR|4VULN|2DMG|1ASPD|1CDMG|1ZMB	1237VULN|48DMG|5CDMG|6RCR|9ASPD|aZMB
4	23221 42121	 * 	237.63	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aLIT
5	23221 42122	   	237.63	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aCGEN
6	23221 42123	   	237.63	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aMLV
7	23221 42126	   	237.63	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aBELT
8	23221 42124	   	237.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aERES
9	23221 42125	   	237.53	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	178VULN|28CDMG|3AME|4AART|5DMG|68ASPD|8BPWR|9RCR|aDUST
10	26323 31263	 * 	232.11	DCR|3VULN|1SPLARM|2DMG|2CDMG	123VULN|49DMG|5aCDMG|6RCR|7FEWX|8SPLARM
11	26323 34335	   	231.77	DCR|4VULN|2DMG|1ASPD|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9ASPD|aRCVC
12	26323 34331	   	231.44	DCR|4VULN|2DMG|1ASPD|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9ASPD|aLWND
13	26323 34332	   	231.44	DCR|4VULN|2DMG|1ASPD|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9ASPD|aCGEN
14	26323 34341	 * 	231.44	DCR|4VULN|2DMG|1NUKE|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9LWND|aNUKE
15	26323 34361	   	231.44	DCR|4VULN|2DMG|1NUKE|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9LHND|aNUKE
16	26323 36134	   	231.44	DCR|4VULN|2DMG|1ASPD|1CDMG	1238VULN|4aDMG|5CDMG|6RCR|7DMSP|9ASPD
17	26323 34336	   	231.34	DCR|4VULN|2DMG|1ASPD|1CDMG	1237VULN|48DMG|5CDMG|6RCR|9ASPD|aTLV
18	26323 36334	   	231.25	DCR|3VULN|3DMG|1ASPD|1CDMG	123VULN|48aDMG|5CDMG|6RCR|7DMSP|9ASPD
19	26323 34314	   	231.20	DCR|4VULN|3DMG|1CDMG	1237VULN|48aDMG|5CDMG|6RCR|9RMIN
20	26252 34321	   	231.13	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1257VULN|3RMIN|4CDMG|6RCR|8DMG|9ZMB|aNUKE
21	26323 35263	 * 	228.96	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6RCR|7DUR|8SPLARM|9LHND|aMDPS
22	26323 26263	   	226.96	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG|1DUR	123VULN|4DMG|5CDMG|6DUR|7RCR|8SPLARM|9LHND|aMDPS
23	26323 34111	 * 	226.77	DCR|5VULN|1MDPS|1DMG|1CDMG	12378VULN|4DMG|5CDMG|6RCR|9MDPS|aAME
24	26323 34112	   	226.77	DCR|5VULN|1MDPS|1DMG|1CDMG	12378VULN|4DMG|5CDMG|6RCR|9MDPS|aCGEN
25	26323 34113	 * 	226.77	DCR|5VULN|1MDPS|2CDMG|1DMG	12378VULN|4DMG|5aCDMG|6RCR|9MDPS
26	26323 34114	   	226.77	DCR|5VULN|1MDPS|1DMG|1CDMG|1SELL	12378VULN|4DMG|5CDMG|6RCR|9MDPS|aSELL
27	26323 34115	   	226.77	DCR|5VULN|1MDPS|1DMG|1CDMG	12378VULN|4DMG|5CDMG|6RCR|9MDPS|aLHND
28	26323 34116	   	226.77	DCR|5VULN|1MDPS|1DMG|1CDMG	12378VULN|4DMG|5CDMG|6RCR|9MDPS|aBELT
29	26323 36333	   	225.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	123VULN|48DMG|5CDMG|6RCR|7DMSP|9ASPD|aZMB
30	26423 34333	   	225.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	127VULN|3DMSP|48DMG|5CDMG|6RCR|9ASPD|aZMB
31	26323 34313	   	225.88	DCR|4VULN|2DMG|1CDMG|1ZMB	1237VULN|48DMG|5CDMG|6RCR|9RMIN|aZMB
32	26323 32416	 * 	225.84	DCR|5VULN|2DMG|1CDMG	1239aVULN|4aDMG|5CDMG|6RCR|7BEXP|8aFEWX|aBPWR
33	26323 33416	   	225.84	DCR|5VULN|2DMG|1CDMG	1239aVULN|4aDMG|5CDMG|6RCR|7LHND|8aFEWX|aBPWR
34	26323 31316	   	225.64	DCR|5VULN|2DMG|1CDMG	1239aVULN|4aDMG|5CDMG|6RCR|7FEWX|8aDUST|aBPWR
